## Rodrigo Toledo Coutinho, 2014/03/28 12:12
## Olá pessoal.  segue link para os arquivos das tabelas dos livros:
## "Experimentação em Genética e Melhoramento de Plantas" pág 112 txt
## http://www.datafilehost.com/d/ea5602d8
Populacao	Bloco	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	1	10,2	13,6	9,5	7,3	21,7	15,2	5	26,8	14,7	10,3	26,6	24,2	11,9	14,7	12,6
1	2	10,7	13,7	7,9	9,6	10,6	7,3	11,9	9,2	4,6	5,6	12,2	4,9	8,8	14,3	11,9
2	1	6,4	22,9	13,8	13,3	9,6	12,4	7,8	19,6	4,8	6,3	6,9	12,1	6,2	3,2	2,9
2	2	41,3	22,1	19,2	12,7	24,7	19,7	13,8	38,5	19,3	16	17,4	37	22,5	19,5	19,5
3	1	7,04	12,9	7,6	5,8	7,4	9,3	8,9	5,1	2,5	6,4	8,9	5,2	10,7	4,7	11,2
3	2	18,7	10,9	13,7	29,6	23,2	12,4	9,4	14,8	7,5	28,9	6,3	11,3	17,6	17,8	23,8
4	1	16,6	9,7	13,4	7,9	11	13,7	14,1	18	21	12,1	8,7	14,9	23,9	7,5	14,4
4	2	14	11,3	6,5	3,9	6,1	16,1	20,1	9,5	6,4	9,8	18	12,6	18,7	5,4	20,1
5	1	16,4	6,2	21,8	7	7,5	12,2	14	11,2	6,8	5,8	15,9	21,6	4,7	2,9	11,9
5	2	17,5	18,9	13	8,6	10,1	11,3	11,8	16,4	28,6	21,6	24,7	12,1	13,2	13	11,2
6	1	5,2	5,4	21,5	7,8	4,5	6,3	10,4	14,3	7,8	4,6	5,9	5,2	3,3	12,6	6,8
6	2	8,1	4,2	6,6	11,2	7,2	11,1	8,01	12,6	10,8	5,2	9,4	6,5	10,4	16,8	6,7
7	1	8,1	11,8	5,8	18,9	12,9	16,1	16	10,9	4,3	20,8	13	10,8	20,6	17,6	12,2
7	2	17,7	9,9	10,1	9,3	15,6	13,2	10,7	23	11,1	11,8	11,3	5,5	20,4	8,9	19,6
8	1	12,4	13	7,5	6,3	5,4	14,9	17	2,9	16,9	12,6	10,5	12	14,5	7,6	14
8	2	13,14	9,8	13	12,3	4,9	9,7	8,8	8,8	10,8	9,6	9,7	4,3	4,4	6,4	7,1
9	1	5,6	1,7	14,9	13,4	7,9	17,6	12,9	10,4	15,3	15,1	10,3	14,8	11,1	12,4	5,7
9	2	12,3	16,5	8,8	18,4	11,3	10,2	17,8	13,2	10,2	14,7	18,7	17,3	11,4	16,7	25,4
10	1	8,6	14,2	7,5	5,8	8,7	8,9	7,1	10,3	7,4	10,5	6,4	4,2	5,4	8,7	13,4
10	2	12,6	29,9	13,2	24,8	18,7	13,3	38,7	26,6	37,2	6,1	18,2	14,7	20,9	12,6	8,4
11	1	6,9	13	7,3	7,5	15,8	9,9	14,1	13,6	10	17	15,4	28	17,4	18,6	4,8
11	2	7,8	4,9	5,9	15,6	7,1	15,7	16,5	5,4	13,5	5,8	20,4	11	9,1	14,6	11,5
12	1	11,6	16	16,3	11,5	11,3	11,4	21,9	16	6,8	8,9	9,1	9,3	4	10,4	9,7
12	2	11	14,5	6,1	8,5	5,3	14,5	5,4	6,9	10,2	7,7	8,3	15,3	12,5	12,9	9,7
13	1	9,8	3	17,1	13,1	24	8,2	10,9	23,2	11,8	26,7	8,6	9,6	16,9	11,4	11,2
13	2	9,7	25,7	11,9	22	19,2	6,2	13	18,2	21,3	19,5	16,2	9,6	12,8	18,5	18,6
14	1	4,7	12,2	4,4	3,7	8	10,9	10,4	8,5	12,4	12,1	12,4	4,1	6,9	9,9	5,9
14	2	7,7	30,5	15,4	9,5	13,6	17	21,3	9,2	11,2	20,9	11,1	21,7	13,1	9,6	14,2
15	1	9,7	13,1	11,7	20,2	17,8	18,8	8,9	10,7	23	3,8	12,9	14,3	7,7	7,5	4,4
15	2	25,8	15,8	15,2	13,2	13,5	14,6	13	17,8	14,1	14,9	22,8	28,1	14,8	11,5	17,1
16	1	10,3	14,1	6,6	9,5	8,9	5,8	7,4	12,4	5,1	12,6	8,3	14	8,4	20,6	17,9
16	2	11,5	14,1	18,1	19,9	13	12	8,8	13,6	16,9	12,3	10,9	11,6	11,5	10,6	7,8
17	1	9,9	12,8	17,6	10,2	13,8	17,4	15,5	8,5	6,4	9,4	20,4	13,7	16,1	14,1	11,6
17	2	19,4	12,4	11,6	11,5	26,4	11,4	17,1	14,4	17,5	18,6	25	17,9	23,1	29	19,2
18	1	4,8	4,5	1,8	10,9	4,1	3,9	7,6	1,3	3,8	7,4	3,4	5,2	4,1	3,8	8,3
18	2	10,9	8,5	16,9	19,1	8,9	3	5,8	14,2	8,9	3,9	4,2	9,3	20,9	4,7	24,2
T1	1	19,5	11,2	16	14,8	13,5	8,4	14,8	18	25,5	14,2	11,3	10,5	15,1	13,7	10,8
T1	2	17,7	12,9	11,7	12,9	9,7	14	6,8	15,1	9,3	19,5	11	16,9	19,4	16,8	20,1
T2	1	15,9	9,2	24,8	7,7	19,9	13,7	16,1	21,7	14,1	10,9	11,5	17,8	11,1	10,8	11,5
T2	2	18,6	11,3	6,8	8,2	13	8,5	6,7	7,9	13,5	7,7	9,3	8,45	16,9	9,5	4,4
