## Rodrigo Geroni Mendes Nascimento, 2014/03/27 19:38
## Experimento em DIC, análise de comprimento de conidios:
## http://www.datafilehost.com/d/4ae6ef87. Experimentação em Genética e
## Melhoramento de Plantas, página 66.
Iso	Comp
i1	12,47
i1	13,27
i1	13,5
i1	15,3
i1	15,3
i1	16,42
i1	14,18
i1	16,2
i1	11,7
i1	14,62
i2	15,08
i2	12,6
i2	14,4
i2	13,05
i2	13,72
i2	12,8
i2	13,05
i2	15,08
i2	NA
i2	NA
i3	15,3
i3	15,98
i3	13,5
i3	12,15
i3	16,42
i3	14,18
i3	16,42
i3	15,25
i3	13,72
i3	15,52
i4	15,75
i4	16,2
i4	15,75
i4	16,2
i4	16,42
i4	17,55
i4	14,4
i4	15,75
i4	20,25
i4	15,75
i5	13,2
i5	11,4
i5	12,4
i5	12,6
i5	12,6
i5	13,4
i5	11,2
i5	13,4
i5	17,4
i5	NA
i6	13,5
i6	13,28
i6	12,15
i6	11,48
i6	13,28
i6	13,78
i6	12,6
i6	12,38
i6	12,82
i6	NA
