placa	genotipo	meio	tipo	n_explant	n_ex_ox	n_ex_calo	n_ex_sdes	n_ex_int	n_ex_cbac	prop_ox	prop_calo	prop_sdes	prop_int	prop_cbac
1	GN	M1	T1	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
2	GN	M1	T1	8	6	0	8	0	0	0.75	0.00	1.00	0.00	0.00
3	GN	M1	T2	7	7	0	7	0	0	1.00	0.00	1.00	0.00	0.00
4	GN	M1	T2	9	9	0	9	0	0	1.00	0.00	1.00	0.00	0.00
5	GN	M1	T3	8	8	0	0	8	0	1.00	0.00	0.00	1.00	0.00
6	GN	M1	T3	8	7	0	8	0	0	0.88	0.00	1.00	0.00	0.00
7	GN	M1	T4	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
8	GN	M1	T4	8	2	0	8	0	0	0.25	0.00	1.00	0.00	0.00
9	GN	M1	T5	8	8	0	0	8	0	1.00	0.00	0.00	1.00	0.00
10	GN	M1	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
11	GN	M1	T6	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
12	GN	M1	T6	9	8	0	9	0	0	0.89	0.00	1.00	0.00	0.00
13	GN	M1	T7	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
14	GN	M1	T7	8	5	0	8	0	0	0.63	0.00	1.00	0.00	0.00
17	GN	M1	T8	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
18	GN	M1	T8	9	9	0	9	0	0	1.00	0.00	1.00	0.00	0.00
21	GN	M2	T1	9	2	0	9	0	6	0.22	0.00	1.00	0.00	0.67
22	GN	M2	T1	8	8	0	0	8	0	1.00	0.00	0.00	1.00	0.00
23	GN	M2	T2	6	1	0	6	0	0	0.17	0.00	1.00	0.00	0.00
24	GN	M2	T2	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
25	GN	M2	T3	8	3	0	4	4	0	0.38	0.00	0.50	0.50	0.00
26	GN	M2	T3	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
27	GN	M2	T4	6	0	4	2	4	0	0.00	0.67	0.33	0.67	0.00
28	GN	M2	T4	8	2	0	0	8	0	0.25	0.00	0.00	1.00	0.00
29	GN	M2	T5	9	5	0	9	0	0	0.56	0.00	1.00	0.00	0.00
30	GN	M2	T5	8	2	0	0	8	0	0.25	0.00	0.00	1.00	0.00
31	GN	M2	T6	8	0	3	5	3	0	0.00	0.38	0.63	0.38	0.00
32	GN	M2	T6	8	1	0	0	8	0	0.13	0.00	0.00	1.00	0.00
33	GN	M2	T7	8	2	0	2	6	0	0.25	0.00	0.25	0.75	0.00
34	GN	M2	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
37	GN	M2	T8	8	0	5	3	8	0	0.00	0.63	0.38	1.00	0.00
38	GN	M2	T8	9	0	4	0	5	0	0.00	0.44	0.00	0.56	0.00
41	GN	M3	T1	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
42	GN	M3	T1	8	5	0	0	8	0	0.63	0.00	0.00	1.00	0.00
43	GN	M3	T2	8	0	3	0	8	0	0.00	0.38	0.00	1.00	0.00
44	GN	M3	T2	9	2	1	0	8	0	0.22	0.11	0.00	0.89	0.00
45	GN	M3	T3	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
46	GN	M3	T3	8	1	5	0	3	0	0.13	0.63	0.00	0.38	0.00
47	GN	M3	T4	8	8	3	0	8	0	1.00	0.38	0.00	1.00	0.00
48	GN	M3	T4	9	0	9	0	0	0	0.00	1.00	0.00	0.00	0.00
49	GN	M3	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
50	GN	M3	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
51	GN	M3	T6	8	0	2	0	8	0	0.00	0.25	0.00	1.00	0.00
52	GN	M3	T6	8	0	4	0	4	0	0.00	0.50	0.00	0.50	0.00
53	GN	M3	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
54	GN	M3	T7	5	0	0	0	5	0	0.00	0.00	0.00	1.00	0.00
57	GN	M3	T8	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
58	GN	M3	T8	9	0	0	0	9	0	0.00	0.00	0.00	1.00	0.00
61	GN	M4	T1	8	3	0	6	2	6	0.38	0.00	0.75	0.25	0.75
62	GN	M4	T1	8	3	0	0	8	0	0.38	0.00	0.00	1.00	0.00
63	GN	M4	T2	8	0	4	2	4	2	0.00	0.50	0.25	0.50	0.25
64	GN	M4	T2	9	0	4	0	4	0	0.00	0.44	0.00	0.44	0.00
65	GN	M4	T3	8	6	0	8	0	0	0.75	0.00	1.00	0.00	0.00
66	GN	M4	T3	8	8	1	0	8	0	1.00	0.13	0.00	1.00	0.00
67	GN	M4	T4	8	3	5	3	5	0	0.38	0.63	0.38	0.63	0.00
68	GN	M4	T4	8	1	0	0	8	0	0.13	0.00	0.00	1.00	0.00
69	GN	M4	T5	8	4	0	4	4	4	0.50	0.00	0.50	0.50	0.50
70	GN	M4	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
71	GN	M4	T6	8	4	2	5	3	0	0.50	0.25	0.63	0.38	0.00
72	GN	M4	T6	9	0	4	0	5	0	0.00	0.44	0.00	0.56	0.00
73	GN	M4	T7	10	0	0	0	10	0	0.00	0.00	0.00	1.00	0.00
74	GN	M4	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
77	GN	M4	T8	8	0	4	0	8	0	0.00	0.50	0.00	1.00	0.00
78	GN	M4	T8	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
81	GN	M5	T1	8	0	3	0	8	0	0.00	0.38	0.00	1.00	0.00
82	GN	M5	T1	8	0	3	0	5	0	0.00	0.38	0.00	0.63	0.00
83	GN	M5	T2	8	0	8	0	0	0	0.00	1.00	0.00	0.00	0.00
84	GN	M5	T2	8	1	4	0	4	0	0.13	0.50	0.00	0.50	0.00
85	GN	M5	T3	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
86	GN	M5	T3	7	0	0	0	7	0	0.00	0.00	0.00	1.00	0.00
87	GN	M5	T4	8	0	6	2	0	0	0.00	0.75	0.25	0.00	0.00
88	GN	M5	T4	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
89	GN	M5	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
