## Experimento de responsabilidade do Prof. Dr. Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774). Foram estudadas
## * 4 variedades de abacaxi (vari);
## * cultivadas na presença/ausência de gesso (gesso, ton/ha);
## * com/sem cobertura do solo;
## * amostras de solo em duas profundidades (m);
## * que receberam 13 tensões (kPa);
## * considerou-se 4 repetições;
## * determinação da umidade (m3/m3) em cada tensão.
##
cober	gesso	prof	varie	rept	tens	umid
Com milheto	0	0-0.05	Perola	1	0	0.4882
Com milheto	0	0-0.05	Perola	2	0	0.4334
Com milheto	0	0-0.05	Perola	3	0	0.3425
Com milheto	0	0-0.05	Perola	4	0	0.4152
Com milheto	0	0-0.05	Perola	1	1	0.4893
Com milheto	0	0-0.05	Perola	2	1	0.4158
Com milheto	0	0-0.05	Perola	3	1	0.3463
Com milheto	0	0-0.05	Perola	4	1	0.3980
Com milheto	0	0-0.05	Perola	1	2	0.4114
Com milheto	0	0-0.05	Perola	2	2	0.3603
Com milheto	0	0-0.05	Perola	3	2	0.3409
Com milheto	0	0-0.05	Perola	4	2	0.3599
Com milheto	0	0-0.05	Perola	1	4	0.2716
Com milheto	0	0-0.05	Perola	2	4	0.2677
Com milheto	0	0-0.05	Perola	3	4	0.2943
Com milheto	0	0-0.05	Perola	4	4	0.2711
Com milheto	0	0-0.05	Perola	1	6	0.2144
Com milheto	0	0-0.05	Perola	2	6	0.2161
Com milheto	0	0-0.05	Perola	3	6	0.2509
Com milheto	0	0-0.05	Perola	4	6	0.2245
Com milheto	0	0-0.05	Perola	1	8	0.1822
Com milheto	0	0-0.05	Perola	2	8	0.1948
Com milheto	0	0-0.05	Perola	3	8	0.2143
Com milheto	0	0-0.05	Perola	4	8	0.2004
Com milheto	0	0-0.05	Perola	1	9	0.1746
Com milheto	0	0-0.05	Perola	2	9	0.1827
Com milheto	0	0-0.05	Perola	3	9	0.2027
Com milheto	0	0-0.05	Perola	4	9	0.1897
Com milheto	0	0-0.05	Perola	1	10	0.1400
Com milheto	0	0-0.05	Perola	2	10	0.1729
Com milheto	0	0-0.05	Perola	3	10	0.1941
Com milheto	0	0-0.05	Perola	4	10	0.1811
Com milheto	0	0-0.05	Perola	1	33	0.0990
Com milheto	0	0-0.05	Perola	2	33	0.1222
Com milheto	0	0-0.05	Perola	3	33	0.1288
Com milheto	0	0-0.05	Perola	4	33	0.1280
Com milheto	0	0-0.05	Perola	1	66	0.0922
Com milheto	0	0-0.05	Perola	2	66	0.1063
Com milheto	0	0-0.05	Perola	3	66	0.1240
Com milheto	0	0-0.05	Perola	4	66	0.1275
Com milheto	0	0-0.05	Perola	1	100	0.0909
Com milheto	0	0-0.05	Perola	2	100	0.1004
Com milheto	0	0-0.05	Perola	3	100	0.1171
Com milheto	0	0-0.05	Perola	4	100	0.1252
Com milheto	0	0-0.05	Perola	1	300	0.0881
Com milheto	0	0-0.05	Perola	2	300	0.0991
Com milheto	0	0-0.05	Perola	3	300	0.1363
Com milheto	0	0-0.05	Perola	4	300	0.1008
