## Experimento de responsabilidade do Prof. Dr. Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774). Foram estudadas 4
## variedades de abacaxi cultivadas na presença/ausência de gesso e
## com/sem cobertura do solo. Arranjo dos fatores foi um fatorial triplo
## 4x2x2 completo em delineamento de blocos (4). As variáveis resposta
## são altura das plantas no início do experimento (dia 0) e altura,
## diâmentro do caule e diâmetro da roseta ao final do experimento (aos
## 90 dias).
##
epoca	cultivar	gesso	cobertura	bloco	planta	altura	dcaule	droseta
0	Smooth Cayenne				1	34.98	33.43	
0	Smooth Cayenne				2	29.04	32.48	
0	Smooth Cayenne				3	30.36	28.18	
0	Smooth Cayenne				4	31.02	36.50	
0	Smooth Cayenne				5	31.02	36.50	
0	Smooth Cayenne				1	29.70	36.45	
0	Smooth Cayenne				2	33.00	35.38	
0	Smooth Cayenne				3	26.40	33.53	
0	Smooth Cayenne				4	23.10	33.00	
0	Smooth Cayenne				5	27.72	36.10	
0	Smooth Cayenne				1	25.74	31.80	
0	Smooth Cayenne				2	29.70	34.80	
0	Smooth Cayenne				3	29.70	32.82	
0	Smooth Cayenne				4	27.06	35.12	
0	Smooth Cayenne				5	27.06	31.22	
0	Smooth Cayenne				1	29.04	32.44	
0	Smooth Cayenne				2	31.02	39.70	
0	Smooth Cayenne				3	32.34	33.55	
0	Smooth Cayenne				4	29.04	28.00	
0	Smooth Cayenne				5	31.68	33.25	
0	Pérola				1	34.32	32.78	
0	Pérola				2	29.70	29.70	
0	Pérola				3	34.98	32.42	
0	Pérola				4	29.70	30.15	
0	Pérola				5	32.34	29.12	
0	Pérola				1	25.08	28.87	
0	Pérola				2	33.00	30.40	
0	Pérola				3	21.12	28.67	
0	Pérola				4	30.36	31.95	
0	Pérola				5	28.38	37.18	
0	Pérola				1	31.68	28.54	
0	Pérola				2	34.32	30.45	
0	Pérola				3	31.02	29.50	
0	Pérola				4	28.38	29.08	
0	Pérola				5	28.38	30.60	
0	Pérola				1	33.00	31.00	
0	Pérola				2	21.78	27.56	
0	Pérola				3	31.02	33.00	
0	Pérola				4	27.06	28.43	
0	Pérola				5	19.80	25.72	
0	IAC Fantástico				1	14.52	26.31	
0	IAC Fantástico				2	15.84	26.10	
0	IAC Fantástico				3	15.18	27.45	
0	IAC Fantástico				4	14.52	26.17	
0	IAC Fantástico				5	14.52	26.18	
