#------------------------------------------------------------------------------------------
# dados de análise de imagens de agregados (análise morfométrica) de amostras de solo
# identificadas por dois níveis de profundidade de coleta. As variáveis observadas foram:
# área: area (da projeção no plano) do agregado;
# perimetro: perimetro do poligono (obtido da projeção no plano) do agregado;
# aspecto e roundness: medidas relativas à forma de um círculo;
# maioreixo e menoreixo: retas de maior e menor comprimentos com extremos na borda;
# dados obtidos na Universidade Federal da Grande Dourados pela acadêmica de Agronomia
# (na época) Carla Eloize Carducci.
#------------------------------------------------------------------------------------------
profundidade	area	perimetro	aspecto	roundness	maioreixo	menoreixo
5	0.0038	0.20	0.9474	0.9682	18	17
5	0.0050	0.30	0.9130	0.8711	22	20
5	0.0080	0.40	0.8065	0.7953	30	24
5	0.0052	0.30	0.9545	0.8302	21	20
5	0.0055	0.30	0.7917	0.8966	23	18
5	0.0046	0.20	1.0000	0.9208	20	20
5	0.0055	0.30	0.8696	0.9442	22	19
5	0.0039	0.20	0.6667	0.7796	23	15
5	0.0051	0.30	0.7500	0.7923	23	17
5	0.0079	0.40	0.9655	0.7634	28	27
5	0.0047	0.30	1.0000	0.8921	20	20
5	0.0077	0.30	0.9615	0.9453	25	24
5	0.0040	0.20	0.9500	0.9211	19	18
5	0.0023	0.20	0.9375	0.9593	15	14
5	0.0083	0.40	1.0000	0.7394	26	26
5	0.0076	0.30	0.7586	0.8956	28	21
5	0.0063	0.30	0.7419	0.7180	30	22
5	0.0040	0.20	0.9000	0.9543	19	17
5	0.0043	0.20	1.0000	0.9605	18	18
5	0.0037	0.20	0.8000	0.9250	19	15
5	0.0051	0.30	1.0000	0.8332	21	21
5	0.0057	0.30	0.8750	0.8996	23	20
5	0.0037	0.20	1.0000	0.8883	18	18
5	0.0037	0.20	1.0000	0.8182	19	19
5	0.0054	0.30	0.9583	0.7760	23	22
5	0.0047	0.30	0.8750	0.7155	23	20
5	0.0041	0.20	0.9048	0.9060	20	18
5	0.0064	0.30	0.8889	0.7832	26	23
5	0.0085	0.40	0.7059	0.7054	33	23
5	0.0056	0.30	0.9600	0.7628	24	23
5	0.0055	0.30	0.6897	0.7091	28	19
5	0.0042	0.20	1.0000	0.8671	20	20
5	0.0050	0.30	0.8750	0.7227	23	20
5	0.0044	0.30	0.8261	0.8451	22	18
5	0.0044	0.30	1.0000	0.8004	20	20
5	0.0074	0.30	0.8621	0.8152	28	24
5	0.0053	0.30	0.9130	0.8991	22	20
5	0.0049	0.30	0.9200	0.5768	24	22
5	0.0025	0.20	0.8333	0.9050	17	14
5	0.0059	0.30	0.6786	0.8366	27	18
5	0.0037	0.20	0.8636	0.7944	21	18
5	0.0030	0.20	0.7368	0.8489	18	13
5	0.0058	0.30	0.9615	0.6594	25	24
5	0.0054	0.30	0.8333	0.8879	23	19
5	0.0059	0.30	0.7143	0.7697	27	19
5	0.0057	0.30	0.9167	0.8418	23	21
5	0.0041	0.20	0.7727	0.8561	21	16
5	0.0046	0.30	1.0000	0.8991	20	20
5	0.0044	0.30	0.8077	0.6452	25	20
5	0.0032	0.20	0.9474	0.8258	18	17
5	0.0023	0.20	0.7059	0.9318	16	11
5	0.0056	0.30	0.7143	0.7404	27	19
5	0.0064	0.30	0.7778	0.7640	26	20
5	0.0068	0.30	0.9231	0.8875	25	23
5	0.0046	0.30	0.5926	0.7771	26	15
5	0.0038	0.20	0.9048	0.8707	20	18
5	0.0043	0.20	0.7826	0.8682	22	17
5	0.0065	0.30	0.9600	0.7812	24	23
5	0.0045	0.20	0.9048	0.9326	20	18
5	0.0053	0.30	0.9130	0.8211	22	20
5	0.0034	0.20	0.8889	0.9415	17	15
5	0.0034	0.20	0.9474	0.8638	18	17
5	0.0032	0.20	0.8500	0.8304	19	16
5	0.0033	0.20	0.8421	0.9288	18	15
5	0.0045	0.30	0.9091	0.8309	21	19
5	0.0068	0.30	0.7586	0.8294	28	21
5	0.0057	0.30	0.8077	0.8625	25	20
5	0.0040	0.20	0.9500	0.8826	19	18
5	0.0045	0.30	0.8182	0.8342	21	17
5	0.0054	0.30	1.0000	0.6384	24	24
5	0.0061	0.30	0.6333	0.7398	29	18
5	0.0043	0.30	0.5926	0.7185	26	15
5	0.0055	0.30	0.8000	0.8342	24	19
5	0.0021	0.20	0.7222	0.7895	17	12
5	0.0109	0.50	0.6923	0.5766	38	26
5	0.0052	0.30	0.7200	0.7705	24	17
5	0.0052	0.30	0.9091	0.8805	21	19
5	0.0037	0.20	1.0000	0.8681	19	19
5	0.0060	0.30	0.8148	0.7470	26	21
5	0.0050	0.30	0.7500	0.8782	23	17
5	0.0094	0.40	0.9355	0.7312	30	28
5	0.0076	0.30	0.8929	0.8213	27	24
5	0.0084	0.30	0.7667	0.9000	29	22
5	0.0044	0.30	0.7600	0.7315	24	18
5	0.0026	0.20	0.8235	0.9926	16	13
5	0.0034	0.20	1.0000	0.9681	17	17
5	0.0066	0.30	0.8846	0.8337	25	22
5	0.0029	0.20	1.0000	0.9111	15	15
5	0.0086	0.40	0.8438	0.6898	31	26
5	0.0074	0.30	1.0000	0.8254	25	25
5	0.0053	0.30	0.9545	0.7954	21	20
5	0.0058	0.30	0.9565	0.8523	22	21
5	0.0072	0.40	0.7419	0.7213	30	22
5	0.0031	0.20	0.6190	0.9018	20	12
5	0.0061	0.30	0.6061	0.6353	32	19
5	0.0083	0.40	0.8065	0.8443	30	24
5	0.0044	0.30	0.6400	0.8532	24	15
5	0.0070	0.30	0.8214	0.8519	27	22
5	0.0024	0.20	0.9333	1.0000	14	13
5	0.0037	0.20	0.9048	0.7973	20	18
5	0.0039	0.20	0.9474	0.8837	18	17
5	0.0071	0.30	0.8148	0.8314	26	21
5	0.0075	0.30	0.9643	0.8244	27	26
5	0.0099	0.40	0.7576	0.8469	32	24
5	0.0057	0.30	0.7600	0.9138	24	18
5	0.0054	0.30	0.7917	0.8327	23	18
5	0.0029	0.20	0.9474	0.7214	18	17
5	0.0060	0.30	0.8000	0.8984	24	19
5	0.0039	0.20	0.7727	0.7985	21	16
5	0.0095	0.40	0.7500	0.7105	35	26
5	0.0044	0.20	0.9000	0.9447	19	17
5	0.0066	0.30	0.9167	0.9326	23	21
5	0.0050	0.30	0.9565	0.8179	22	21
5	0.0052	0.30	0.9524	0.9213	20	19
5	0.0021	0.20	0.8667	1.0000	14	12
5	0.0023	0.20	0.9333	1.0000	14	13
5	0.0045	0.30	0.9545	0.8464	21	20
5	0.0051	0.30	0.9524	0.9290	20	19
5	0.0034	0.20	0.9474	0.9194	18	17
5	0.0039	0.20	1.0000	0.9367	18	18
5	0.0052	0.30	0.7308	0.7922	25	18
5	0.0038	0.20	0.7391	0.8004	22	16
5	0.0055	0.30	0.9583	0.8282	23	22
5	0.0052	0.30	0.9565	0.8181	22	21
5	0.0060	0.30	0.9565	0.9210	22	21
5	0.0035	0.20	0.8095	0.8542	20	16
5	0.0063	0.30	0.5161	0.7743	30	15
5	0.0048	0.30	0.9545	0.9024	21	20
5	0.0023	0.20	0.7222	0.8775	17	12
5	0.0032	0.20	0.9474	0.7487	18	17
5	0.0050	0.30	0.5517	0.7531	28	15
5	0.0057	0.30	0.9167	0.8660	23	21
5	0.0069	0.30	0.9600	0.9132	24	23
5	0.0032	0.20	0.9444	0.9300	17	16
5	0.0034	0.20	0.8947	0.8618	18	16
5	0.0092	0.40	0.7813	0.8744	31	24
5	0.0058	0.30	1.0000	0.8608	23	23
5	0.0040	0.30	0.7500	0.7234	23	17
5	0.0042	0.20	0.8636	0.8927	21	18
5	0.0039	0.20	0.9500	0.9195	19	18
5	0.0032	0.20	0.7368	0.9106	18	13
5	0.0024	0.20	0.9375	0.8954	15	14
5	0.0040	0.20	0.9474	0.9291	18	17
5	0.0096	0.40	0.9375	0.7354	31	29
5	0.0039	0.20	0.9048	0.8466	20	18
5	0.0033	0.20	0.8095	0.8463	20	16
5	0.0037	0.20	0.7273	0.8946	21	15
5	0.0052	0.30	0.9091	0.9003	21	19
5	0.0038	0.20	0.8500	0.8987	19	16
5	0.0060	0.30	0.9600	0.8104	24	23
5	0.0047	0.30	0.8261	0.8260	22	18
5	0.0044	0.30	1.0000	0.8195	20	20
5	0.0066	0.30	0.5143	0.6961	34	17
5	0.0068	0.30	0.7742	0.7149	30	23
5	0.0039	0.20	0.8182	0.8449	21	17
5	0.0024	0.20	0.7778	0.8078	17	13
5	0.0045	0.30	0.8636	0.8709	21	18
5	0.0024	0.20	0.9375	0.9544	15	14
5	0.0051	0.30	0.6786	0.7723	27	18
5	0.0035	0.20	0.7619	0.8356	20	15
5	0.0058	0.30	1.0000	0.8259	23	23
5	0.0035	0.20	0.7619	0.8677	20	15
5	0.0058	0.30	0.6452	0.6927	30	19
5	0.0054	0.30	1.0000	0.9105	21	21
5	0.0037	0.20	0.8095	0.8946	20	16
5	0.0074	0.30	1.0000	0.8772	24	24
5	0.0050	0.30	0.9524	0.9197	20	19
5	0.0078	0.30	0.8889	0.8855	26	23
5	0.0041	0.20	0.8571	0.9382	20	17
5	0.0026	0.20	0.8824	0.9556	16	14
5	0.0039	0.20	0.9500	0.8547	19	18
5	0.0043	0.20	0.7727	0.8830	21	16
5	0.0040	0.30	0.5926	0.6690	26	15
5	0.0056	0.30	0.9565	0.8951	22	21
5	0.0062	0.30	0.9600	0.7300	24	23
5	0.0024	0.20	0.9375	0.9350	15	14
5	0.0048	0.30	0.7826	0.8325	22	17
5	0.0051	0.30	0.8696	0.8426	22	19
5	0.0056	0.30	0.8800	0.7358	24	21
5	0.0044	0.30	0.8182	0.8329	21	17
5	0.0034	0.20	0.7619	0.8445	20	15
5	0.0036	0.20	0.9000	0.8918	19	17
5	0.0083	0.30	0.9630	0.8866	26	25
5	0.0051	0.30	0.8333	0.8452	23	19
5	0.0069	0.30	0.6333	0.8114	29	18
5	0.0035	0.20	0.7273	0.8407	21	15
5	0.0048	0.30	0.9091	0.8990	21	19
5	0.0052	0.30	0.7917	0.9005	23	18
5	0.0051	0.30	0.9545	0.9012	21	20
5	0.0040	0.20	1.0000	0.9172	19	19
5	0.0090	0.40	0.9333	0.9030	29	27
5	0.0049	0.30	0.7917	0.8715	23	18
5	0.0049	0.30	0.8333	0.8028	23	19
5	0.0079	0.30	1.0000	0.8337	25	25
5	0.0086	0.40	0.8065	0.8425	30	24
5	0.0029	0.20	0.8889	0.8851	17	15
5	0.0033	0.20	0.8000	0.8932	19	15
5	0.0039	0.20	1.0000	0.8969	18	18
5	0.0047	0.20	0.9524	0.9474	20	19
5	0.0039	0.20	0.9500	0.8890	19	18
5	0.0053	0.30	0.9565	0.8985	22	21
5	0.0042	0.20	0.9500	0.9123	19	18
5	0.0040	0.30	0.6667	0.7824	23	15
5	0.0044	0.20	0.8571	0.9725	20	17
5	0.0062	0.30	0.9583	0.9065	23	22
5	0.0023	0.20	0.8125	0.9670	15	12
5	0.0030	0.20	0.8421	0.8929	18	15
5	0.0050	0.30	0.9545	0.8614	21	20
5	0.0048	0.30	0.9167	0.7543	23	21
5	0.0036	0.20	0.7143	0.8599	20	14
5	0.0069	0.30	0.7778	0.8995	26	20
5	0.0037	0.20	0.9500	0.7771	19	18
5	0.0039	0.20	0.8182	0.8729	21	17
5	0.0088	0.40	0.6471	0.8505	33	21
5	0.0047	0.30	0.7500	0.8228	23	17
5	0.0051	0.30	0.9200	0.8001	24	22
5	0.0048	0.30	0.7500	0.9097	23	17
5	0.0037	0.20	1.0000	0.8672	18	18
5	0.0046	0.30	0.6800	0.6283	24	16
5	0.0022	0.20	0.9375	0.8254	15	14
5	0.0057	0.30	0.8077	0.7968	25	20
5	0.0064	0.30	0.9200	0.8961	24	22
5	0.0042	0.20	0.7727	0.8857	21	16
5	0.0042	0.20	0.9524	0.9227	20	19
5	0.0026	0.20	0.7778	0.9040	17	13
5	0.0044	0.30	0.8636	0.8487	21	18
5	0.0029	0.20	0.8889	0.9017	17	15
5	0.0070	0.30	0.8621	0.7881	28	24
5	0.0058	0.30	0.6774	0.6632	30	20
5	0.0036	0.20	0.7727	0.8411	21	16
5	0.0069	0.30	0.6452	0.7770	30	19
5	0.0046	0.30	0.7692	0.6990	25	19
5	0.0064	0.30	0.9583	0.8976	23	22
5	0.0050	0.30	0.8333	0.8811	23	19
5	0.0038	0.30	0.6296	0.6187	26	16
5	0.0050	0.30	0.8333	0.8550	23	19
5	0.0051	0.30	0.9524	0.8711	20	19
5	0.0020	0.20	0.6667	0.8398	17	11
5	0.0054	0.30	0.7600	0.8559	24	18
5	0.0042	0.20	0.8182	0.8468	21	17
5	0.0031	0.20	0.8421	0.8631	18	15
5	0.0049	0.30	0.9130	0.8269	22	20
