estag	desf	rep	pcapu	nnos	alt	ncapu	nestru
1veg	0	1	33.160	32	151.00	10	10
1veg	0	2	28.675	29	145.50	9	9
1veg	0	3	31.485	29	139.50	8	8
1veg	0	4	28.925	27	155.00	8	9
1veg	0	5	36.430	28	149.50	10	10
1veg	25	1	34.105	30	156.50	11	11
1veg	25	2	30.010	33	153.50	9	9
1veg	25	3	37.338	23	127.00	10	11
1veg	25	4	27.930	29	168.50	10	10
1veg	25	5	29.320	26	152.50	10	10
1veg	50	1	25.228	27	146.50	8	8
1veg	50	2	26.205	30	157.00	8	8
1veg	50	3	33.327	28	133.00	10	10
1veg	50	4	26.750	30	156.00	8	8
1veg	50	5	33.200	25	140.50	9	9
1veg	75	1	30.180	28	140.00	9	9
1veg	75	2	27.306	33	160.50	7	7
1veg	75	3	27.277	27	155.50	7	8
1veg	75	4	28.305	28	142.50	8	9
1veg	75	5	32.030	26	149.50	9	9
1veg	100	1	24.323	27	145.00	8	8
1veg	100	2	20.875	35	161.00	6	6
1veg	100	3	20.755	29	149.50	6	6
1veg	100	4	16.235	33	149.00	5	6
1veg	100	5	22.200	29	155.00	6	6
2bot	0	1	24.400	27	153.00	7	7
2bot	0	2	30.015	28	149.00	8	8
2bot	0	3	27.980	26	136.00	8	8
2bot	0	4	32.437	28	144.00	9	9
2bot	0	5	30.845	25	120.00	10	10
2bot	25	1	28.815	28	150.50	9	9
2bot	25	2	31.547	30	148.50	12	12
2bot	25	3	26.453	29	133.00	7	7
2bot	25	4	29.775	30	137.00	10	10
2bot	25	5	27.700	33	143.00	9	9
2bot	50	1	30.389	30	137.00	8	9
2bot	50	2	26.957	32	141.50	9	9
2bot	50	3	29.975	30	141.00	9	9
2bot	50	4	35.430	29	125.50	10	10
2bot	50	5	25.093	30	136.00	8	8
2bot	75	1	34.501	31	150.50	11	12
2bot	75	2	26.860	33	156.00	10	10
2bot	75	3	20.500	31	122.00	7	7
2bot	75	4	26.071	34	147.50	8	8
2bot	75	5	24.929	30	129.50	8	8
2bot	100	1	23.015	30	143.00	7	9
2bot	100	2	25.007	34	175.00	7	8
2bot	100	3	21.706	34	164.00	7	7
2bot	100	4	22.449	34	147.00	7	6
2bot	100	5	24.024	30	157.00	8	9
3flor	0	1	27.681	30	123.50	10	10
3flor	0	2	30.510	26	141.50	9	9
3flor	0	3	29.555	31	138.00	8	8
3flor	0	4	32.825	28	129.00	12	13
3flor	0	5	23.200	31	126.00	8	8
3flor	25	1	26.580	32	151.00	7	7
3flor	25	2	15.600	32	137.00	5	7
3flor	25	3	19.260	35	122.00	5	8
3flor	25	4	26.174	31	132.00	7	7
3flor	25	5	18.060	31	128.00	5	5
3flor	50	1	23.666	30	139.00	6	8
3flor	50	2	16.491	34	140.00	5	7
3flor	50	3	23.310	31	123.50	7	7
3flor	50	4	14.590	33	146.00	4	5
3flor	50	5	25.425	35	142.50	7	8
3flor	75	1	27.928	30	127.00	8	8
3flor	75	2	15.475	27	121.50	5	6
3flor	75	3	23.314	31	130.00	7	7
3flor	75	4	20.620	31	115.50	6	6
3flor	75	5	13.990	38	140.00	4	7
3flor	100	1	16.851	29	128.00	5	5
3flor	100	2	8.522	38	152.00	5	7
3flor	100	3	9.686	35	155.00	4	6
3flor	100	4	14.556	34	161.00	4	6
3flor	100	5	17.435	30	143.50	5	5
4maça	0	1	28.103	27	127.50	8	8
4maça	0	2	28.900	26	130.50	10	10
4maça	0	3	25.460	32	133.00	7	7
4maça	0	4	27.690	25	132.50	8	8
4maça	0	5	34.750	26	127.00	10	10
4maça	25	1	30.678	29	137.00	9	9
4maça	25	2	30.360	30	132.00	6	8
4maça	25	3	23.330	29	130.00	6	6
4maça	25	4	19.581	28	122.00	8	8
4maça	25	5	28.655	30	130.00	6	7
4maça	50	1	27.991	29	115.00	9	9
4maça	50	2	26.994	27	123.00	7	7
4maça	50	3	30.878	29	127.00	11	10
4maça	50	4	28.358	29	122.00	8	8
4maça	50	5	29.390	30	133.50	9	9
4maça	75	1	20.312	30	117.50	6	8
4maça	75	2	22.560	31	133.00	6	7
4maça	75	3	23.810	30	112.00	6	6
4maça	75	4	20.754	32	119.00	6	6
4maça	75	5	22.230	30	110.00	7	7
4maça	100	1	8.750	35	126.00	3	7
4maça	100	2	4.735	32	138.50	3	6
4maça	100	3	5.560	35	139.00	2	5
4maça	100	4	9.055	34	133.00	4	6
4maça	100	5	5.535	37	111.00	3	3
5capu	0	1	34.140	29	137.00	11	11
5capu	0	2	28.777	29	137.50	7	7
5capu	0	3	36.580	26	138.50	9	9
5capu	0	4	38.320	27	128.00	12	12
5capu	0	5	33.100	24	130.00	11	11
5capu	25	1	29.128	27	149.00	9	9
5capu	25	2	34.105	27	142.50	13	13
5capu	25	3	28.870	30	141.00	8	8
5capu	25	4	29.760	25	123.00	10	10
5capu	25	5	33.763	28	112.00	10	10
5capu	50	1	29.122	29	143.00	9	9
5capu	50	2	25.970	28	137.50	7	7
5capu	50	3	25.735	31	147.50	7	8
5capu	50	4	29.930	26	149.00	9	9
5capu	50	5	31.510	28	134.50	9	9
5capu	75	1	29.460	28	112.00	8	8
5capu	75	2	25.255	30	133.00	8	8
5capu	75	3	32.480	30	135.00	10	10
5capu	75	4	26.820	24	130.50	8	8
5capu	75	5	28.740	29	148.00	10	10
5capu	100	1	22.460	31	151.00	9	9
5capu	100	2	25.750	29	140.00	8	8
5capu	100	3	30.760	28	140.00	10	10
5capu	100	4	22.200	31	145.50	8	8
5capu	100	5	25.575	31	142.00	10	10
