energia	sexo	rep	pi	id	pvivo	rendcarc	peso28
baixo	MC	1	93.3	134	127.0	82.2835	127.0
baixo	MC	2	94.0	137	124.6	83.0658	124.6
baixo	MC	3	91.6	133	126.4	80.6962	126.4
baixo	MC	4	89.3	133	118.6	82.7150	118.6
baixo	MC	5	91.5	144	121.9	82.8548	121.9
baixo	MC	6	93.0	147	125.3	81.1652	125.3
baixo	MC	7	88.8	138	122.9	83.5639	122.9
baixo	MC	8	93.7	142	123.8	82.6333	123.8
medio	MC	1	93.9	134	125.7	82.8958	125.7
medio	MC	2	88.5	137	119.5	82.5105	119.5
medio	MC	3	92.4	133	129.2	81.6563	129.2
medio	MC	4	90.5	133	123.3	82.0762	123.3
medio	MC	5	93.5	124	126.2	83.9937	126.2
medio	MC	6	92.0	132	125.0	81.2800	125.0
medio	MC	7	91.6	138	122.9	85.0285	122.9
medio	MC	8	89.7	142	119.4	83.6683	119.4
alto	MC	1	92.8	134	130.8	84.4037	130.8
alto	MC	2	95.4	137	135.1	82.8275	135.1
alto	MC	3	91.3	133	120.8	82.3675	120.8
alto	MC	4	88.8	142	113.7	82.4099	113.7
alto	MC	5	91.0	144	122.4	84.9673	122.4
alto	MC	6	94.0	132	129.2	82.8173	129.2
alto	MC	7	92.9	138	129.4	81.5301	129.4
alto	MC	8	92.0	142	120.7	84.8384	120.7
baixo	MI	1	96.8	134	146.3	78.4005	146.3
baixo	MI	2	92.4	137	132.5	82.2642	132.5
baixo	MI	3	88.5	133	121.3	80.2968	121.3
baixo	MI	4	91.5	140	123.4	80.3890	123.4
baixo	MI	5	92.0	124	123.0	81.7886	123.0
baixo	MI	6	97.5	147	126.8	81.6246	126.8
baixo	MI	7	90.6	136	122.9	82.0179	122.9
baixo	MI	8	90.7	142	122.0	80.5738	122.0
medio	MI	1	97.6	134	138.8	80.1873	138.8
medio	MI	2	89.0	137	132.5	76.3019	132.5
medio	MI	3	90.3	133	128.3	81.0600	128.3
medio	MI	4	93.9	140	129.7	82.1126	129.7
medio	MI	5	94.0	124	123.6	81.8770	123.6
medio	MI	6	96.0	147	125.4	80.3828	125.4
medio	MI	7	87.3	136	126.8	83.0442	126.8
medio	MI	8	90.2	142	128.6	81.8818	128.6
alto	MI	1	96.7	134	138.6	81.4574	138.6
alto	MI	2	90.4	137	127.6	81.1129	127.6
alto	MI	3	89.5	133	125.3	81.0854	125.3
alto	MI	4	94.0	140	124.5	78.8755	124.5
alto	MI	5	94.0	144	131.6	79.3313	131.6
alto	MI	6	93.0	147	116.8	81.6781	116.8
alto	MI	7	89.8	136	125.1	81.4548	125.1
alto	MI	8	89.2	142	135.1	80.1628	135.1
baixo	F	1	92.9	134	123.6	81.7152	123.6
baixo	F	2	90.8	137	119.6	88.2107	119.6
baixo	F	3	88.8	133	119.4	84.8409	119.4
baixo	F	4	91.2	140	123.6	81.5534	123.6
baixo	F	5	93.0	144	123.6	82.1197	123.6
baixo	F	6	95.7	147	129.6	84.6451	129.6
baixo	F	7	90.2	136	116.6	85.5918	116.6
baixo	F	8	95.7	142	127.4	82.5746	127.4
medio	F	1	92.1	134	128.3	83.7880	128.3
medio	F	2	91.4	137	126.5	81.5810	126.5
medio	F	3	89.5	133	121.0	81.0744	121.0
medio	F	4	90.0	145	122.1	83.9476	122.1
medio	F	5	92.5	144	124.7	83.4804	124.7
medio	F	6	95.7	147	132.5	82.9434	132.5
medio	F	7	91.7	138	124.0	83.6290	124.0
medio	F	8	94.0	142	125.0	82.4800	125.0
alto	F	1	92.7	134	129.0	84.1085	129.0
alto	F	2	90.4	137	124.4	79.2605	124.4
alto	F	3	91.3	133	128.5	80.9339	128.5
alto	F	4	88.8	140	127.6	81.8966	127.6
alto	F	5	92.0	144	125.8	81.9555	125.8
alto	F	6	95.5	147	129.4	84.0031	129.4
alto	F	7	91.9	136	121.5	84.1152	121.5
alto	F	8	94.2	142	129.1	81.3323	129.1

