Animal Peso Data raca
342444 154 08/07/04 A
342444 300 10/01/05 B
342444 428 24/10/05 C
342444 546 02/02/07 A
342444 648 17/05/07 B
342447 140 08/07/04 C
342447 280 10/01/05 A
342447 329 24/10/05 B
342447 528 02/02/07 C
342447 616 17/05/07 A
342467 159 08/07/04 B
342467 270 10/01/05 C
342467 320 24/10/05 A
342467 482 02/02/07 B
342467 574 17/05/07 C
342468 144 08/07/04 A
342468 268 10/01/05 B
342468 313 24/10/05 C
342468 483 02/02/07 A
342468 566 17/05/07 B
342469 138 08/07/04 C
342469 278 10/01/05 A
342469 330 24/10/05 B
342469 481 02/02/07 C
342469 558 17/05/07 A
342476 123 08/07/04 B
342476 270 10/01/05 C
342476 324 24/10/05 A
342476 493 02/02/07 B
342476 578 17/05/07 C
342479 102 08/07/04 A
342479 230 10/01/05 B
342479 299 24/10/05 C
342479 532 02/02/07 A
342479 606 17/05/07 B
342488 140 08/07/04 C
342488 280 10/01/05 A
342488 327 24/10/05 B
342488 500 02/02/07 C
342488 582 17/05/07 A
342441 116 08/07/04 B
342441 268 10/01/05 C
342441 359 24/10/05 A
342441 556 02/02/07 B
342441 660 17/05/07 C
342442 112 08/07/04 A
342442 260 10/01/05 B
342442 329 24/10/05 C
342442 526 02/02/07 A
342442 638 17/05/07 B
342446 126 08/07/04 C
342446 245 10/01/05 A
342446 356 24/10/05 B
342446 524 02/02/07 C
342446 602 17/05/07 A
342449 142 08/07/04 B
342449 260 10/01/05 C
342449 375 24/10/05 A
342449 544 02/02/07 B
342449 650 17/05/07 C
