cultivar	dose	bloco	indice
Ag-1002	0	I	46
Ag-1002	0	II	48
Ag-1002	0	III	44
Ag-1002	0	IV	46
Ag-1002	60	I	48
Ag-1002	60	II	47
Ag-1002	60	III	49
Ag-1002	60	IV	48
Ag-1002	120	I	52
Ag-1002	120	II	50
Ag-1002	120	III	50
Ag-1002	120	IV	49
Ag-1002	180	I	53
Ag-1002	180	II	52
Ag-1002	180	III	51
Ag-1002	180	IV	52
Ag-1002	240	I	55
Ag-1002	240	II	52
Ag-1002	240	III	53
Ag-1002	240	IV	54
Ag-1002	300	I	55
Ag-1002	300	II	54
Ag-1002	300	III	54
Ag-1002	300	IV	53
BR-300	0	I	43
BR-300	0	II	43
BR-300	0	III	42
BR-300	0	IV	41
BR-300	60	I	46
BR-300	60	II	50
BR-300	60	III	47
BR-300	60	IV	47
BR-300	120	I	52
BR-300	120	II	50
BR-300	120	III	51
BR-300	120	IV	51
BR-300	180	I	54
BR-300	180	II	52
BR-300	180	III	53
BR-300	180	IV	53
BR-300	240	I	55
BR-300	240	II	52
BR-300	240	III	55
BR-300	240	IV	54
BR-300	300	I	54
BR-300	300	II	53
BR-300	300	III	54
BR-300	300	IV	53
Pioneer-B815	0	I	48
Pioneer-B815	0	II	46
Pioneer-B815	0	III	48
Pioneer-B815	0	IV	49
Pioneer-B815	60	I	51
Pioneer-B815	60	II	48
Pioneer-B815	60	III	49
Pioneer-B815	60	IV	49
Pioneer-B815	120	I	53
Pioneer-B815	120	II	51
Pioneer-B815	120	III	52
Pioneer-B815	120	IV	51
Pioneer-B815	180	I	56
Pioneer-B815	180	II	55
Pioneer-B815	180	III	54
Pioneer-B815	180	IV	54
Pioneer-B815	240	I	55
Pioneer-B815	240	II	53
Pioneer-B815	240	III	55
Pioneer-B815	240	IV	54
Pioneer-B815	300	I	54
Pioneer-B815	300	II	55
Pioneer-B815	300	III	53
Pioneer-B815	300	IV	53
