preco	area	nquart	nbanh	nvaga	nsuit	bairro
NA	NA	NA	NA	NA	NA	Agua Verde
NA	181	4	NA	3	NA	Agua Verde
NA	NA	NA	NA	1	1	Agua Verde
NA	NA	3	2	2	1	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	97	NA	NA	1	NA	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	NA	NA	2	NA	1	Agua Verde
417000	75	2	2	2	1	Agua Verde
417000	75	2	2	2	1	Agua Verde
1170000	178	4	4	2	1	Agua Verde
413901	62.31	2	1	1	NA	Agua Verde
970000	133	4	4	2	3	Agua Verde
654900	119	3	4	2	1	Agua Verde
801900	139	3	5	2	3	Agua Verde
1000000	176	3	3	2	3	Agua Verde
495900	85	2	3	2	2	Agua Verde
660000	145	3	5	2	3	Agua Verde
583900	119	2	2	2	1	Agua Verde
1086900	188	3	5	3	3	Agua Verde
750000	145	NA	5	2	3	Agua Verde
570900	85	2	3	2	2	Agua Verde
NA	NA	NA	2	NA	1	Agua Verde
NA	NA	NA	NA	1	1	Agua Verde
NA	NA	NA	2	NA	1	Agua Verde
NA	NA	2	NA	NA	NA	Agua Verde
NA	NA	NA	4	2	NA	Agua Verde
NA	NA	3	5	NA	3	Agua Verde
NA	67	2	2	2	1	Agua Verde
NA	67	2	2	2	1	Agua Verde
417000	75	2	2	2	1	Agua Verde
439900	75.48	2	1	2	1	Agua Verde
750000	238	3	5	2	3	Agua Verde
474000	79	3	3	2	1	Agua Verde
1437800	181.28	4	6	4	3	Agua Verde
272000	60	2	1	1	1	Agua Verde
263000	60	2	1	1	1	Agua Verde
320000	129	3	2	1	1	Agua Verde
328000	70	3	1	1	1	Agua Verde
269000	60	2	1	1	1	Agua Verde
507040	85.67	2	3	2	2	Agua Verde
260000	60	2	1	1	1	Agua Verde
334000	70	3	1	1	1	Agua Verde
320000	84	2	1	1	NA	Agua Verde
NA	NA	1	NA	NA	NA	Agua Verde
NA	65	3	NA	1	1	Agua Verde
NA	65	3	NA	1	1	Agua Verde
NA	NA	NA	1	2	1	Agua Verde
NA	123	3	3	2	1	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	137	2	NA	1	NA	Agua Verde
1250000	178.16	3	2	2	1	Agua Verde
980000	180	4	4	2	2	Agua Verde
416000	99	2	2	2	1	Agua Verde
824546	118	3	1	2	1	Agua Verde
970000	133	4	4	2	3	Agua Verde
325000	70	3	1	1	1	Agua Verde
331000	70	3	1	1	1	Agua Verde
1100000	202	4	5	2	2	Agua Verde
740000	120.99	3	NA	2	1	Agua Verde
490000	97.87	3	2	2	1	Agua Verde
480000	94.56	3	3	1	1	Agua Verde
1000000	187	NA	1	2	1	Agua Verde
500000	85	2	4	2	2	Agua Verde
555000	77	2	3	2	1	Agua Verde
NA	NA	2	NA	1	NA	Agua Verde
NA	33	1	1	1	NA	Agua Verde
NA	NA	2	2	4	1	Agua Verde
NA	53	NA	2	1	1	Agua Verde
NA	NA	3	3	2	2	Agua Verde
NA	53	NA	2	1	1	Agua Verde
NA	NA	3	NA	2	NA	Agua Verde
NA	NA	NA	2	NA	NA	Agua Verde
1100000	181	3	3	3	1	Agua Verde
600000	104	3	3	2	1	Agua Verde
589900	94	3	3	2	1	Agua Verde
650000	106	3	2	2	1	Agua Verde
510000	82	3	2	2	1	Agua Verde
559900	NA	3	NA	2	1	Agua Verde
680000	119	3	3	2	1	Agua Verde
4250000	442	4	5	4	2	Agua Verde
459000	75	2	2	2	1	Agua Verde
580000	94.64	3	NA	2	1	Agua Verde
495000	88	3	3	2	1	Agua Verde
325000	87	1	1	1	NA	Agua Verde
685000	NA	3	NA	2	1	Agua Verde
970000	133	4	5	2	2	Agua Verde
NA	32	1	1	1	NA	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	NA	1	1	1	NA	Agua Verde
NA	NA	NA	NA	NA	1	Agua Verde
NA	80	2	NA	2	NA	Agua Verde
NA	NA	NA	2	NA	1	Agua Verde
NA	NA	1	1	1	NA	Agua Verde
1250000	178.16	3	2	2	1	Agua Verde
1493500	181.28	4	4	2	3	Agua Verde
1445200	181.28	4	5	3	2	Agua Verde
824546	118	3	1	2	1	Agua Verde
199800	46	2	1	1	NA	Agua Verde
325000	87	1	1	1	NA	Agua Verde
685000	NA	3	NA	2	1	Agua Verde
970000	133	4	5	2	2	Agua Verde
1165000	133	4	5	3	2	Agua Verde
840000	131	4	3	2	1	Agua Verde
1700000	230	3	5	4	3	Agua Verde
425000	91	3	1	1	1	Agua Verde
247000	29	1	1	1	NA	Agua Verde
365000	96	3	3	1	1	Agua Verde
NA	NA	3	5	2	3	Agua Verde
NA	NA	3	5	2	3	Agua Verde
NA	NA	NA	NA	1	1	Agua Verde
NA	NA	3	NA	2	NA	Agua Verde
NA	NA	3	NA	NA	NA	Agua Verde
NA	NA	NA	NA	NA	NA	Agua Verde
NA	NA	NA	NA	1	1	Agua Verde
NA	NA	NA	NA	NA	1	Agua Verde
359000	74	3	2	2	1	Agua Verde
550000	140	3	4	1	1	Agua Verde
340000	118	3	4	2	1	Agua Verde
2200000	240	2	4	6	2	Agua Verde
1000000	158	3	NA	3	NA	Agua Verde
387000	57	2	2	2	1	Agua Verde
