preco	area	nquart	nbanh	nvaga	nsuit	bairro
NA	NA	NA	NA	NA	NA	Batel
NA	NA	1	NA	NA	2	Batel
NA	NA	NA	NA	1	1	Batel
NA	NA	2	NA	NA	NA	Batel
NA	NA	NA	NA	NA	NA	Batel
NA	NA	NA	NA	NA	NA	Batel
NA	181	4	NA	3	NA	Batel
NA	NA	3	5	NA	3	Batel
1100000	83	2	3	1	2	Batel
3500000	344	4	7	5	4	Batel
319000	47	1	NA	1	1	Batel
1300000	226	3	2	2	1	Batel
1190000	195	3	4	2	3	Batel
2300000	190	2	4	3	2	Batel
852000	154	4	4	2	1	Batel
3500000	355	4	7	4	4	Batel
2300000	480	4	6	2	2	Batel
2420000	240	4	5	4	2	Batel
1700000	194	3	NA	2	3	Batel
1800000	315	2	NA	2	2	Batel
430000	150	3	3	1	1	Batel
1100000	180	4	5	2	3	Batel
NA	67	2	2	2	1	Batel
NA	67	2	2	2	1	Batel
NA	67	1	1	NA	NA	Batel
NA	NA	1	NA	NA	NA	Batel
NA	NA	NA	1	2	1	Batel
NA	65	3	NA	1	1	Batel
NA	65	3	NA	1	1	Batel
NA	NA	NA	NA	1	NA	Batel
1650000	347	5	3	3	2	Batel
1650000	347	5	3	3	2	Batel
980000	220	4	6	3	2	Batel
840000	154.44	4	3	2	1	Batel
530000	101	3	2	1	1	Batel
350000	97	3	3	1	1	Batel
1001400	120	2	4	1	2	Batel
2650000	449	5	8	5	5	Batel
1750000	290	3	4	3	1	Batel
660000	134	3	3	1	1	Batel
1900000	329	NA	6	4	4	Batel
510000	77	3	2	2	1	Batel
3100000	470	4	6	4	4	Batel
440000	134	3	1	1	1	Batel
NA	NA	NA	NA	NA	NA	Batel
NA	137	2	NA	1	NA	Batel
NA	33	1	1	1	NA	Batel
NA	NA	2	2	4	1	Batel
NA	NA	NA	NA	NA	NA	Batel
NA	97	NA	NA	1	NA	Batel
NA	53	NA	2	1	1	Batel
NA	53	NA	2	1	1	Batel
1350000	121	2	3	2	2	Batel
1300000	227	3	2	2	1	Batel
350000	73	3	2	1	NA	Batel
