preco	area	quartos	banheiros	vagas	suites	bairro
286000	63	2	2	1	1	portao
328000	75	3	2	1	1	portao
370000	62.77	2	2	2	1	portao
295000	62.88	2	2	1	1	portao
260000	75	3	2	1	1	portao
328000	75	3	2	1	1	portao
328000	75	3	2	1	1	portao
790000	129	3	5	2	3	portao
328000	70	3	1	1	1	portao
334000	70	3	1	1	1	portao
290000	66	3	1	1	1	portao
260000	84	2	1	1	NA	portao
337000	70	3	1	1	1	portao
617000	106	2	3	2	2	portao
286000	63	2	2	1	1	portao
286000	63	2	2	1	1	portao
415000	75	3	2	2	1	portao
380000	113	3	NA	NA	1	portao
384900	80.44	3	2	2	1	portao
858000	155	4	4	2	2	portao
260000	60	2	1	1	1	portao
263000	60	2	1	1	1	portao
299000	62	3	2	1	1	portao
266000	60	2	1	1	1	portao
331000	70	3	1	1	1	portao
270900	63	2	2	1	1	portao
266000	60	2	1	1	1	portao
266000	60	2	1	1	1	portao
395000	66	2	2	1	1	portao
345384	75.18	3	2	1	1	portao
395032	126.3	2	1	1	1	portao
570000	87.3	3	2	2	1	portao
249000	62.53	3	2	1	1	portao
430900	120	3	2	2	1	portao
325000	90	3	1	1	1	portao
272000	60	2	1	1	1	portao
580900	148	3	3	2	1	portao
269000	60	2	1	1	1	portao
336900	75	3	2	1	1	portao
794900	129	3	3	2	3	portao
479900	80	3	2	2	1	portao
300000	56	2	2	1	1	portao
939900	129	3	3	2	1	portao
480000	135	2	1	2	1	portao
613000	126	3	4	2	3	portao
192000	33.15	1	1	NA	NA	portao
933679	155.11	4	5	2	3	portao
1388000	243	3	4	3	3	portao
269000	80	3	2	NA	1	portao
600000	104	3	3	2	1	portao
220000	74	2	1	NA	NA	portao
265000	67	3	1	2	NA	portao
490000	97.87	3	2	2	1	portao
325000	63	3	2	1	1	portao
780000	128	3	5	2	3	portao
250000	66.95	3	NA	1	NA	portao
257000	70	2	1	1	NA	portao
399000	80	3	2	1	1	portao
269000	89	2	1	1	NA	portao
235000	78	3	1	1	NA	portao
200000	33.15	1	1	NA	NA	portao
255000	66	2	1	1	1	portao
255000	66	2	1	1	NA	portao
265000	67	3	2	2	1	portao
409900	103	3	2	1	1	portao
255000	66	2	1	1	NA	portao
340600	75.18	3	1	1	1	portao
299900	56	2	2	1	1	portao
250000	73	2	1	1	NA	portao
599900	106	3	2	2	1	portao
474000	79	3	2	2	1	portao
435000	85	3	2	2	1	portao
356700	65.95	2	2	1	1	portao
277516	63.32	2	2	1	1	portao
430000	75	3	NA	NA	1	portao
220000	66	3	1	1	NA	portao
319900	76	2	2	1	1	portao
148000	42	2	1	1	NA	portao
650000	92	3	2	3	1	portao
220000	66	3	1	1	NA	portao
220000	66	3	1	1	NA	portao
289000	63.17	2	2	1	1	portao
409900	101	3	2	1	1	portao
310000	56	2	2	1	1	portao
689691	104	3	NA	2	NA	portao
380000	104	3	2	1	1	portao
320300	62.77	2	2	1	1	portao
709978	104	3	NA	2	1	portao
1100000	190	4	2	4	1	portao
285000	62	2	2	1	1	portao
1150000	227	3	NA	3	3	portao
470000	110	3	2	2	1	portao
892571	129	3	NA	2	3	portao
220000	58	3	NA	NA	NA	portao
260000	57	2	1	1	NA	portao
200000	50	2	1	1	NA	portao
365000	75	3	2	1	1	portao
295000	109	3	NA	1	NA	portao
175000	32	1	1	NA	NA	portao
288000	61	2	2	1	1	portao
297000	65	3	2	1	1	portao
450500	87	3	2	1	1	portao
238000	67	3	1	1	NA	portao
280000	67	3	1	1	1	portao
280000	67	3	1	1	1	portao
650000	124	3	4	2	1	portao
333195	75	3	NA	1	NA	portao
280000	67	3	1	1	1	portao
273540	65.95	2	2	1	1	portao
1386000	244	3	6	3	3	portao
304300	61	2	2	1	1	portao
290000	61	2	1	1	1	portao
225000	60	3	1	1	NA	portao
319900	66.63	2	2	1	1	portao
213500	34.42	1	1	NA	NA	portao
200000	53	1	NA	NA	NA	portao
305000	65	3	NA	1	1	portao
435000	101	3	1	1	1	portao
190000	41.05	1	NA	1	NA	portao
892600	129	3	5	2	3	portao
280000	67	3	1	1	1	portao
360000	96	3	3	1	1	portao
694009	127	3	NA	2	3	portao
271122	61	2	2	1	1	portao
