## Dados de germinação de sementes de araucária em função de tratamento
## de armazenamento com hipoclorito e tempo de armazenamento, dados
## coletados em canteiro e câmara de germinação feito por Hagata
## Siqueira Hennipman (http://lattes.cnpq.br/3056517182975403).
##
## Experimento para avaliar o efeito do nível de hipoclorito de sódio e
## e tempo de armazenamento das sementes sobre a germinação e qualidade
## da plântula. Lotes de sementes foram separados em sacos e receberam
## um nível de hipoclorito. Foram armazenadas e as sementes foram
## cultivadas em canteiro para avaliação das respostas.
##
## tempo: meses de armazenamento após aplicação de hipoclorito;
## trat: nível de hipoclorito aplicado;
## rep: índice da repetição;
## altura: altura da plântula;
## ive: índice de velocidade de germinação;
## germ: número de sementes germinadas no total de 10 avaliadas;
##
tempo	trat	rep	altura 	ive	 germ
0	0	1	7	0.179549401	10
0	0	2	6.1	0.115595673	7
0	0	3	4.9	0.117306721	7
0	0	4	5.1	0.13260577	8
0	0	5	7.8	0.121562547	7
0	0	6	7.1	0.166336575	10
0	0	7	5	0.050291748	3
0	0	8	5.7	0.141609982	8
0	0	9	4.9	0.088870232	5
0	0	10	11.2	0.093101127	5
0	0.5	1	7.8	0.137227296	8
0	0.5	2	6.9	0.084346582	5
0	0.5	3	6.7	0.118006227	7
0	0.5	4	8.7	0.162691053	9
0	0.5	5	8.2	0.138704572	8
0	0.5	6	6.7	0.066652352	4
0	0.5	7	6.1	0.120522753	7
0	0.5	8	6.5	0.122749099	7
0	0.5	9	7.7	0.162644997	9
0	0.5	10	6.6	0.101393293	6
0	1	1	7.2	0.074871161	4
0	1	2	8.1	0.142571574	8
0	1	3	7.3	0.10566469	6
0	1	4	6.7	0.065571356	4
0	1	5	7.5	0.082387064	5
0	1	6	5.6	0.066449786	4
0	1	7	8.5	0.111672975	6
0	1	8	7.6	0.120607996	7
0	1	9	6.3	0.100693787	6
0	1	10	10	0.112105321	6
0	3	1	8	0.14447416	8
0	3	2	7.1	0.120033262	7
0	3	3	7	0.085984587	5
0	3	4	9	0.147826624	8
0	3	5	5.7	0.050125556	3
0	3	6	5.9	0.129448349	8
0	3	7	6.9	0.106979199	6
0	3	8	6.8	0.091697851	5
0	3	9	4.5	0.082923426	5
0	3	10	6.4	0.108729253	6
6	0	1	6.9	0.106500975	5
6	0	2	8.7	0.110233969	5
6	0	3	12	0.204681208	9
6	0	4	11.3	0.164140465	7
6	0	5	11.3	0.166894309	8
6	0	6	12.5	0.198280097	9
6	0	7	13.3	0.202338603	9
6	0	8	6.6	0.0659699	3
6	0	9	8.3	0.121674641	5
6	0	10	11.7	0.18847997	8
6	0.5	1	8.1	0.100321752	5
6	0.5	2	12	0.151958042	7
6	0.5	3	7.7	0.117149123	5
6	0.5	4	8.3	0.097288581	5
6	0.5	5	13.3	0.182138731	9
6	0.5	6	11.2	0.149779367	7
6	0.5	7	12.9	0.174324556	8
6	0.5	8	10	0.154390324	7
6	0.5	9	12.8	0.143919458	6
6	0.5	10	10.8	0.174311473	8
6	1	1	11.1	0.148203833	7
6	1	2	10.6	0.134107165	6
6	1	3	9.6	0.126665002	6
6	1	4	6.1	0.100257649	5
6	1	5	6.5	0.042572464	2
6	1	6	6.2	0.040064103	2
6	1	7	9.7	0.14526973	7
6	1	8	9.7	0.150884152	7
6	1	9	7.7	0.079945055	8
6	1	10	9.5	0.128864839	6
6	3	1	10.7	0.151493506	9
6	3	2	7.6	0.110912063	5
6	3	3	6.4	0.093509465	4
6	3	4	9	0.115340609	5
6	3	5	9	0.110709729	7
6	3	6	14	0.167603668	7
6	3	7	13.6	0.157383092	7
6	3	8	10.7	0.179503873	8
6	3	9	8	0.089311594	4
6	3	10	8.2	0.096192185	5
12	0	1	0	0	0
12	0	2	0	0	0
12	0	3	0	0	0
12	0	4	0	0	0
12	0	5	0	0	0
12	0	6	0	0	0
12	0	7	0	0	0
12	0	8	0	0	0
12	0	9	0	0	0
12	0	10	0	0	0
12	0.5	1	4.3	0.1166	6
12	0.5	2	6.8	0.18	9
12	0.5	3	4.2	0.1079	5
12	0.5	4	4.1	118	6
12	0.5	5	4.8	128	6
12	0.5	6	2.6	0.1013	5
12	0.5	7	2.6	0.1191	6
12	0.5	8	2.7	59	3
12	0.5	9	4.3	0.1184	6
12	0.5	10	3.5	0.1101	6
12	1	1	4.8	0.1397	6
12	1	2	3.1	0.1045	5
12	1	3	4.8	0.1274	6
12	1	4	3.2	67	3
12	1	5	5.6	0.1607	7
12	1	6	4.9	0.1466	6
12	1	7	4.2	0.1123	5
12	1	8	6	136	6
12	1	9	2.6	81	4
12	1	10	5	149	7
