## Experimento de responsabilidade de Patricia Meiriele Marini, aluna do
## curso de mestrado do IAPAR, que avaliou o dano causado pelo nematoide
## Meloidogyne incognita em cultivares de aveia (Avena sativa), a
## tendência de comportamento populacional do nematoide (fator de
## reprodução e número de nematoides por grama de raiz) e o nível
## populacional a partir do qual este nematoide causa dano acima de 10%
## ao desenvolvimento da planta em relação ao nível 0 (testemunha).  O
## experiemnto foi conduzido em casa de vegetação no Instituto
## Agranômico do Paraná (IAPAR), sob orientação de Andressa
## C. Z. Machado, o delineamento foi inteiramente casualizado em arranjo
## experimental do tipo fatorial duplo (3x10) com 4 repetições por
## nível. Foram utilizados vasos com 3000 cm³ de solo, sendo conduzida
## uma planta de aveia por vaso.  A observação das variáveis segue o
## esquema abaixo:
## Cultivar : fator de 3 variáveis, cultivares de aveia;
## nível    : fator de 10 variáveis, número de espécimes de
##            nematoide/cm³de solo;
## MFR      : numérico, massa fresca de raiz;
## MFPA     : numérico, massa fresca de parte aérea;
## MSPA     : numérico, massa seca de parte aérea;
## FR       : numérico, fator de reprodução (população final/população
##            inicial (exceto no nível 0 - sem nematoide);
## nema     : numérico, nematoide/grama de raiz (exceto no nível 0 - sem
##            nematoide).
##
cultivar 	nivel 	mfr	mfpa	mspa	fr	nema
Afrodite	0	24.73	42.84	5.24		
Afrodite	0	31.97	51.55	6.08		
Afrodite	0	18.48	36.4	4.3		
Afrodite	0	28.77	60.08	7.7		
Afrodite	0.0625	18.84	24.26	3.94	1.2	12
Afrodite	0.0625	19.7	36.92	4.64	0.8	8
Afrodite	0.0625	23.57	33.02	4.61	0.86	7
Afrodite	0.0625	18.96	27.49	3.52	0.43	4
Afrodite	0.125	24.76	31.4	4.29	0	0
Afrodite	0.125	20.87	41.68	4.87	0	0
Afrodite	0.125	13.61	20.83	2.97	0	0
Afrodite	0.125	7.41	13.24	1.95	0	0
Afrodite	0.25	14.48	37.29	5.49	0.21	11
Afrodite	0.25	20.49	20.55	4.47	0.07	2
Afrodite	0.25	18.02	45.94	5.6	0.48	20
Afrodite	0.25	13.01	34.81	4.74	0.11	6
Afrodite	0.5	20.24	34.94	4.3	0.04	3
Afrodite	0.5	10.99	34.84	3.28	0.21	29
Afrodite	0.5	15.09	43.59	4.74	0.16	16
Afrodite	0.5	13.42	37.42	4.03	0	0
Afrodite	1	21.75	39.17	5.62	0.09	12
Afrodite	1	16.03	43.67	5.36	0.08	15
Afrodite	1	13.29	20.71	3.13	0.11	24
Afrodite	1	19.88	56.06	6.02	0.11	16
Afrodite	2	24.09	50.6	6.32	0.12	29
Afrodite	2	23.71	53.62	7.78	0.01	2
Afrodite	2	19.28	54.78	9.7	0.01	3
Afrodite	2	21.82	43.24	6.99	0.02	5
Afrodite	4	22.62	45.85	7.13	0.03	14
Afrodite	4	17.57	29.29	5.01	0.02	14
Afrodite	4	18.01	33.48	4.65	0.03	18
Afrodite	4	20.37	35.64	6.56	0.13	75
Afrodite	8	18.51	24.89	3.93	0.02	19
Afrodite	8	18.23	21.37	3.07	0.02	22
Afrodite	8	16.37	23.43	3.53	0.01	11
Afrodite	8	4.4	6.02	1.06	0.01	73
Afrodite	16	17.55	49.15	6.92	0.02	58
Afrodite	16	22.64	36.36	4.7	0.01	19
Afrodite	16	15.18	22.22	3.64	0	14
Afrodite	16	9.06	24.45	3.47	0	13
Torena	0	19.23	40.42	5.6		
Torena	0	11.95	33.74	4.9		
Torena	0	8.45	28.75	4.51		
Torena	0	12.56	30.47	3.97		
Torena	0.0625	9.07	33.28	5.32	3.85	79
Torena	0.0625	4.86	17.2	2.82	1.6	62
Torena	0.0625	7.66	20.86	3.43	1.28	31
Torena	0.0625	3.2	12.57	2.41	2.99	175
Torena	0.125	12.07	35.91	2.65	7.89	245
Torena	0.125	8.18	28.39	3.44	6.19	284
Torena	0.125	8.91	38.12	3.86	6.19	260
Torena	0.125	9.48	33.04	3.56	7.28	288
Torena	0.25	11.92	29.63	3.68	12.91	812
Torena	0.25	14.25	39.16	4.9	5.01	264
Torena	0.25	15.76	41.08	5.29	7.89	376
Torena	0.25	14.45	30.5	4.41	33.97	1763
Torena	0.5	7.33	18.6	3.22	25.12	5141
Torena	0.5	10.7	50.63	5.84	10.8	1514
Torena	0.5	6.61	37.15	3.63	6.88	1561
Torena	0.5	7.05	33.81	3.72	27.67	5888
Torena	1	13.6	41.76	5.36	2.68	591
Torena	1	9.05	29.85	4.04	0.75	248
Torena	1	13.05	50.91	5.53	2.52	579
Torena	1	7.05	33.33	3.89	5.86	2494
