## Experimento feito por Gabrielen de Maria Gomes Dias
## (http://lattes.cnpq.br/3637029306988132) Doutoranda em Agronomia
## (Fitotecnia) pela UFLA (2010-2013)
##
## Experimento feito para avaliar a propagação em meio de cultura (3
## meios) de 5 cultivares de banana (cult). O experimento foi em
## delineamento inteiramente casualizado com 5 repetições e 4 plantulas
## (plant) por tubo (rept). As variáveis registradas foram o altura das
## plantulas (altplan), o comprimento das raízes (compraiz), o número de
## folhas (nfolha) e o número de raízes (nraiz).
##
cult	meio	rept	plant	altplan	compraiz	nfolha	nraiz
c	bds	1	1	7	11.5	4	5
c	bds	1	2	9	20	4	8
c	bds	1	3	9.5	18	3	11
c	bds	1	4	9	14	4	6
c	bds	2	1	5.5	9	3	6
c	bds	2	2	2	0	0	0
c	bds	2	3	2	0	0	0
c	bds	2	4	2	0	0	0
c	bds	3	1	7	19	4	7
c	bds	3	2	8.5	14	0	10
c	bds	3	3	2.5	8	0	8
c	bds	3	4	2	0	0	0
c	bds	4	1	7.5	15	4	7
c	bds	4	2	9	16	4	8
c	bds	4	3	8.5	11	3	5
c	bds	4	4	2	0	0	0
c	bds	5	1	8	26	8	8
c	bds	5	2	8	19	4	5
c	bds	5	3	7.5	15	3	7
c	bds	5	4	10	20	4	5
c	ms	1	1	2	0	0	0
c	ms	1	2	2	0	0	0
c	ms	1	3	2	0	0	0
c	ms	1	4	8	17	3	4
c	ms	2	1	5.5	15	4	5
c	ms	2	2	6	6	4	5
c	ms	2	3	6	10	4	10
c	ms	2	4	2	10	0	3
c	ms	3	1	7	20	4	6
c	ms	3	2	7.5	14	4	7
c	ms	3	3	9.5	25	3	5
c	ms	3	4	6.5	16	4	6
c	ms	4	1	6.5	11	4	4
c	ms	4	2	2	0	0	0
c	ms	4	3	6.5	7	3	4
c	ms	4	4	5	24	3	6
c	ms	5	1	6.5	10	3	6
c	ms	5	2	6	10	3	4
c	ms	5	3	7	23	3	5
c	ms	5	4	6.5	22	3	5
c	wpm	1	1	5	5	2	3
c	wpm	1	2	4.5	2.5	3	6
c	wpm	1	3	3.5	1	2	5
c	wpm	1	4	3.5	2	2	7
c	wpm	2	1	3	2	4	2
