repetição	variedade	bloco	y
1	1	1	20
1	2	1	18
1	3	2	15
1	4	2	16
1	5	3	14
1	6	3	15
1	7	4	16
1	8	4	18
2	1	1	24
2	3	1	18
2	2	2	25
2	8	2	19
2	4	3	13
2	5	3	16
2	6	4	12
2	7	4	16
3	1	1	23
3	4	1	17
3	2	2	26
3	7	2	18
3	3	3	15
3	6	3	17
3	5	4	13
3	8	4	16
4	1	1	21
4	5	1	13
4	2	2	23
4	3	2	16
4	4	3	10
4	7	3	12
4	6	4	13
4	8	4	11
5	1	1	28
5	6	1	14
5	2	2	27
5	4	2	18
5	3	3	18
5	8	3	15
5	5	4	16
5	7	4	17
6	1	1	22
6	7	1	17
6	2	2	24
6	6	2	16
6	3	3	18
6	5	3	14
6	4	4	15
6	8	4	17
7	1	1	23
7	8	1	15
7	2	2	21
7	5	2	13
7	3	3	15
7	7	3	12
7	4	4	13
7	6	4	16

