R;Name;Pos;Age;cm;kg;Apps;Goal;A;Yel;Red;SpG;PS%;AW;MoM;Rt
1;Neymar;AM(CLR);22;175;64;5;4;1;1;-;3.6;79;0.8;2;8.22
2;Dani Alves;D(CR);31;173;64;4;-;-;1;-;1.3;84;1;-;7.53
3;Oscar;AM(CLR);23;179;67;7;2;2;1;-;2;78.6;0.9;1;7.39
4;David Luiz;D(C),DM(C);27;189;86;7;2;1;-;-;1.3;81;2.3;-;7.35
5;Luiz Gustavo;D(CL),DM(C);27;187;80;6;-;1;2;-;0.5;91.1;3;1;7.27
6;Thiago Silva;D(C);30;183;79;6;1;-;3;-;0.3;87.4;2.5;1;7.16
7;Marcelo;D(L),M(CL);26;174;75;6;-;2;-;-;1.3;83;0.3;-;7.08
8;Fred;FW;31;185;75;6;1;-;-;-;2;67;1.3;-;6.66
9;Hulk;AM(LR),FW;28;180;85;5(1);-;-;1;-;2.3;71.1;1.2;-;6.57
10;Paulinho;M(C);26;181;77;5(1);-;-;-;-;1.2;84.5;0.7;-;6.51
11;Fernandinho;DM(C);29;179;67;3(2);1;-;1;-;0.6;86.5;0.6;-;6.47
12;Maicon;D(R);33;184;77;3;-;-;-;-;0.7;85.5;1;-;6.45
13;Hernanes;M(C);29;180;76;0(3);-;-;-;-;-;80;0.3;-;6.41
14;Ramires;M(CLR);27;180;70;2(5);-;-;1;-;0.9;78.7;0.9;-;6.39
15;Willian;AM(CLR);26;175;75;1(4);-;-;-;-;0.6;94.7;-;-;6.35
16;Henrique;D(CR);27;187;84;0(1);-;-;-;-;-;100;-;-;6.2
17;Bernard;M;22;166;57;1(2);-;-;-;-;0.3;87.9;0.3;-;6.19
18;Julio César;GK;35;186;80;7;-;-;1;-;-;66.9;-;-;6.16
19;Jô;FW;27;191;78;1(2);-;-;1;-;1.3;68.6;3;-;6.15
20;Maxwell;D(L),DM(C);33;176;73;1;-;-;-;-;1;91.9;3;-;6.05
21;Dante;D(C);30;188;87;1;-;-;1;-;-;88.7;-;-;5.17
