## Dados cedidos por Wanderlei (Embrapa Amazônia Ociedental) durante
## curso de capacitação (Estatística Experimental com aplicações em R)
## para conduzír análise considerando distribuição binomial para dados
## de germinação de sementes. O experimento é um fatorial instalado em
## DIC com 3 repetições por cela.
##   * periodo: dias de armazenamento, {55, 75, 100};
##   * umidade: faixa de umidade na qual foram mantidas as sementes (%);
##   * trat: combinação de periodo e umidade com 1,...,15;
##   * germ: proporção de germinação ao final do experimento (%);
##   * pcont: proporção de germinação na primeira contagem (%);
##   * ivg: índice de velocidade de germinação;
##   * sg: soma de sementes germinadas em cada unidade experimental;
##   * sng: soma de sementes não germinadas em cada unidade
##     experimental;
## 
periodo	umidade	trat	rep	germ	pcont	ivg	sg	sng
55	18-19	1	1	34.52	11.61	5.81	107	203
55	18-19	1	2	36.00	6.86	6.04	126	224
55	18-19	1	3	30.79	3.16	4.61	117	263
55	19-20	2	1	6.03	23.00	14.24	241	159
55	19-20	2	2	5.26	18.97	10.61	194	175
55	19-20	2	3	5.70	19.59	12.34	221	167
55	20-21	3	1	59.78	30.11	18.84	272	183
55	20-21	3	2	78.18	47.50	26.37	344	96
55	20-21	3	3	78.62	47.03	24.92	331	90
55	21-22	4	1	47.84	25.70	12.36	188	205
55	21-22	4	2	67.95	38.63	17.91	248	117
55	21-22	4	3	55.28	38.33	14.63	199	161
55	22-23	5	1	26.69	15.04	8.47	126	346
55	22-23	5	2	53.98	31.27	12.03	183	156
55	22-23	5	3	46.84	27.34	13.34	185	210
75	18-19	6	1	15.99	2.03	2.29	55	289
75	18-19	6	2	38.38	7.31	6.35	147	236
75	18-19	6	3	19.08	0.00	2.54	75	318
75	19-20	7	1	2.45	6.07	4.89	101	311
75	19-20	7	2	1.07	0.56	1.32	38	316
75	19-20	7	3	4.25	10.05	7.91	169	229
75	20-21	8	1	77.04	52.81	25.35	302	90
75	20-21	8	2	72.50	50.75	24.14	290	110
75	20-21	8	3	79.75	56.50	27.23	319	81
75	21-22	9	1	69.19	33.78	16.80	256	114
75	21-22	9	2	66.99	41.45	20.84	278	137
75	21-22	9	3	80.06	51.57	22.19	281	70
75	22-23	10	1	66.91	49.52	24.69	277	137
75	22-23	10	2	70.41	55.05	26.73	307	129
75	22-23	10	3	76.84	54.96	24.32	302	91
100	18-19	11	1	2.74	0.00	0.31	9	320
100	18-19	11	2	0.00	0.00	0.00	0	388
100	18-19	11	3	0.00	0.00	0.00	0	326
100	19-20	12	1	0.95	1.50	1.74	38	361
100	19-20	12	2	0.62	0.52	0.94	24	363
100	19-20	12	3	1.20	0.00	1.76	50	366
100	20-21	13	1	54.29	21.46	13.19	215	181
100	20-21	13	2	49.12	15.79	10.60	196	203
100	20-21	13	3	70.03	22.55	15.90	264	113
100	21-22	14	1	69.15	24.42	17.10	269	120
100	21-22	14	2	73.32	25.94	16.78	294	107
100	21-22	14	3	71.50	24.70	17.47	301	120
100	22-23	15	1	77.15	43.01	20.47	287	85
100	22-23	15	2	80.93	48.20	25.98	345	71
100	22-23	15	3	73.43	36.00	19.90	257	93
