## Dados de responsabilidade Gasiela B. Tognon
## (http://lattes.cnpq.br/2911532137112895), programa de pós graduação
## em produção vegetal, UFPR, 2014. O experimento foi conduzido para
## avaliar o efeito do calor de campo sob caracteristicas de hastes de
## Baccharis milleflora.
## 
## Experimento conduzido em delineamento inteiramente casualizado com
## medidas repetidas ao longo do tempo dentro das repetições (hastes).
## 
##   * dias: dias de avaliação, vida de vaso das hastes. 
##   * calor : sem calor de campo (s) e com calor de campo (c).
##   * rept: identificação das plantas. 
##   * L: define a luminosidade (L=0 preto e L=100 branco). 
##   * a e b: associam-se a cromaticidade,  (">a"=vermelho, "<a"=verde e
##       ">b"=amarelo, "<b"=azul).
##   * E: delta E, coloração como um todo, uma variável resumo.
##   * peso: hastes pesadas em cada dia de avaliação por meio de balança
##       analítica de precisão (gramas).
##   * classif: nota em escala de forma que 1) cladódios verdes brilhantes
##       sem manchas escuras (oxidação) ao longo da haste. Hastes
##       túrgidas. VIÁVEIS; 2) cladódios verdes brilhantes com manchas
##       escuras (oxidação) somente na porção basal da haste. Hastes
##       túrgidas e sem danos. VIÁVEIS; 3) cladódios apresentando manchas
##       escuras (oxidação) na porção mediana e/ou apical da haste. Hastes
##       secas (com aspecto quebradiço). DESCARTE.
dias	calor	rept	L	a	b	E	peso	classif
1	s	1	41.05	-12.72	20.21	30.9	49.56	1
1	s	2	37.54	-10.28	14.47	23.81	55.26	2
1	s	3	42.15	-11.39	18.9	29.91	37.11	1
1	s	4	37.58	-9.39	14.58	28.47	32.55	1
1	s	5	41.58	-12.28	18.56	29.77	38.51	1
1	s	6	39.98	-11.67	17.04	27.56	43.88	1
1	s	7	41.54	-11.29	17.17	28.91	27.64	2
1	s	8	39.17	-10.94	17.68	27.29	29.83	1
1	s	9	43.35	-12.41	22.78	33.79	50.2	1
1	s	10	34.17	-10.69	15.99	29.61	29.2	1
1	c	1	39.89	-11.34	17.66	27.79	36.58	1
1	c	2	36.66	-10.18	16.03	24.44	28.31	1
1	c	3	41.48	-10.82	17.89	28.58	26.92	1
1	c	4	39.62	-11.27	19.31	28.8	35.27	1
1	c	5	42.55	-12.14	18.53	30.22	25.72	1
1	c	6	46.35	-10.57	18.72	32.04	48.74	2
1	c	7	45.35	-11.37	20.57	32.95	26.9	1
1	c	8	43.52	-13.26	21.42	33.28	27.2	1
1	c	9	42.86	-9.69	16.19	27.79	20.28	1
1	c	10	46.66	-10.33	19.13	32.41	43.06	1
3	s	1	38.98	-12.78	21.68	30.97	50.9	1
3	s	2	42.06	-9.7	16.45	27.46	57.48	1
3	s	3	41.81	-11.17	18.29	29.21	39.22	1
3	s	4	31.26	-9.16	14.35	20.54	39.11	1
3	s	5	41.37	-12.35	18.11	29.38	40.18	1
3	s	6	40.55	-11.37	17.09	27.76	45.4	1
3	s	7	43.74	-11.03	19	30.77	29.34	2
3	s	8	36.3	-9.46	15.16	23.28	31.13	1
3	s	9	38.36	-12.21	20.29	29.38	51.92	1
3	s	10	35.78	-9.59	13.47	21.87	33.78	1
3	c	1	41.01	-10.32	17.61	27.9	36.67	1
3	c	2	39.62	-9.29	15.37	25.11	30	2
3	c	3	42.01	-11.42	19.68	30.39	27.22	1
3	c	4	38.45	-11.68	19.45	28.53	32.32	1
3	c	5	43.6	-12.45	19.7	31.77	27.85	1
3	c	6	42.18	-9.65	19.29	29.49	50.89	2
3	c	7	46.01	-11.48	22.39	34.65	29.14	1
3	c	8	36.51	-10.95	18.3	26.44	29.82	1
3	c	9	44.49	-10.01	18.39	30.41	19.27	1
3	c	10	50.22	-10.45	23.13	37.47	36.26	1
5	s	1	43.34	-10.84	18.83	30.33	48.94	1
5	s	2	43	-9.93	18.73	29.69	53.83	2
5	s	3	36.9	-10.09	14.86	23.59	35.4	2
5	s	4	39.43	-10	14.54	24.75	40.05	1
5	s	5	37.19	-11.15	15.53	24.82	39.2	1
5	s	6	39.98	-10.65	16.25	26.53	43.82	2
5	s	7	46.48	-11.47	19.67	33.09	28.26	2
5	s	8	41.1	-8.99	13.62	24.71	29.9	1
5	s	9	37.47	-9.77	14.79	23.74	47.27	2
5	s	10	38.44	-10.17	15.4	24.87	31.36	2
5	c	1	42.29	-11.39	18.34	29.61	35.21	1
5	c	2	37.96	-10.22	14.94	24.33	30.48	2
5	c	3	42.09	-11.59	17.5	29.01	27.73	1
5	c	4	46.21	-8.19	20.01	31.98	32.32	3
