## Dados de responsabilidade Gasiela B. Tognon
## (http://lattes.cnpq.br/2911532137112895), programa de pós graduação
## em produção vegetal, UFPR, 2014. O experimento foi conduzido para
## avaliar o efeito do calor de campo sob caracteristicas de hastes de
## Baccharis milleflora.
## 
## Experimento conduzido em delineamento inteiramente casualizado com
## medidas repetidas ao longo do tempo dentro das repetições (hastes).
## 
##   * dias: dias de avaliação, vida de vaso das hastes. 
##   * calor : sem calor de campo (s) e com calor de campo (c).
##   * rept: identificação das plantas. 
##   * L: define a luminosidade (L=0 preto e L=100 branco). 
##   * a e b: associam-se a cromaticidade,  (">a"=vermelho, "<a"=verde e
##       ">b"=amarelo, "<b"=azul).
##   * E: delta E, coloração como um todo, uma variável resumo.
##   * peso: hastes pesadas em cada dia de avaliação por meio de balança
##       analítica de precisão (gramas).
##   * classif: nota em escala de forma que 1) cladódios verdes brilhantes
##       sem manchas escuras (oxidação) ao longo da haste. Hastes
##       túrgidas. VIÁVEIS; 2) cladódios verdes brilhantes com manchas
##       escuras (oxidação) somente na porção basal da haste. Hastes
##       túrgidas e sem danos. VIÁVEIS; 3) cladódios apresentando manchas
##       escuras (oxidação) na porção mediana e/ou apical da haste. Hastes
##       secas (com aspecto quebradiço). DESCARTE.
dias	calor	rept	L	a	b	E	peso	classif
1	s	1	35.5	-9.79	13.3	21.73	44.21	1
1	s	2	42.91	-8.67	13.65	25.8	20.04	2
1	s	3	40.78	-9.83	12.89	24.44	24.15	1
1	s	4	40.1	-10.23	14.13	24.99	29.24	1
1	s	5	38.74	-7.67	15.21	24.38	32.93	1
1	s	6	41.47	-11.19	15.63	27.23	25.87	1
1	s	7	42.88	-8.89	18.54	29.09	33.49	2
1	s	8	40.41	-12.05	14.95	26.61	21.25	1
1	s	9	39.22	-7.9	13.98	23.31	16.94	1
1	s	10	41.12	-7.06	10.76	22.2	28.96	1
1	c	1	42.32	-9.64	16.98	27.95	28.3	1
1	c	2	42.07	-11.61	16.49	28.35	34.2	1
1	c	3	38.73	-8.66	14.2	23.51	17.14	1
1	c	4	38.6	-9.65	13.74	23.58	28.2	1
1	c	5	43.83	-10.98	19.9	31.42	16.72	1
1	c	6	41.97	-8.69	15.8	26.56	15.98	2
1	c	7	38.51	-10.43	15.54	25.13	27.34	1
1	c	8	45.63	-10.62	21.08	33.18	21.14	1
1	c	9	42.49	-8.79	16.15	27.17	30.17	1
1	c	10	43.9	-7.87	13.26	15.96	11.76	1
3	s	1	42.44	-11.59	18.07	29.6	45.24	1
3	s	2	39.04	-7.88	10.88	21.19	20.47	1
3	s	3	40.69	-9.69	12.66	24.18	24.52	1
3	s	4	39.58	-11.33	15.73	26.28	29.93	1
3	s	5	40.27	-7.09	13.79	23.52	21.12	1
3	s	6	42.16	-10.04	15.11	26.79	26.53	2
3	s	7	39.7	-6.93	13.25	22.73	33.07	2
3	s	8	42.58	-12.53	17.62	29.82	22.5	1
3	s	9	42.62	-7.62	14.4	25.66	17.84	2
3	s	10	39.72	-6.48	9.33	20.15	29.48	1
3	c	1	45.21	-9.91	20.21	32.05	28.44	1
3	c	2	41.04	-9.63	13.2	24.7	34.9	2
3	c	3	38.34	-8.55	14.04	23.12	17.36	1
3	c	4	41.16	-10.7	16.74	27.56	25.52	1
3	c	5	44.82	-10.01	20.81	32.27	17.3	1
3	c	6	44.21	-9.62	17.12	29.23	16.36	1
3	c	7	38.84	-10.23	15.43	25.14	27.32	1
3	c	8	43.59	-10.72	19.72	31.04	21.47	1
3	c	9	43.13	-8.57	16.21	27.53	29.14	2
