## Experimento feito por Walmes Marques Zeviani durante graduação na
## Fazenda Dinorah com a cultura do milho para avaliar a adubação com
## cama de frango.
##
## Experimento conduzido em blocos casualizados com arranjo fatorial de
## 3 níveis de manejo com 5 níveis de dose de cama de frango. As doses
## foram 0, 2, 4, 8 e 16 ton/ha e os manejos foram cama incorporada ao
## solo com niveladora (incorp), incorporada com semeadura tendo 120
## kg/ha de NPK e cama a lanço mas semeadura com 120 de kg/ha de NPK. As
## variáveis medidas em 5 plantas por parcela foram:
##
## alespg: ALTURA DE ESPIGAS (cm).
## altplnt: ALTURA DE PLANTAS (cm).
##
manejo	cama	bloco	planta	altespg	altplnt
incorp	0	1	1	41	112
incorp	0	1	2	36	96
incorp	0	1	3	38	116
incorp	0	1	4	34	109
incorp	0	1	5	43	113
incorp	0	2	1	49.5	123
incorp	0	2	2	65.5	119.5
incorp	0	2	3	64.5	129
incorp	0	2	4	61.5	119.5
incorp	0	2	5	69	128
incorp	0	3	1	53	102
incorp	0	3	2	56	104
incorp	0	3	3	52	107
incorp	0	3	4	54	109
incorp	0	3	5	49	97
incorp	0	4	1	45	114
incorp	0	4	2	39	97
incorp	0	4	3	41	79
incorp	0	4	4	43	85
incorp	0	4	5	28	59
incorp	2	1	1	58	124
incorp	2	1	2	56	117
incorp	2	1	3	56	135
incorp	2	1	4	66	124
incorp	2	1	5	64	130
incorp	2	2	1	60	131.5
incorp	2	2	2	56	120.5
incorp	2	2	3	65.5	126
incorp	2	2	4	59.5	110
incorp	2	2	5	57.5	129
incorp	2	3	1	62.5	132
incorp	2	3	2	66.5	133
incorp	2	3	3	59.5	130
incorp	2	3	4	47.5	112.5
incorp	2	3	5	59.5	125.5
incorp	2	4	1	61	118
incorp	2	4	2	52	103
incorp	2	4	3	43	88
incorp	2	4	4	41	71
incorp	2	4	5	57	99
incorp	4	1	1	71	141
incorp	4	1	2	72	124
incorp	4	1	3	62	124
incorp	4	1	4	63	142
incorp	4	1	5	45	123
incorp	4	2	1	63	139
incorp	4	2	2	49	91
incorp	4	2	3	61	126
incorp	4	2	4	63	131
incorp	4	2	5	34	116
incorp	4	3	1	59	130
incorp	4	3	2	71	128
incorp	4	3	3	58	129
incorp	4	3	4	66	127
incorp	4	3	5	65	135
incorp	4	4	1	56	108
incorp	4	4	2	51	85
incorp	4	4	3	63	117
incorp	4	4	4	56	106
incorp	4	4	5	59	92
incorp	8	1	1	63	116
incorp	8	1	2	58	120
incorp	8	1	3	65	135
incorp	8	1	4	67	137
incorp	8	1	5	65	145
incorp	8	4	1	84	150
incorp	8	4	2	71	136
incorp	8	4	3	79	146
incorp	8	4	4	68	130
incorp	8	4	5	79	153
incorp	16	1	1	79	156
incorp	16	1	2	73	136
incorp	16	1	3	69	160
incorp	16	1	4	84	150
incorp	16	1	5	84	130
incorp	16	3	1	51	118
incorp	16	3	2	61	102
incorp	16	3	3	64	120
incorp	16	3	4	63	127
incorp	16	3	5	65	113
incorp	16	4	1	91	166
incorp	16	4	2	83	170
incorp	16	4	3	82	180
incorp	16	4	4	87	165
incorp	16	4	5	83	164
incorp120	0	1	1	71	132
incorp120	0	1	2	73	137
incorp120	0	1	3	74	144
incorp120	0	1	4	58	133
incorp120	0	1	5	84	137
incorp120	0	3	1	81	158
incorp120	0	3	2	62	135
incorp120	0	3	3	63	126
incorp120	0	3	4	61	139
incorp120	0	3	5	69	133
incorp120	0	4	1	63	132
incorp120	0	4	2	52	128
incorp120	0	4	3	55	117
incorp120	0	4	4	67	118
incorp120	0	4	5	48	101
incorp120	2	1	1	71	138
incorp120	2	1	2	68	142
incorp120	2	1	3	65	133
incorp120	2	1	4	66	132
incorp120	2	1	5	69	130
incorp120	2	3	1	65	114
incorp120	2	3	2	58	105
incorp120	2	3	3	69	98
incorp120	2	3	4	55	99
incorp120	2	3	5	59	121
incorp120	2	4	1	64	120
incorp120	2	4	2	69	107
incorp120	2	4	3	57	121
incorp120	2	4	4	56	108
incorp120	2	4	5	66	129
incorp120	4	1	1	69	127
incorp120	4	1	2	74	140
incorp120	4	1	3	78	148
incorp120	4	1	4	85	159
incorp120	4	1	5	84	127
incorp120	4	2	1	58	109.5
incorp120	4	2	2	55.5	122.5
incorp120	4	2	3	61.5	121
incorp120	4	2	4	54	120
incorp120	4	2	5	54.5	115
incorp120	4	3	1	67	134
incorp120	4	3	2	64	115
incorp120	4	3	3	79	148
incorp120	4	3	4	86	150
incorp120	4	3	5	75	152
incorp120	4	4	1	59	106
incorp120	4	4	2	67	124
incorp120	4	4	3	63	123
incorp120	4	4	4	67	107
incorp120	4	4	5	48	119
incorp120	8	1	1	71	144
incorp120	8	1	2	67	134
incorp120	8	1	3	69	140
incorp120	8	1	4	79	145
incorp120	8	1	5	59	137
incorp120	8	2	1	71	152
incorp120	8	2	2	75	139
incorp120	8	2	3	75	130
incorp120	8	2	4	81	170
incorp120	8	2	5	74	147
incorp120	8	3	1	52	107
incorp120	8	3	2	55	123
incorp120	8	3	3	55	115
incorp120	8	3	4	67	125
incorp120	8	3	5	65	128
incorp120	8	4	1	69	137
incorp120	8	4	2	53	92
incorp120	8	4	3	66	108
incorp120	8	4	4	74	137
incorp120	8	4	5	63	132
incorp120	16	1	1	62	125
incorp120	16	1	2	61	120
incorp120	16	1	3	43	89
incorp120	16	1	4	68	160
incorp120	16	1	5	76	119
incorp120	16	2	1	64.5	123
incorp120	16	2	2	69	110
incorp120	16	2	3	65	110
