## Experimento feito por Walmes Marques Zeviani durante graduação na
## Fazenda Dinorah com a cultura do milho para avaliar a adubação com
## cama de frango.
##
## Experimento conduzido em blocos casualizados com arranjo fatorial de
## 3 níveis de manejo com 5 níveis de dose de cama de frango. As doses
## foram 0, 2, 4, 8 e 16 ton/ha e os manejos foram cama incorporada ao
## solo com niveladora (incorp), incorporada com semeadura tendo 120
## kg/ha de NPK e cama a lanço mas semeadura com 120 de kg/ha de NPK. As
## variáveis medidas foram:
##
## altes: ALTURA DE ESPIGAS (cm), média de 5 plantas/parcela.
## altpl: ALTURA DE PLANTAS (cm), média de 5 plantas/parcela.
## maspl: PESO DE PLANTA (g), média de 5.
## stand: STAND DE ESPIGAS ha.
## mases: PESO DE ESPIGA COM PALHA(g).
## masgr: PESO DA GRÃOS POR ESPIGA (g).
## indice: INDICE DE COLHEITA (% QUE É GRÃOS).
## prod: PRODUTIVIDADE (KG/HÁ).
## p100: PESO DE 100 GRÃOS (g).
## dens: DENSIDADE DE GRÃOS (g/cm3).
##
manejo	cama	bloco	altes	altpl	maspl	stand	mases	masgr	indice	prod	p100	dens
incorp	0	1	38.400	109.200	53.600	9375.000	95.417	60.833	28.989	570.313	25.000	0.718
incorp	0	2	69.800	131.400	72.600	31250.000	111.500	73.375	28.498	2292.969	24.194	0.741
incorp	0	3	52.800	103.800	83.600	16406.250	95.714	58.571	24.622	960.938	28.571	0.703
incorp	0	4	39.200	86.800	55.600	12500.000	67.188	35.000	22.182	437.500	25.210	0.716
incorp	2	1	60.000	126.000	97.600	17187.500	96.818	60.909	23.855	1046.875	26.087	0.689
incorp	2	2	54.600	109.600	60.600	30468.750	87.308	58.590	28.373	1785.156	28.302	0.730
incorp	2	3	55.200	114.800	72.600	10937.500	80.714	44.643	22.552	488.281	23.810	0.682
incorp	2	4	50.800	95.800	81.600	12500.000	73.438	45.313	22.617	566.406	27.027	0.730
incorp	4	1	62.600	130.800	88.600	27343.750	96.571	59.286	24.252	1621.094	26.087	0.739
incorp	4	2	54.000	120.600	82.600	34375.000	116.136	75.682	27.579	2601.563	25.862	0.712
incorp	4	3	63.800	129.800	94.600	30468.750	85.641	52.436	22.536	1597.656	26.087	0.708
incorp	4	4	57.000	101.600	72.600	14062.500	66.389	39.444	22.106	554.688	22.222	0.756
