## Experimento feito por Carlos Enrique da Trindade Barbosa
## (http://lattes.cnpq.br/8147259199552180) como parte do mestrado no
## Mestrado em Programa de Pós-graduação em Zootecnia com título da
## Dissertação "Uso de Ractopamina e Níveis de Energia para suínos
## machos castrados, imunocastrados e fêmeas em terminação", concluída
## em 2010. Com os dados foi publicado o seguinte artigo:
##
## Barbosa, Carlos Enrique da Trindade; Silva, Carolina Teixeira Costa;
## Cantarelli, Vinícius de Souza; Zangeronimo, Márcio Gilberto; Sousa,
## Raimundo Vicente de; Garbossa, Cesar Augusto Pospissil; Amaral,
## Níkolas de Oliveira; Zeviani, Walmes Marques;. Ractopamine in diets
## for finishing pigs of different sexual categories. Revista Brasileira
## de Zootecnia (Online), v. 41, p. 1173-1179, 2012.
##
## O experimento foi em delineamento inteiramente casualizado com
## arranjo experimental sendo um fatorial de 3 níveis de sexo do animal
## (F=femea, MC=macho castrado fisicamente, MI=macho castrado
## imunologicamente) e 4 níveis de energia na dieta (kcal). O peso
## inicial (pi, kg) e a idade inicial (id, dias) foram resgistrados
## antes do experimento para servir como covariáveis de blocagem. Foram
## usados 8 animais em cada casela. As variáveis medidas são descritas
## abaixo.
##
## Análise de carcaça:
##  rcarc: rendimento de carcaça (Carcass yield)
##  et: expessura de toucinho (Backfat thickness (mm))
##  aol: área de olho de lombo (Loin eye area (cm2))
##  plomb: Profundidade de lombo (Loin depth (mm))
##  rcarne: rendimento de carne (Meat yield (%))
##  ibonf: indice de bonificação (Bonus index (%))
##
## Qualidade da barriga/bacon:
##  pbarr: peso da barriga
##  rbarr: redimento de barriga (Belly yield (%))
##  etbar: espessura de toucinho da barriga (Backfat thickness of belly (mm))
##  fbarr: flexibilidade da barriga (Belly flexibility (cm))
##
## Peso e rendimento de cortes:
##  carre: peso de carré
##  rcarre: rendimento de carré (%)
##  file: peso de filézinho
##  rfile: rendimento de filézinho (%)
##  pernil: peso de pernil
##  rpernil: rendimento pernil (%)
##
## Desempenho aos 14 dias:
##  peso14: peso (kg)
##  crdm14: consumo de ração diário médio (kg/dia)
##  gpmd14: ganho de peso diário médio (kg/dia)
##  ca14: conversão alimentar
##  cenrg14:
##  cld14:
##  uenerg14:
##  ulis14:
##
## Desempenho aos 28 dias:
##  peso28: peso (kg)
##  crdm28: consumo de ração diário médio (kg/dia)
##  gpmd28: ganho de peso diário médio (kg/dia)
##  ca28: conversão alimentar
##  cenrg28:
##  cld28:
##  uenerg28:
##  ulis28:
##
## Econômicas:
##  receitabruta
##  custototal
##  receitaliquida
##
trat	sexo	ener	rept	pi	id	rcarc	et	aol	plomb	rcarne	ibonf	pbarr	rbarr	etbar	fbarr	carre	rcarre	file	rfile	pernil	rpernil	peso14	crdm14	gpmd14	ca14	peso28	crmd28	gpmd28	ca28	cenrg14	cld14	uenerg14	ulis14	cenrg28	cld28	uenerg28	ulis28	receitabruta	custototal	receitaliquida
1	MC	3150	1	93.3	134	82.28	27.4	34.333	63.6	55.065	103.88	3.375	8.53	16.8	17.0	9.535	18.59	0.400	0.78	14.300	27.88	110.327	2.980	1.216	3.146	127.000	4.204	1.204	3.493	9385.95	0.027	7.72	0.022	13242.83	0.038	11.00	0.031	369.27	323.59	45.67
1	MC	3150	2	94	137	83.07	18.5	36.11	71.0	57.23	110.43	3.090	5.97	19.2	16.5	9.100	17.57	0.379	0.750	14.610	28.20	109.500	3.483	1.107	3.146	124.600	3.608	1.093	3.302	10972.35	0.031	9.91	0.028	11366.55	0.032	10.40	0.030	388.81	324.76	64.06
1	MC	3150	3	91.6	133	82.372	23.0	31.63	66.975	53.36	106.14	3.416	6.75	17.6	17.0	10.400	20.55	0.328	0.65	13.600	26.88	109.000	3.998	1.243	3.217	126.400	4.000	1.243	3.218	12593.70	0.036	10.13	0.029	12600.00	0.036	10.14	0.029	368.27	325.90	42.37
1	MC	3150	4	89.3	133	82.72	18.5	36.44	69.4	57.24	108.90	2.994	6.20	14.5	19.0	9.300	19.25	0.402	0.83	12.700	26.29	107.866	3.393	1.043	3.254	123.813	3.364	1.046	3.215	10688.40	0.031	10.25	0.029	10597.28	0.030	10.13	0.029	363.41	308.69	54.72
1	MC	3150	5	91.5	144	82.85	18.9	35.41	68.1	56.75	109.23	3.230	6.40	18.3	20.0	10.600	20.99	0.398	0.79	13.600	26.93	107.000	3.313	1.107	2.993	121.900	3.252	1.086	3.278	10436.85	0.030	9.43	0.027	10243.35	0.029	9.43	0.027	375.31	313.19	62.12
1	MC	3150	6	93	147	81.17	24.8	34.48	NA	52.06	104.75	3.138	6.29	15.5	26.5	9.900	19.84	0.388	0.78	13.400	26.85	108.000	3.857	1.071	3.600	125.300	3.929	1.154	3.406	12150.00	0.035	11.34	0.032	12375.00	0.035	10.73	0.031	362.39	327.98	34.41
1	MC	3150	7	88.8	138	83.56	21.167	37.59	72.3	59.09	112.06	3.328	6.46	13.0	18.0	10.100	19.61	0.448	0.87	14.500	28.16	107.500	3.660	1.336	2.740	122.900	4.000	1.218	3.284	11529.00	0.033	8.63	0.025	12600.00	0.036	10.35	0.030	391.49	315.13	76.36
1	MC	3150	8	93.7	142	82.63	22.3	32.56	68.2	54.40	107.25	3.428	6.79	15.613	18.250	8.500	16.83	0.362	0.72	13.800	27.33	107.700	3.767	1.000	3.767	123.800	3.563	1.075	3.315	11866.05	0.034	11.87	0.034	11224.13	0.032	10.44	0.030	373.24	325.99	47.26
2	MC	3300	1	93.9	134	82.90	23.4	35.41	72.8	54.00	107.40	3.775	7.25	19.4	14.0	8.900	17.08	0.385	0.74	14.175	27.21	112.187	3.531	1.306	2.704	125.700	3.570	1.136	3.144	11660.46	0.032	8.93	0.024	11789.67	0.032	10.38	0.028	380.71	328.54	52.17
2	MC	3300	2	88.5	137	82.51	17.8	35.96	69.9	57.71	109.51	3.290	6.61	16.0	16.0	9.120	18.31	0.325	0.65	13.845	27.80	111.500	3.628	1.643	2.208	123.900	3.630	1.107	3.278	11980.36	0.033	7.29	0.020	11984.73	0.033	10.82	0.030	367.32	314.86	52.45
