#------------------------------------------------------------------------------------------
# Dados de frutos de pêssego, frutos foram inoculados com patógeno, metade foi inoculado
# e causado um ferimento, na outra metade não.
# id: identificação do fruto
# fer: ferimento artificial (sim, não)
# cor0: cor no momento da inoculação
# ida0, ida48 e ida60: índice DA do fruto 0, 48 e 60 horas após a incoulação
# ms0, ms48 e ms60: massa seca do fruto (por determinação indireta) 0, 48 e 60 horas após a incoulação
# ss0, ss48 e ss60: sólidos solúveis do fruto 0, 48 e 60 horas após a incoulação
# f0, f48 e f60: resistência à penetração do fruto 0, 48 e 60 horas após a incoulação
# b0, b48 e b60: grau brix do fruto 0, 48 e 60 horas após a incoulação
# lesao48 e lesao60: diâmetro da lesão 48 e 60 horas após a incoulação
# latencia48 e latencia60: latencia do patogeno (0=ausente, 1=presente) 48 e 60 horas após a incoulação
# dados de Luciane Rozwalka, aluna do Pós Doutorado em Agronomia, UFPR
#------------------------------------------------------------------------------------------
id	fer	cor0	ida0	ida48	ida60	ms0	ms48	ms60	ss0	ss48	ss60	f0	f48	f60	b0	b48	b60	lesao48	lesao60	lat48	lat60
1	sim	79.43	1.51	0.97	0.67	10.25	9.05	4.11	7.01	3.41	-1.84	5.89	4.45	3.94	12.28	14.03	14.2	31.41	49.13	0	1
2	sim	109.21	2.09	2.05	1.81				9.95	6.87	6.6	3.73	3.18	2.51	11.99	13.25	13.6	25.02	37.66	0	1
3	sim	56.35	1.36	0.79	0.55	12.27	7.38	7.12	5.7	1.97	-0.95	5.55	4.54	4.01	11.83	13.15	13.77	29.83	45.99	1	1
4	sim	64.95	1.2	0.45	0.26	15.04	7.42	2.84	5.81	2.67	-2.06	6.07	4.43	4.31	13.55	14.08	14.7	29.66	45.67	1	1
5	sim	73.08	1.41	0.69	0.47	13.21	8.33	4.56	7.26	1.79	0.26	5.93	5.09	3.98	13.42	13.42	14.68	30.65	47.04	0	1
6	sim	102.73	1.57	1.04	0.72	11.45	4.94	3.75	7.57	3.63	-3.1	5.57	4.28	5.56	12.18	12.78	12.49	27.53	46.77	0	1
7	sim	105.76	1.43	0.77	0.64	12.99	11.83	7.24	7.09	3.56	-1.75	5.91	5.24	5.42	12.32	14.1	14.46	29.48	48.14	1	1
8	sim	109.92	1.95	2.08	1.71				10.12	6.1	-8.54	5.95	3.78	11.87	11.68	12.77	16.4	27.26	42.29	0	1
9	sim	81.87	1.13	0.42	0.43	16.03	7.47	7.08	6.06	2.2	1.51	5.53	4.32	2.48	12.85	13.77	14.1	30.5	44.37	1	1
10	sim	109.04	1.95	1.74	1.33			1.55	8.98	6.76	1.2	6.03	5.45	8.08	11.82	13.28	13.39	29.33	40.1	0	1
11	sim	92.37	1.63	1.27	1	7.37	10.33	5.23	7.5	4.04	-5.16	5.98	6.94	9.89	12.25	13.17	15.4	30.07	41.32	0	1
12	sim	103.08	1.55	0.84	0.45	13.79	8.06	0.16	6.17	3.58	-2.67	5.63	3.83	4.33	13.07	12.92	12.97	26.93	44.7	0	1
13	sim	88.99	1.31	0.82	0.7	11.41	10.9	7.48	6.34	2.62	-1.38	5.48	3.92	4.87	11.23	11.67	13.45	27.98	41.22	1	1
14	sim	36.16	1.24	0.53	0.49	14.06	11.74	6.43	7.3	4.26	1.99	5.18	3.83	2.8	12.16	13.09	13.72	31.73	43.66	0	1
15	sim	57.23	1.12	0.49	0.32	14.18	10.99	7.07	5.41	3.58	-0.12	5.28	4	3.38	11.2	11.75	12.47	32.73	45.97	1	1
16	sim	36.93	1.72	1.04	0.56	11.09	12.64	0.67	7.63	4.39	-4.32	6.37	4.95	7.96	12.93	13.48	16.36	31.8	45.79	0	1
17	sim	36.45	1.2	0.6	0.44	15.4	7.36	4.28	6.35	3.2	-1.05	5.65	5.3	4.93	12.48	13.08	14.29	28.87	45.89	0	1
18	sim	71.13	1.37	0.57	0.5	14.2	12.76	5.62	6.28	4.81	0.22	5.63	3.8	4.26	11.66	11.75	12.9	30.61	47.68	1	1
19	sim	110.54	2.07	1.94	1.93		6.77		10.18	7.4	2.89	3.56	-0.55	3.6	11.01	8.63	13.47	26.37	37.95	0	1
20	sim	64.58	0.99	0.49	0.35	11.93	7.4	2.21	3.88	1.06	-1.24	4.35	3.52	3.02	11.04	12.3	13.26	32.05	43.91	1	1
21	sim	83.85	1.32	0.46	0.21	10.39	2.09		6.2	3.11	-4.02	5.32	2.28	3.98	10	11.93	12.17	33.03	46.39	1	1
22	sim	74.92	1.24	0.89	0.49	15.56	7.19	0.78	6.14	3.45	-2.64	6.08	4.48	4.15	13.75	14.26	14.16	31.51	44.56	0	1
23	sim	109.67	1.93	1.71	1.3				7.9	5.71	-4.29	5.95	4.93	10.43	11.25	11.93	14.1	29.52	41.88	0	1
24	sim	32.48	1.74	1.47	1	7.53	5.72	3.11	5.63	3.66	-2.8	5.54	5.54	7.2	12.18	13.15	14.68	28	41.98	0	1
25	sim	86.53	1.23	0.58	0.38	17.96	16.12	7.46	7.09	4.93	0.2	6.1	4.72	2.97	14.35	15.18	16.2	32.1	48.3	1	1
26	sim	106.71	2.1	1.77	1.65		5.79	8.34	7.84	5.76	6.89	5.67	3.16	4.32	10.9	11.5	10.82	29.51	39.61	0	1
27	sim	73.19	1.64	1.39	0.85	9.28	8.41	16.45	8.32	5.97	7.16	6.52	5.2	4.21	12.57	14.19	12.42	28.04	44.99	0	1
28	sim	24.66	1.15	0.56	0.59	13.31	10.5	10.98	5.63	3.52	5.17	6.06	3.56	1.17	14.6	14.49	12.67	29.42	39.57	0	1
29	sim	32.71	1.43	0.91	0.53	12.94	10.81	13.64	5.62	3.03	4.83	5.42	3.7	2.74	12.78	13.85	12.88	24.82	45.09	0	1
