## Antônio Augusto Rocha Athayde
##
## Em consorcio com gramíneas ou cultivadas exclusivamente, as
## leguminosas tropicais tem sido objeto de estudos visando a economia
## do uso de fertilizantes e melhor valor nutritivo da forragem, no
## entanto a baixa persistência de leguminosas consorciadas com gramínea
## tem sido considerada limitante a continuidade e adesão ao uso desta
## tecnologia. O objetivo deste trabalho foi avaliar efeitos de
## adubação, na persistência de leguminosas em consórcio. Usou-se
## Stylosanthes cvs. Mineirão (SM) e Campo Grande (SCG) e, Arachis
## cvs. Amarilo (AA) e Belmonte (AB) em consórcio com Cynodon coastcross
## (TESTEM). Os cortes foram realizados quando o coastcross atingia
## 0,30m.
##
## Experimento que avalia o consórcio de gramineas com leguminosas e
## combinação com a adubação e ao longo dos cortes da leguminosa. O
## experimento está em blocos com arranjo de parcela subdividida. A
## combinação dos fatores consórcio (cons) e adubação (adub, s=sim e
## n=não) foram aleatorizados dentro dos blocos e os cortes consecutivos
## são as subparcelas. Dentro das parcelas, o estrato vegetal foi
## coletado e determinou-se o teor de matéria seca correspondente a
## graminea, leguminosa do consórcio e invasoras (plantas daninhas). A
## soma dos três dá 100%, portanto um dado composicional. Na testemunha,
## por não ser um consórcio, o teor de leguminosa é 0%. Os níveis de
## consórcio foram testemunha (Cynodon coastcross sozinho) e duas
## representantes do Stylosanthes e duas do Arachis.
##
corte	cons	adub	bloc	amostra	graminea	leguminosa	invasoras
2	TESTEM	s	I	1	90.07	0.00	9.93
2	SCG	s	I	2	29.78	58.13	12.09
2	AB	s	I	3	65.74	19.56	14.71
2	SM	s	I	4	23.95	71.54	4.51
2	AA	s	I	5	23.43	62.98	13.60
2	TESTEM	n	I	6	89.42	0.00	10.58
2	SCG	n	I	7	71.62	19.39	8.99
2	AA	n	I	8	35.61	47.29	17.10
2	SM	n	I	9	58.41	38.28	3.31
2	AB	n	I	10	31.45	62.01	6.54
2	AB	s	II	11	71.37	22.92	5.71
2	TESTEM	s	II	12	81.85	0.00	18.15
2	SCG	s	II	13	85.09	9.41	5.50
2	AA	s	II	14	40.38	54.89	4.73
2	SM	s	II	15	14.97	76.90	8.13
2	AB	n	II	16	59.80	28.72	11.48
2	TESTEM	n	II	17	96.25	0.00	3.75
2	SCG	n	II	18	30.61	66.62	2.76
2	AA	n	II	19	52.55	47.45	0.00
2	SM	n	II	20	92.73	7.27	0.00
2	SM	s	III	21	36.61	53.88	9.51
2	AB	s	III	22	53.10	34.70	12.20
2	TESTEM	s	III	23	65.58	0.00	34.42
2	SCG	s	III	24	60.64	35.65	3.71
2	AA	s	III	25	42.13	45.31	12.57
2	SM	n	III	26	30.66	66.98	2.36
2	AB	n	III	27	68.90	22.48	8.62
2	TESTEM	n	III	28	94.99	0.00	5.01
2	SCG	n	III	29	18.50	64.07	17.42
2	AA	n	III	30	66.10	30.22	3.68
3	TESTEM	s	I	1	78.29	0.00	21.71
3	SCG	s	I	2	46.74	22.56	30.69
3	AB	s	I	3	55.46	22.12	22.42
3	SM	s	I	4	49.10	38.74	12.16
3	AA	s	I	5	44.44	33.13	22.43
3	TESTEM	n	I	6	79.32	0.00	20.68
3	SCG	n	I	7	61.62	24.47	13.91
3	AA	n	I	8	42.54	39.41	18.04
3	SM	n	I	9	56.94	35.48	7.58
3	AB	n	I	10	51.70	37.12	11.18
3	AB	s	II	11	67.01	23.36	9.63
3	TESTEM	s	II	12	74.03	0.00	25.97
3	SCG	s	II	13	74.39	14.61	11.00
3	AA	s	II	14	60.67	30.64	8.69
3	SM	s	II	15	36.55	42.08	21.38
3	AB	n	II	16	53.62	28.79	17.59
3	TESTEM	n	II	17	89.76	0.00	10.24
3	SCG	n	II	18	55.84	37.97	6.19
3	AA	n	II	19	56.61	35.83	7.56
3	SM	n	II	20	86.73	13.27	0.00
3	SM	s	III	21	47.04	40.65	12.31
3	AB	s	III	22	51.64	29.93	18.44
3	TESTEM	s	III	23	50.27	0.00	49.73
3	SCG	s	III	24	56.23	36.07	7.71
3	AA	s	III	25	53.20	32.95	13.85
3	SM	n	III	26	48.97	44.40	6.64
3	AB	n	III	27	53.72	26.46	19.81
3	TESTEM	n	III	28	91.23	0.00	8.77
3	SCG	n	III	29	44.34	38.18	17.48
3	AA	n	III	30	65.88	26.80	7.32
4	TESTEM	s	I	1	86.44	0.00	13.56
4	SCG	s	I	2	51.83	34.93	13.24
4	AB	s	I	3	50.08	34.27	15.65
4	SM	s	I	4	50.23	37.83	11.94
4	AA	s	I	5	33.43	50.15	16.42
4	TESTEM	n	I	6	82.13	0.00	17.87
4	SCG	n	I	7	30.06	61.15	8.79
4	AA	n	I	8	68.74	15.27	15.99
