## Antônio Augusto Rocha Athayde
##
## Em consorcio com gramíneas ou cultivadas exclusivamente, as
## leguminosas tropicais tem sido objeto de estudos visando a economia
## do uso de fertilizantes e melhor valor nutritivo da forragem, no
## entanto a baixa persistência de leguminosas consorciadas com gramínea
## tem sido considerada limitante a continuidade e adesão ao uso desta
## tecnologia. O objetivo deste trabalho foi avaliar efeitos de
## adubação, na persistência de leguminosas em consórcio. Usou-se
## Stylosanthes cvs. Mineirão (SM) e Campo Grande (SCG) e, Arachis
## cvs. Amarilo (AA) e Belmonte (AB) em consórcio com Cynodon coastcross
## (TESTEM). Os cortes foram realizados quando o coastcross atingia
## 0,30m.
##
## Experimento que avalia o consórcio de gramineas com leguminosas e
## combinação com a adubação e ao longo dos cortes da leguminosa. O
## experimento está em blocos com arranjo de parcela subdividida. A
## combinação dos fatores consórcio (cons) e adubação (adub, s=sim e
## n=não) foram aleatorizados dentro dos blocos e os cortes consecutivos
## são as subparcelas. Os níveis de consórcio foram testemunha (Cynodon
## coastcross sozinho) e duas representantes do Stylosanthes e duas do
## Arachis. Registou-se as seguintes variáveis.
## 
## calcio: niveis percentuais na ms, dos cortes de 2 -7
## fosforo: níveis percentuais na ms, dos cortes de 2 - 7
## mm: Matéria mineral, niveis percentuais de materia mineral 2-7
## fdn: Fibra em detergente neutro percentuais cortes de 4-7
## fda: Fibra em detergente acido percentuais cortes 2-7
## divms: Digestibilidade in vitro da materia seca cortes de 3-7
## pb: Niveis percentuais de proteina bruta cortes de 2-7
## alt: Altura média de plantas (m) valiada no corte 7
## prdms: Produção de materia seca por hectare cortes de 2-7
## prdmv: Produção de materia verde por hectare cortes de 2-7
##
corte	trat	cons	adub	bloc	calcio	fosforo	mm	mo	fdn	fda	divms	pb	alt	prdms	prdmv
2	1	CC	s	I	0.32	0.17	15.63	84.38	NA	36.84	NA	7.05	NA	1115.32	2098.11
2	2	AA	s	I	0.22	0.14	10.28	89.72	NA	47.54	NA	7.27	NA	919.56	1615.47
2	3	AB	s	I	0.28	0.18	9.87	90.13	NA	43.26	NA	7.68	NA	618.63	1465.00
2	4	CG	s	I	NA	NA	9.98	90.02	NA	48.73	NA	6.59	NA	659.49	2161.60
2	5	SM	s	I	0.17	0.12	11.73	88.27	NA	42.54	NA	6.26	NA	2641.15	8406.96
2	6	CC	n	I	0.25	0.13	8.70	91.30	NA	40.56	NA	6.19	NA	386.60	993.84
2	7	AA	n	I	0.28	0.12	13.61	86.39	NA	40.72	NA	7.32	NA	899.97	1553.33
2	8	AB	n	I	0.17	0.12	11.78	88.22	NA	54.74	NA	8.90	NA	681.62	1054.80
2	9	CG	n	I	0.21	0.13	14.13	85.87	NA	52.43	NA	7.32	NA	1217.73	2161.60
2	10	SM	n	I	0.25	0.13	15.04	84.96	NA	43.32	NA	6.42	NA	1928.46	4569.00
2	1	CC	s	II	0.17	0.15	14.47	85.53	NA	41.00	NA	6.27	NA	625.69	1490.76
2	2	AA	s	II	0.18	0.16	9.71	90.29	NA	37.68	NA	6.88	NA	1358.87	2361.07
2	3	AB	s	II	0.30	0.16	12.83	87.17	NA	41.36	NA	6.01	NA	1170.13	2051.00
2	4	CG	s	II	0.24	0.16	14.19	85.81	NA	52.63	NA	7.41	NA	1469.76	2779.20
2	5	SM	s	II	0.42	0.14	10.98	89.02	NA	39.18	NA	8.58	NA	4818.69	9016.16
2	6	CC	n	II	0.31	0.14	14.28	85.72	NA	53.60	NA	5.44	NA	536.16	1435.55
2	7	AA	n	II	0.17	0.14	12.53	87.47	NA	52.04	NA	7.13	NA	1098.50	2174.67
2	8	AB	n	II	0.27	0.12	12.25	87.75	NA	41.72	NA	7.40	NA	1363.69	2461.20
2	9	CG	n	II	0.14	0.08	10.55	89.45	NA	58.38	NA	8.11	NA	1681.50	2964.48
2	10	SM	n	II	0.20	0.15	11.72	88.28	NA	69.58	NA	7.50	NA	2023.98	3898.88
2	1	CC	s	III	0.35	0.16	12.08	87.92	NA	41.46	NA	7.76	NA	865.99	2208.53
2	2	AA	s	III	0.21	0.17	13.57	86.43	NA	48.84	NA	7.05	NA	1413.53	2423.20
2	3	AB	s	III	0.26	0.15	11.77	88.23	NA	38.16	NA	6.70	NA	975.75	2051.00
2	4	CG	s	III	0.3	0.10	9.84	90.16	NA	51.00	NA	7.23	NA	1897.67	3396.80
2	5	SM	s	III	0.14	0.15	14.13	85.87	NA	54.58	NA	7.59	NA	5740.88	9990.88
2	6	CC	n	III	0.26	0.14	11.23	88.77	NA	43.56	NA	6.73	NA	496.09	1380.33
2	7	AA	n	III	0.24	0.14	10.76	89.24	NA	42.98	NA	6.97	NA	1674.78	2982.40
2	8	AB	n	III	0.18	0.11	11.28	88.72	NA	50.08	NA	6.27	NA	944.29	1582.20
2	9	CG	n	III	0.22	0.13	8.63	91.37	NA	41.14	NA	6.53	NA	1201.83	2161.60
2	10	SM	n	III	0.19	0.13	10.39	89.61	NA	46.80	NA	5.64	NA	3947.59	7310.40
3	1	CC	s	I	0.04	0.13	4.71	95.29	NA	59.00	35.88	4.98	NA	1287.81	2633.68
3	2	AA	s	I	0.11	0.12	4.76	95.24	NA	62.40	39.17	5.61	NA	2632.60	4274.77
3	3	AB	s	I	0.15	0.12	6.25	93.75	NA	60.12	42.30	7.12	NA	1574.07	2730.76
