## Antônio Augusto Rocha Athayde
##
## Em consorcio com gramíneas ou cultivadas exclusivamente, as
## leguminosas tropicais tem sido objeto de estudos visando a economia
## do uso de fertilizantes e melhor valor nutritivo da forragem, no
## entanto a baixa persistência de leguminosas consorciadas com gramínea
## tem sido considerada limitante a continuidade e adesão ao uso desta
## tecnologia. O objetivo deste trabalho foi avaliar efeitos de
## adubação, na persistência de leguminosas em consórcio. Usou-se
## Stylosanthes cvs. Mineirão (SM) e Campo Grande (SCG) e, Arachis
## cvs. Amarilo (AA) e Belmonte (AB) em consórcio com Cynodon coastcross
## (TESTEM). Os cortes foram realizados quando o coastcross atingia
## 0,30m.
##
## Experimento que avalia o consórcio de gramineas com leguminosas e
## combinação com a adubação e ao longo dos cortes da leguminosa. O
## experimento está em blocos com arranjo de parcela subdividida. A
## combinação dos fatores consórcio (cons) e adubação (adub, s=sim e
## n=não) foram aleatorizados dentro dos blocos e os cortes consecutivos
## são as subparcelas. Os níveis de consórcio foram testemunha (Cynodon
## coastcross sozinho) e duas representantes do Stylosanthes e duas do
## Arachis. Registou-se as seguintes variáveis.
## 
## calcio: niveis percentuais na ms, dos cortes de 2 -7
## fosforo: níveis percentuais na ms, dos cortes de 2 - 7
## mm: Matéria mineral, niveis percentuais de materia mineral 2-7
## fdn: Fibra em detergente neutro percentuais cortes de 4-7
## fda: Fibra em detergente acido percentuais cortes 2-7
## divms: Digestibilidade in vitro da materia seca cortes de 3-7
## pb: Niveis percentuais de proteina bruta cortes de 2-7
## alt: Altura média de plantas (m) valiada no corte 7
## prdms: Produção de materia seca por hectare cortes de 2-7
## prdmv: Produção de materia verde por hectare cortes de 2-7
##
corte	trat	cons	adub	bloc	calcio	fosforo	mm	mo	fdn	fda	divms	pb	alt
2	2	AA	s	I	1.93	0.18	9.54	90.46	NA	62.93	NA	13.93	NA
2	3	AB	s	I	NA	NA	6.34	93.66	NA	47.53	NA	11.87	NA
2	4	CG	s	I	1.76	0.17	5.27	94.73	NA	45.34	NA	13.91	NA
2	5	SM	s	I	1.40	0.15	4.68	95.32	NA	55.94	NA	14.50	NA
2	7	AA	n	I	1.97	0.23	6.15	93.85	NA	71.72	NA	14.58	NA
2	8	AB	n	I	NA	0.15	6.98	93.02	NA	40.32	NA	11.39	NA
2	9	CG	n	I	1.40	0.12	7.30	92.70	NA	48.54	NA	13.24	NA
2	10	SM	n	I	1.49	NA	8.72	91.28	NA	55.67	NA	0.00	NA
2	2	AA	s	II	1.93	0.22	9.69	90.31	NA	60.78	NA	14.92	NA
2	3	AB	s	II	1.01	0.21	6.87	93.13	NA	57.00	NA	12.00	NA
2	4	CG	s	II	1.32	0.21	6.12	93.88	NA	42.82	NA	10.52	NA
2	5	SM	s	II	1.42	0.13	7.05	92.95	NA	37.76	NA	11.79	NA
2	7	AA	n	II	1.79	0.18	9.16	90.84	NA	59.81	NA	14.09	NA
2	8	AB	n	II	1.26	0.19	6.93	93.07	NA	38.98	NA	10.77	NA
2	9	CG	n	II	1.43	0.11	7.52	92.48	NA	44.82	NA	12.10	NA
2	10	SM	n	II	NA	NA	8.23	91.77	NA	54.02	NA	14.03	NA
2	2	AA	s	III	1.62	0.24	12.24	87.76	NA	71.80	NA	12.04	NA
2	3	AB	s	III	0.83	0.21	4.88	95.12	NA	36.00	NA	10.15	NA
2	4	CG	s	III	1.39	0.15	7.80	92.20	NA	37.36	NA	11.23	NA
2	5	SM	s	III	1.28	0.17	7.23	92.77	NA	37.86	NA	14.10	NA
2	7	AA	n	III	1.67	0.26	11.18	88.82	NA	59.80	NA	12.33	NA
2	8	AB	n	III	0.94	0.24	13.89	86.11	NA	38.56	NA	11.58	NA
2	9	CG	n	III	1.49	0.14	9.63	90.37	NA	39.94	NA	12.52	NA
2	10	SM	n	III	1.28	0.13	9.33	90.67	NA	43.52	NA	12.20	NA
3	2	AA	s	I	1.42	0.19	10.70	89.30	NA	54.40	60.67	15.93	NA
3	3	AB	s	I	0.77	0.17	8.55	91.45	NA	71.40	62.23	12.02	NA
3	4	CG	s	I	1.24	0.15	7.53	92.47	NA	63.00	55.40	12.66	NA
3	5	SM	s	I	1.00	0.12	6.40	93.60	NA	43.80	41.39	13.97	NA
3	7	AA	n	I	0.93	0.10	7.46	92.54	NA	53.00	40.12	10.99	NA
3	8	AB	n	I	1.17	0.14	8.70	91.30	NA	62.40	43.59	10.99	NA
3	9	CG	n	I	1.31	0.13	6.80	93.20	NA	64.00	49.40	11.36	NA
3	10	SM	n	I	1.25	0.17	9.52	90.48	NA	68.40	60.80	13.36	NA
3	2	AA	s	II	1.46	0.2	9.17	90.83	NA	75.80	61.23	13.07	NA
3	3	AB	s	II	0.84	0.18	8.05	91.95	NA	59.60	52.77	13.04	NA
3	4	CG	s	II	1.00	0.15	6.25	93.75	NA	60.00	50.69	11.98	NA
3	5	SM	s	II	1.19	0.15	6.96	93.04	NA	47.20	46.81	14.18	NA
3	7	AA	n	II	1.25	0.17	10.98	89.02	NA	82.60	57.43	13.17	NA
3	8	AB	n	II	0.87	0.16	7.14	92.86	NA	62.40	60.04	13.19	NA
3	9	CG	n	II	1.11	0.11	6.49	93.51	NA	57.60	56.75	13.32	NA
3	10	SM	n	II	1.14	0.17	6.67	93.33	NA	28.00	49.00	14.87	NA
3	2	AA	s	III	1.43	0.21	8.58	91.42	NA	72.20	60.67	13.72	NA
3	3	AB	s	III	0.96	0.22	7.43	92.57	NA	68.80	54.76	14.29	NA
