# Curvas de retenção de água do solo como função do manejo da cultura do café
# condi: tipo de solo e período de instalação da cultura
# prof: profundidade de amostragem do solo (cm)
# posi: posição de amostragem do solo (EL: entrelinhas, L: linha)
# rep: índice da repetição dentro de uma combinação amostral
# tens: tensão matricial (kPa) à qual a amostra de solo foi submetida
# umid: umidade do solo correspondente à tensão
# dados de Milson Evaldo Serafim produzidos durante Tese de Doutorado
# em Ciência do Solo - UFLA
condi	prof	posi	rep	tens	umid
LVA3,5	20	EL	1	0	0.61
LVA3,5	20	EL	2	0	0.54
LVA3,5	20	EL	3	0	0.57
LVA3,5	20	EL	1	1	0.56
LVA3,5	20	EL	2	1	0.52
LVA3,5	20	EL	3	1	0.56
LVA3,5	20	EL	1	2	0.54
LVA3,5	20	EL	2	2	0.51
LVA3,5	20	EL	3	2	0.52
LVA3,5	20	EL	1	4	0.48
LVA3,5	20	EL	2	4	0.48
LVA3,5	20	EL	3	4	0.48
LVA3,5	20	EL	1	6	0.46
LVA3,5	20	EL	2	6	0.47
LVA3,5	20	EL	3	6	0.46
LVA3,5	20	EL	1	10	0.44
LVA3,5	20	EL	2	10	0.45
LVA3,5	20	EL	3	10	0.45
LVA3,5	20	EL	1	33	0.40
LVA3,5	20	EL	2	33	0.43
LVA3,5	20	EL	3	33	0.43
LVA3,5	20	EL	1	100	0.38
LVA3,5	20	EL	2	100	0.39
LVA3,5	20	EL	3	100	0.41
LVA3,5	20	EL	1	500	0.35
LVA3,5	20	EL	2	500	0.39
LVA3,5	20	EL	3	500	0.38
LVA3,5	20	EL	1	1500	0.35
LVA3,5	20	EL	2	1500	0.38
LVA3,5	20	EL	3	1500	0.38
LVA3,5	40	EL	1	0	0.60
LVA3,5	40	EL	2	0	0.57
LVA3,5	40	EL	3	0	0.55
LVA3,5	40	EL	1	1	0.56
LVA3,5	40	EL	2	1	0.53
LVA3,5	40	EL	3	1	0.53
LVA3,5	40	EL	1	2	0.55
LVA3,5	40	EL	2	2	0.52
LVA3,5	40	EL	3	2	0.52
LVA3,5	40	EL	1	4	0.49
LVA3,5	40	EL	2	4	0.50
LVA3,5	40	EL	3	4	0.49
LVA3,5	40	EL	1	6	0.46
LVA3,5	40	EL	2	6	0.48
LVA3,5	40	EL	3	6	0.47
LVA3,5	40	EL	1	10	0.42
LVA3,5	40	EL	2	10	0.46
LVA3,5	40	EL	3	10	0.46
LVA3,5	40	EL	1	33	0.38
LVA3,5	40	EL	2	33	0.44
LVA3,5	40	EL	3	33	0.43
LVA3,5	40	EL	1	100	0.36
LVA3,5	40	EL	2	100	0.42
LVA3,5	40	EL	3	100	0.41
LVA3,5	40	EL	1	500	0.34
LVA3,5	40	EL	2	500	0.38
LVA3,5	40	EL	3	500	0.40
LVA3,5	40	EL	1	1500	0.34
LVA3,5	40	EL	2	1500	0.35
LVA3,5	40	EL	3	1500	0.39
LVA3,5	80	EL	1	0	0.61
LVA3,5	80	EL	2	0	0.56
LVA3,5	80	EL	3	0	0.57
LVA3,5	80	EL	1	1	0.58
LVA3,5	80	EL	2	1	0.54
LVA3,5	80	EL	3	1	0.55
LVA3,5	80	EL	1	2	0.58
LVA3,5	80	EL	2	2	0.53
LVA3,5	80	EL	3	2	0.52
LVA3,5	80	EL	1	4	0.55
LVA3,5	80	EL	2	4	0.51
LVA3,5	80	EL	3	4	0.49
LVA3,5	80	EL	1	6	0.53
LVA3,5	80	EL	2	6	0.49
LVA3,5	80	EL	3	6	0.48
LVA3,5	80	EL	1	10	0.50
LVA3,5	80	EL	2	10	0.48
LVA3,5	80	EL	3	10	0.47
LVA3,5	80	EL	1	33	0.45
LVA3,5	80	EL	2	33	0.45
LVA3,5	80	EL	3	33	0.44
LVA3,5	80	EL	1	100	0.43
LVA3,5	80	EL	2	100	0.43
LVA3,5	80	EL	3	100	0.43
LVA3,5	80	EL	1	500	0.43
LVA3,5	80	EL	2	500	0.39
LVA3,5	80	EL	3	500	0.38
LVA3,5	80	EL	1	1500	0.40
LVA3,5	80	EL	2	1500	0.34
LVA3,5	80	EL	3	1500	0.35
LVA3,5	120	EL	1	0	0.50
LVA3,5	120	EL	2	0	0.56
LVA3,5	120	EL	3	0	0.56
LVA3,5	120	EL	1	1	0.48
LVA3,5	120	EL	2	1	0.57
LVA3,5	120	EL	3	1	0.56
LVA3,5	120	EL	1	2	0.48
LVA3,5	120	EL	2	2	0.56
LVA3,5	120	EL	3	2	0.54
LVA3,5	120	EL	1	4	0.47
LVA3,5	120	EL	2	4	0.55
LVA3,5	120	EL	3	4	0.53
LVA3,5	120	EL	1	6	0.46
LVA3,5	120	EL	2	6	0.54
LVA3,5	120	EL	3	6	0.52
LVA3,5	120	EL	1	10	0.39
LVA3,5	120	EL	2	10	0.51
LVA3,5	120	EL	3	10	0.50
LVA3,5	120	EL	1	33	0.36
LVA3,5	120	EL	2	33	0.50
LVA3,5	120	EL	3	33	0.49
LVA3,5	120	EL	1	100	0.34
LVA3,5	120	EL	2	100	0.48
LVA3,5	120	EL	3	100	0.47
LVA3,5	120	EL	1	500	0.33
LVA3,5	120	EL	2	500	0.40
LVA3,5	120	EL	3	500	0.39
LVA3,5	120	EL	1	1500	0.32
LVA3,5	120	EL	2	1500	0.39
LVA3,5	120	EL	3	1500	0.38
LVA3,5	160	EL	1	0	0.58
LVA3,5	160	EL	2	0	0.58
LVA3,5	160	EL	3	0	0.55
LVA3,5	160	EL	1	1	0.56
LVA3,5	160	EL	2	1	0.56
LVA3,5	160	EL	3	1	0.54
LVA3,5	160	EL	1	2	0.56
LVA3,5	160	EL	2	2	0.56
LVA3,5	160	EL	3	2	0.53
LVA3,5	160	EL	1	4	0.54
LVA3,5	160	EL	2	4	0.55
LVA3,5	160	EL	3	4	0.52
LVA3,5	160	EL	1	6	0.53
LVA3,5	160	EL	2	6	0.55
LVA3,5	160	EL	3	6	0.51
LVA3,5	160	EL	1	10	0.46
LVA3,5	160	EL	2	10	0.51
LVA3,5	160	EL	3	10	0.49
LVA3,5	160	EL	1	33	0.43
LVA3,5	160	EL	2	33	0.52
LVA3,5	160	EL	3	33	0.49
LVA3,5	160	EL	1	100	0.41
LVA3,5	160	EL	2	100	0.51
LVA3,5	160	EL	3	100	0.47
LVA3,5	160	EL	1	500	0.37
LVA3,5	160	EL	2	500	0.45
LVA3,5	160	EL	3	500	0.39
LVA3,5	160	EL	1	1500	0.36
LVA3,5	160	EL	2	1500	0.41
LVA3,5	160	EL	3	1500	0.39
LVA3,5	20	L	1	0	0.68
LVA3,5	20	L	2	0	0.62
LVA3,5	20	L	3	0	0.63
LVA3,5	20	L	1	1	0.51
LVA3,5	20	L	2	1	0.53
LVA3,5	20	L	3	1	0.54
LVA3,5	20	L	1	2	0.47
LVA3,5	20	L	2	2	0.46
LVA3,5	20	L	3	2	0.49
LVA3,5	20	L	1	4	0.40
LVA3,5	20	L	2	4	0.43
LVA3,5	20	L	3	4	0.44
LVA3,5	20	L	1	6	0.39
LVA3,5	20	L	2	6	0.41
LVA3,5	20	L	3	6	0.42
LVA3,5	20	L	1	10	0.38
LVA3,5	20	L	2	10	0.41
LVA3,5	20	L	3	10	0.41
LVA3,5	20	L	1	33	0.35
LVA3,5	20	L	2	33	0.38
LVA3,5	20	L	3	33	0.38
LVA3,5	20	L	1	100	0.32
LVA3,5	20	L	2	100	0.36
LVA3,5	20	L	3	100	0.36
LVA3,5	20	L	1	500	0.30
LVA3,5	20	L	2	500	0.33
LVA3,5	20	L	3	500	0.34
LVA3,5	20	L	1	1500	0.30
LVA3,5	20	L	2	1500	0.33
LVA3,5	20	L	3	1500	0.33
LVA3,5	40	L	1	0	0.69
LVA3,5	40	L	2	0	0.56
LVA3,5	40	L	3	0	0.55
LVA3,5	40	L	1	1	0.60
LVA3,5	40	L	2	1	0.52
LVA3,5	40	L	3	1	0.51
LVA3,5	40	L	1	2	0.53
LVA3,5	40	L	2	2	0.48
LVA3,5	40	L	3	2	0.46
LVA3,5	40	L	1	4	0.44
LVA3,5	40	L	2	4	0.44
LVA3,5	40	L	3	4	0.43
LVA3,5	40	L	1	6	0.41
LVA3,5	40	L	2	6	0.43
LVA3,5	40	L	3	6	0.42
LVA3,5	40	L	1	10	0.40
LVA3,5	40	L	2	10	0.41
LVA3,5	40	L	3	10	0.41
LVA3,5	40	L	1	33	0.35
LVA3,5	40	L	2	33	0.39
LVA3,5	40	L	3	33	0.39
LVA3,5	40	L	1	100	0.33
LVA3,5	40	L	2	100	0.37
LVA3,5	40	L	3	100	0.37
LVA3,5	40	L	1	500	0.30
LVA3,5	40	L	2	500	0.36
LVA3,5	40	L	3	500	0.35
LVA3,5	40	L	1	1500	0.29
LVA3,5	40	L	2	1500	0.35
LVA3,5	40	L	3	1500	0.34
LVA3,5	80	L	1	0	0.54
LVA3,5	80	L	2	0	0.51
LVA3,5	80	L	3	0	0.56
LVA3,5	80	L	1	1	0.53
LVA3,5	80	L	2	1	0.50
LVA3,5	80	L	3	1	0.53
LVA3,5	80	L	1	2	0.50
LVA3,5	80	L	2	2	0.48
LVA3,5	80	L	3	2	0.52
LVA3,5	80	L	1	4	0.47
LVA3,5	80	L	2	4	0.45
LVA3,5	80	L	3	4	0.48
LVA3,5	80	L	1	6	0.45
LVA3,5	80	L	2	6	0.44
LVA3,5	80	L	3	6	0.46
LVA3,5	80	L	1	10	0.44
LVA3,5	80	L	2	10	0.42
LVA3,5	80	L	3	10	0.44
LVA3,5	80	L	1	33	0.41
LVA3,5	80	L	2	33	0.40
LVA3,5	80	L	3	33	0.41
LVA3,5	80	L	1	100	0.39
LVA3,5	80	L	2	100	0.38
LVA3,5	80	L	3	100	0.39
LVA3,5	80	L	1	500	0.37
LVA3,5	80	L	2	500	0.37
LVA3,5	80	L	3	500	0.36
LVA3,5	80	L	1	1500	0.37
LVA3,5	80	L	2	1500	0.37
LVA3,5	80	L	3	1500	0.36
LVA3,5	120	L	1	0	0.55
LVA3,5	120	L	2	0	0.53
LVA3,5	120	L	3	0	0.54
LVA3,5	120	L	1	1	0.55
LVA3,5	120	L	2	1	0.53
LVA3,5	120	L	3	1	0.53
LVA3,5	120	L	1	2	0.54
LVA3,5	120	L	2	2	0.52
LVA3,5	120	L	3	2	0.51
LVA3,5	120	L	1	4	0.54
LVA3,5	120	L	2	4	0.49
LVA3,5	120	L	3	4	0.48
