# Dados de crescimento micelial de isolados de fungo em função da temperatura
# do Paulo Lichtemberg
# isolado: índice do isolado
# temp: temperatura da câmara de crescimento (celsius)
# mmdia: taxa de crescimento em 3 dias (tam_dia_5-tam_dia_3)/2
isolado	temp	mmdia
1	20	14.25
1	20	13.25
1	20	13.25
2	20	9.75
2	20	12.75
2	20	11.5
4	20	9.5
4	20	9.25
4	20	9.5
5	20	12.75
5	20	14.5
5	20	14
6	20	11
6	20	21.25
6	20	12.75
7	20	15.75
7	20	14.5
7	20	11.75
8	20	15.25
8	20	14
8	20	10.25
9	20	14.5
9	20	14.5
9	20	13.75
10	20	10
10	20	10.5
10	20	10.75
12	20	13.5
12	20	12
12	20	12.25
13	20	10.25
13	20	10
13	20	11.75
15	20	6.5
15	20	7
15	20	6.5
18	20	13.25
18	20	13
18	20	13.75
19	20	14.25
19	20	15.5
19	20	13.25
24	20	10
24	20	10.75
24	20	5.5
25	20	13
25	20	5.5
25	20	13.5
1	25	16.25
1	25	15.25
1	25	11.75
2	25	17.75
2	25	16.75
2	25	16.75
4	25	12.5
4	25	15
4	25	10
5	25	16.75
5	25	16.25
5	25	11.25
6	25	16.25
6	25	12.25
6	25	14.75
7	25	17.375
7	25	13.25
7	25	11.75
8	25	9
8	25	3.5
8	25	16.25
9	25	15
9	25	13
9	25	15
10	25	10.5
10	25	9.5
10	25	10.25
12	25	9.75
12	25	9.25
12	25	14.25
13	25	14.25
13	25	16
13	25	16
15	25	5.5
15	25	5.25
15	25	4.75
18	25	14.75
18	25	9
18	25	11.75
19	25	13.75
19	25	11.5
19	25	8.5
24	25	10.75
24	25	4.5
24	25	5.25
25	25	6
25	25	10
25	25	9.5
1	30	2.5
1	30	1.5
1	30	0
2	30	0.25
2	30	0.25
2	30	0.5
4	30	3.75
4	30	5.25
4	30	5
5	30	0.75
5	30	1.75
5	30	2.75
6	30	0.75
6	30	0.25
6	30	0.25
7	30	0.75
7	30	0.25
7	30	1.75
8	30	0
8	30	1
8	30	0.5
9	30	3.25
9	30	3.25
9	30	4.25
10	30	0.25
10	30	0.75
10	30	0.75
12	30	1
12	30	3.5
12	30	5
13	30	1
13	30	4
13	30	5
15	30	3.5
15	30	3.25
15	30	2.25
18	30	1.25
18	30	2.25
18	30	2.75
19	30	0
19	30	0
19	30	0.75
24	30	0.5
24	30	1.875
24	30	1.5
25	30	2.25
25	30	4.75
25	30	2.25
1	18.5	12
1	18.5	11.75
1	18.5	10.75
2	18.5	9.75
2	18.5	8
2	18.5	8.75
4	18.5	4
4	18.5	2.75
4	18.5	2.5
5	18.5	7.25
5	18.5	12.5
5	18.5	8.5
6	18.5	3.25
6	18.5	5
6	18.5	8.5
7	18.5	9.25
7	18.5	11.25
7	18.5	13
8	18.5	6
8	18.5	9.75
8	18.5	11.5
9	18.5	6.75
9	18.5	9
9	18.5	9.5
10	18.5	9.5
10	18.5	8.25
10	18.5	8.5
12	18.5	8.75
12	18.5	8
12	18.5	8.5
13	18.5	6.25
13	18.5	6.5
13	18.5	7
15	18.5	2.25
15	18.5	5.5
15	18.5	4.5
18	18.5	7.25
18	18.5	4
18	18.5	9.75
19	18.5	10.25
19	18.5	7.75
19	18.5	8.25
24	18.5	4
24	18.5	5.5
24	18.5	6
25	18.5	10.25
25	18.5	5.75
25	18.5	10.75
