hormonio	tempo	repeticao	altura
AAS 	1	1	43.500
AAS 	1	2	44.300
AAS 	1	3	47.900
AAS 	1	4	44.800
AAS 	1	5	46.500
AAS 	2	1	44.000
AAS 	2	2	52.800
AAS 	2	3	52.000
AAS 	2	4	42.000
AAS 	2	5	45.500
AAS 	3	1	50.200
AAS 	3	2	36.400
AAS 	3	3	50.900
AAS 	3	4	50.500
AAS 	3	5	49.900
GA3 	1	1	46.000
GA3 	1	2	47.800
GA3 	1	3	45.100
GA3 	1	4	44.600
GA3 	1	5	42.500
GA3 	2	1	50.500
GA3 	2	2	43.400
GA3 	2	3	52.200
GA3 	2	4	47.500
GA3 	2	5	45.400
GA3 	3	1	48.600
GA3 	3	2	61.500
GA3 	3	3	58.000
GA3 	3	4	56.800
GA3 	3	5	53.500
AJ 	1	1	47.200
AJ 	1	2	40.600
AJ 	1	3	46.600
AJ 	1	4	44.700
AJ 	1	5	42.300
AJ 	2	1	43.500
AJ 	2	2	41.500
AJ 	2	3	57.000
AJ 	2	4	47.200
AJ 	2	5	51.500
AJ 	3	1	58.500
AJ 	3	2	39.600
AJ 	3	3	52.500
AJ 	3	4	59.500
AJ 	3	5	47.400
H2O 	1	1	45.900
H2O 	1	2	42.700
H2O 	1	3	42.100
H2O 	1	4	44.500
H2O 	1	5	47.200
H2O 	2	1	54.800
H2O 	2	2	58.800
H2O 	2	3	58.000
H2O 	2	4	49.200
H2O 	2	5	50.200
H2O 	3	1	56.700
H2O 	3	2	51.200
H2O 	3	3	57.100
H2O 	3	4	63.900
H2O 	3	5	45.900
STM 	1	1	45.100
STM 	1	2	42.600
STM 	1	3	50.800
STM 	1	4	47.600
STM 	1	5	41.700
STM 	2	1	44.800
STM 	2	2	54.500
STM 	2	3	51.700
STM 	2	4	49.800
STM 	2	5	57.600
STM 	3	1	63.400
STM 	3	2	56.600
STM 	3	3	52.600
STM 	3	4	62.100
STM 	3	5	54.800
BAP	1	1	47.600
BAP	1	2	42.400
BAP	1	3	45.800
BAP	1	4	40.700
BAP	1	5	41.200
BAP	2	1	44.500
BAP	2	2	41.000
BAP	2	3	46.000
BAP	2	4	59.000
BAP	2	5	48.000
BAP	3	1	53.700
BAP	3	2	50.600
BAP	3	3	45.500
BAP	3	4	46.500
BAP	3	5	53.700
