notas,serie
21.8,3I
22.9,3I
16,3I
11.75,3I
13.9,3I
19.25,3I
14.75,3I
17.75,3I
11.75,3I
26,3I
15.5,3I
17.25,3I
19.1,3I
13.95,3I
14.65,3I
20.4,3I
22.15,3I
17.4,3I
16.65,3I
11.4,3I
14.75,3I
30,3I
15.9,3I
16.35,3I
16.15,3I
18.65,3I
18.4,3I
20.5,2I
13.45,2I
16.5,2I
7.55,2I
9.5,2I
22,2I
12.5,2I
7.25,2I
21.65,2I
14.25,2I
12.5,2I
16.25,2I
22,2I
7.75,2I
16.55,2I
8.25,2I
17.25,2I
20.5,2I
10.25,2I
8.3,2I
7.45,2I
16.75,2I
10.8,2I
24.65,2I
14.05,1I
14,1I
22.25,1I
12.75,1I
23.65,1I
12.9,1I
4.5,1I
16.25,1I
16.5,1I
19,1I
1.5,1I
20.3,1I
22.2,1I
9.25,1I
6,1I
6.25,1I
6.25,1I
23.65,1I
6,1I
5.5,1I
9.1,1I
8,1I
25,1I
8,1I
17,1I
25,1I
12,1I
3.75,1I
1.75,1I
18.75,1I
21.55,1I
14.75,1I
17.25,1I
24.35,1I
21.45,1I
