experimento	semente	inseticida	tratamento	repeticao	estande	producao
2008750022	DKB390	COM INS	2	4	65963	13635
2008750022	DKB390	COM INS	2	3	57542	14938
2008750022	DKB390	COM INS	2	5	67366	14020
2008750022	DKB390	COM INS	2	2	63156	13982
2008750022	DKB390	COM INS	2	1	65963	15250
2008750022	DKB390	SEM INS	1	2	65963	13211
2008750022	DKB390	SEM INS	1	5	68770	14295
2008750022	DKB390	SEM INS	1	3	65963	14281
2008750022	DKB390	SEM INS	1	4	67366	13290
2008750022	DKB390	SEM INS	1	1	65963	13322
2008750022	DKB390YG	COM INS	4	5	65963	14494
2008750022	DKB390YG	COM INS	4	4	68770	14370
2008750022	DKB390YG	COM INS	4	3	63156	14806
2008750022	DKB390YG	COM INS	4	2	56139	13798
2008750022	DKB390YG	COM INS	4	1	64559	14437
2008750022	DKB390YG	SEM INS	3	5	68770	13725
2008750022	DKB390YG	SEM INS	3	2	65963	14736
2008750022	DKB390YG	SEM INS	3	4	67366	14915
2008750022	DKB390YG	SEM INS	3	3	68770	14312
2008750022	DKB390YG	SEM INS	3	1	64559	14684
2008750023	AG8088	COM INS	2	4	63156	12947
2008750023	AG8088	COM INS	2	5	64559	13311
2008750023	AG8088	COM INS	2	1	63156	13179
2008750023	AG8088	COM INS	2	3	63156	13494
2008750023	AG8088	COM INS	2	2	65963	12397
2008750023	AG8088	SEM INS	1	4	64559	13098
2008750023	AG8088	SEM INS	1	1	64559	11664
2008750023	AG8088	SEM INS	1	2	67366	12351
2008750023	AG8088	SEM INS	1	3	67366	12779
2008750023	AG8088	SEM INS	1	5	65963	12211
2008750023	AG8088YG	COM INS	4	3	67366	13451
2008750023	AG8088YG	COM INS	4	2	65963	13010
2008750023	AG8088YG	COM INS	4	4	68770	12553
2008750023	AG8088YG	COM INS	4	5	65963	13658
2008750023	AG8088YG	COM INS	4	1	64559	12309
2008750023	AG8088YG	SEM INS	3	3	63156	13556
2008750023	AG8088YG	SEM INS	3	1	65963	12902
2008750023	AG8088YG	SEM INS	3	2	65963	13451
2008750023	AG8088YG	SEM INS	3	4	65963	13147
2008750023	AG8088YG	SEM INS	3	5	65963	12686
2008463YG1	DKB390	COM INS	3	1	68889	3953
2008463YG1	DKB390	COM INS	3	2	64444	3392
2008463YG1	DKB390	COM INS	3	3	73333	4879
2008463YG1	DKB390	COM INS	3	4	73333	4744
2008463YG1	DKB390	COM INS	3	5	66667	5009
2008463YG1	DKB390	SEM INS	4	3	68889	5046
2008463YG1	DKB390	SEM INS	4	2	62222	4162
2008463YG1	DKB390	SEM INS	4	4	66667	4932
2008463YG1	DKB390	SEM INS	4	1	57778	3045
2008463YG1	DKB390	SEM INS	4	5	66667	4998
2008463YG1	DKB390YG	COM INS	1	2	68889	4485
2008463YG1	DKB390YG	COM INS	1	1	68889	4023
2008463YG1	DKB390YG	COM INS	1	4	66667	4465
2008463YG1	DKB390YG	COM INS	1	3	60000	5460
2008463YG1	DKB390YG	COM INS	1	5	71111	4075
2008463YG1	DKB390YG	SEM INS	2	1	71111	4528
2008463YG1	DKB390YG	SEM INS	2	4	71111	4238
2008463YG1	DKB390YG	SEM INS	2	2	71111	4928
2008463YG1	DKB390YG	SEM INS	2	3	66667	5340
2008463YG1	DKB390YG	SEM INS	2	5	73333	4387
2008463YG2	DKB390	COM INS	3	4	62222	12105
2008463YG2	DKB390	COM INS	3	6	66667	12006
2008463YG2	DKB390	COM INS	3	5	62222	11705
2008463YG2	DKB390	COM INS	3	3	66667	12759
2008463YG2	DKB390	COM INS	3	1	66667	11864
2008463YG2	DKB390	COM INS	3	2	66667	12631
2008463YG2	DKB390	SEM INS	4	1	66667	11233
2008463YG2	DKB390	SEM INS	4	5	66667	12352
2008463YG2	DKB390	SEM INS	4	3	62222	11113
2008463YG2	DKB390	SEM INS	4	2	66667	10567
2008463YG2	DKB390	SEM INS	4	4	64444	11363
2008463YG2	DKB390	SEM INS	4	6	63333	11905
2008463YG2	DKB390YG	COM INS	1	2	62222	11390
2008463YG2	DKB390YG	COM INS	1	3	66667	12286
2008463YG2	DKB390YG	COM INS	1	1	62222	10874
2008463YG2	DKB390YG	COM INS	1	4	66667	11406
2008463YG2	DKB390YG	COM INS	1	5	66667	12511
2008463YG2	DKB390YG	COM INS	1	6	66667	11434
2008463YG2	DKB390YG	SEM INS	2	5	64444	10712
2008463YG2	DKB390YG	SEM INS	2	4	66667	10756
2008463YG2	DKB390YG	SEM INS	2	6	66667	12119
2008463YG2	DKB390YG	SEM INS	2	1	63333	10634
2008463YG2	DKB390YG	SEM INS	2	2	61111	12671
2008463YG2	DKB390YG	SEM INS	2	3	66667	11781
2008750J08	DKB390	COM INS	2	3	53061	12160
2008750J08	DKB390	COM INS	2	4	53061	11618
2008750J08	DKB390	COM INS	2	2	51020	12708
2008750J08	DKB390	COM INS	2	5	53061	10853
2008750J08	DKB390	COM INS	2	1	53061	11702
2008750J08	DKB390	SEM INS	1	3	52041	10887
2008750J08	DKB390	SEM INS	1	2	53061	11506
2008750J08	DKB390	SEM INS	1	4	53061	10115
2008750J08	DKB390	SEM INS	1	5	51020	12628
