modelo	cor	km	ano	valor	cambio	poten	trac	cat	novo
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Prata	31442	2011/2012	41990	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Azul	40800	2011/2012	42500	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	56000	2011/2012	42900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	NA	2011/2012	42990	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Prata	45000	2011/2012	43800	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Vermelho	50000	2012/2013	43999	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	44000	2012/2012	44900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Preto	30000	2012/2013	45000	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	41000	2011/2012	45300	MANUAL	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	55000	2011/2012	45500	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Prata	60000	2011/2011	45990	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Preto	42000	2011/2012	46200	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Vermelho	44500	2012/2013	46700	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	38000	2012/2013	46900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	NA	2013/2013	46900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Verde	NA	2011/2012	46900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	32000	2012/2013	46900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	32000	2013/2013	46990	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	29000	2013/2013	46990	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Prata	33000	2011/2012	46999	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Vermelho	46000	2012/2013	47000	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Azul	44000	2011/2012	47490	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	35500	2011/2012	47500	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	37000	2012/2013	47700	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Prata	45670	2011/2012	47900	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	NA	2012/2013	47990	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Cinza	50149	2011/2012	47990	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	34291	2012/2013	47990	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Prata	20457	2012/2013	47990	MANUAL	1.6	4X2	 EXPRESSION 	usado
