## Dados de responsabilidade de Grasiela Bruzamarello Tognon
## (http://lattes.cnpq.br/2911532137112895), acadêmica de pós graduação
## em produção vegetal, UFPR.
##
## O experimento avaliou o efeito de soluções (trat) para ?conservação
## das estacas e foi repetido nas 4 estações do ano (est).
## 
## As respostas avaliadas foram medidas de características de coloração
## das estacas (L, a, b, E), o peso e a classificação quanto à
## viabilidade comercial (nota de 1 à 3). Foram consideradas 10 estacas
## (unidades experimentais, UE) para cada nível solução em cada
## estação. O registro das respostas foi feito ao longo do tempo (dias,
## medidas repetidas nas memas UE)
## 
## trat = {
##   1: Controle,
##   2: Ácido citrico (100 ml^{-1}),
##   3: Metabissulfito de sódio (10 mM),
##   4: Ácido cítrico + Sacarose (4%),
##   5: Metabissulfito de sódio + Sacarose (4%)
## }
## 
## L: define a luminosidade (L = 0: preto e L = 100: branco).
## 
## a e b: associam-se a cromaticidade, (“+a”, vermelho, “-a”, verde e
## “+b”, amarelo, “-b”, azul).
## 
## E: delta E, coloração como um todo.
## 
## peso: hastes pesadas em cada dia de avaliação por meio de balança
## analítica de precisão (gramas).
## 
## escala: escala de classificação de viabilidade:  
## 1) Cladódios verdes brilhantes sem manchas escuras (oxidação) ao
##    longo da haste. Hastes túrgidas. VIÁVEIS.
## 2) Cladódios verdes brilhantes com manchas escuras (oxidação) somente
##    na porção basal da haste. Hastes túrgidas e sem danos. VIÁVEIS.
## 3) Cladódios apresentando manchas escuras (oxidação) na porção
##    mediana e/ou apical da haste. Hastes secas (com aspecto
##    quebradiço). DESCARTE.
##
est	dias	trat	rept	L	a	b	AE	peso	escala
primavera	1	1	1	38.82	-11.17	21.25	29.84	9.32	1
primavera	1	1	2	39.98	-13.19	18.40	29.26	13.00	1
primavera	1	1	3	40.06	-12.86	17.15	28.27	21.99	1
primavera	1	1	4	40.33	-13.16	17.27	28.65	5.63	1
primavera	1	1	5	39.88	-12.54	17.74	28.42	31.90	1
primavera	1	1	6	39.83	-13.13	20.58	30.71	26.67	1
primavera	1	1	7	37.16	-11.18	14.20	23.90	19.51	1
primavera	1	1	8	38.99	-12.67	17.44	27.83	29.44	1
primavera	1	1	9	37.57	-11.55	14.63	24.60	13.48	1
primavera	1	1	10	41.56	-13.24	18.48	30.17	27.15	1
primavera	1	2	1	40.22	-13.02	19.06	29.75	17.15	1
primavera	1	2	2	38.04	-11.55	14.65	24.85	22.76	1
primavera	1	2	3	38.04	-11.84	15.11	25.32	14.60	1
primavera	1	2	4	38.49	-12.29	15.55	26.08	16.87	1
primavera	1	2	5	39.63	-12.19	16.35	27.16	19.89	1
primavera	1	2	6	41.34	-13.56	18.19	30.02	12.45	1
primavera	1	2	7	42.51	-14.00	19.52	31.77	11.89	1
primavera	1	2	8	44.12	-14.17	21.99	34.42	10.02	1
primavera	1	2	9	35.50	-10.97	14.81	23.43	17.42	1
primavera	1	2	10	43.71	-14.63	22.98	35.11	15.76	1
primavera	1	3	1	28.90	-11.51	15.31	22.08	25.80	1
primavera	1	3	2	37.88	-11.63	14.66	24.82	14.00	1
primavera	1	3	3	38.80	-12.34	16.09	26.63	15.30	1
primavera	1	3	4	40.13	-13.58	18.08	29.32	19.32	1
primavera	1	3	5	39.37	-12.48	15.92	26.89	25.33	1
primavera	1	3	6	38.73	-12.67	17.73	27.90	28.57	1
primavera	1	3	7	38.58	-12.56	15.87	26.49	19.49	1
primavera	1	3	8	38.89	-12.59	15.91	26.69	18.69	1
primavera	1	3	9	36.22	-12.52	16.66	25.92	13.16	1
primavera	1	3	10	38.64	-11.60	15.44	25.72	20.92	1
primavera	1	4	1	40.04	-12.28	16.17	27.31	25.62	1
primavera	1	4	2	40.08	-13.68	18.97	29.96	23.32	1
primavera	1	4	3	38.79	-12.36	16.03	26.59	29.34	1
primavera	1	4	4	35.35	-8.31	9.73	18.47	16.54	1
primavera	1	4	5	40.54	-12.51	15.95	27.56	23.05	1
primavera	1	4	6	42.18	-15.91	23.77	35.53	10.67	1
primavera	1	4	7	42.05	-13.53	18.50	30.60	10.95	1
primavera	1	4	8	41.58	-12.46	16.54	28.50	11.97	1
primavera	1	4	9	41.28	-12.47	16.33	28.20	11.92	1
primavera	1	4	10	36.91	-10.41	12.57	22.28	13.55	1
primavera	1	5	1	38.91	-11.99	14.89	25.71	14.80	1
primavera	1	5	2	40.62	-12.86	16.94	28.43	26.04	1
primavera	1	5	3	35.94	-11.84	18.88	27.09	17.13	1
primavera	1	5	4	38.29	-12.41	17.15	27.15	19.30	1
primavera	1	5	5	39.55	-12.91	18.52	28.99	14.32	1
primavera	1	5	6	39.18	-12.64	16.49	27.25	18.72	1
primavera	1	5	7	34.77	-11.65	16.16	24.48	20.61	1
primavera	1	5	8	39.14	-11.72	14.78	25.61	11.29	1
primavera	1	5	9	42.58	-14.90	20.64	33.01	19.02	1
primavera	1	5	10	41.73	-15.26	20.85	32.90	16.55	1
primavera	3	1	1	39.78	-11.92	21.81	31.05	9.93	1
primavera	3	1	2	38.18	-12.83	17.98	27.90	13.80	1
primavera	3	1	3	44.44	-14.35	24.28	36.30	17.75	3
primavera	3	1	4	40.41	-13.83	19.15	30.32	5.54	1
primavera	3	1	5	36.06	-11.49	15.35	24.35	29.80	1
primavera	3	1	6	44.26	-13.73	21.83	34.19	21.12	3
primavera	3	1	7	32.64	-10.87	13.88	21.46	18.86	1
primavera	3	1	8	38.60	-12.05	16.60	26.73	28.41	1
primavera	3	1	9	37.34	-12.04	15.87	25.60	12.94	1
primavera	3	1	10	35.98	-12.24	17.33	26.15	27.74	1
primavera	3	2	1	41.46	-14.37	24.74	35.17	18.56	1
primavera	3	2	2	37.90	-12.65	18.02	27.71	23.35	2
primavera	3	2	3	36.17	-11.34	15.10	24.14	15.81	1
primavera	3	2	4	38.44	-12.02	15.33	25.76	17.91	1
primavera	3	2	5	29.33	-10.35	14.24	20.64	20.30	2
primavera	3	2	6	40.81	-13.57	20.12	31.08	12.73	1
primavera	3	2	7	40.57	-13.60	19.27	30.37	12.86	1
primavera	3	2	8	43.73	-13.21	20.38	32.65	11.20	1
primavera	3	2	9	39.01	-12.52	18.97	28.85	17.72	1
primavera	3	2	10	42.98	-13.48	21.93	33.42	17.75	1
primavera	3	3	1	38.06	-11.20	14.86	24.82	27.37	1
primavera	3	3	2	35.47	-10.99	13.75	22.69	14.85	1
primavera	3	3	3	39.79	-13.10	16.85	28.06	16.04	1
primavera	3	3	4	38.01	-12.56	16.77	26.63	20.28	1
primavera	3	3	5	41.51	-13.23	19.52	30.85	24.03	3
primavera	3	3	6	39.14	-11.39	16.31	26.47	31.48	1
primavera	3	3	7	39.55	-13.49	17.56	28.62	20.23	2
primavera	3	3	8	37.13	-12.58	16.34	26.12	20.95	2
primavera	3	3	9	37.55	-12.71	16.64	26.60	13.53	1
primavera	3	3	10	34.01	-11.68	17.11	24.93	22.86	1
primavera	3	4	1	34.59	-10.31	12.79	21.24	24.70	1
primavera	3	4	2	41.38	-13.65	19.79	31.17	20.75	3
primavera	3	4	3	36.10	-10.55	12.70	22.03	29.23	2
primavera	3	4	4	37.69	-10.37	13.45	23.24	15.59	2
primavera	3	4	5	38.99	-12.83	17.64	28.05	23.69	1
primavera	3	4	6	42.36	-14.90	22.41	34.13	12.11	1
primavera	3	4	7	34.86	-13.49	19.08	27.72	11.96	1
primavera	3	4	8	41.27	-12.71	18.80	29.97	11.83	1
primavera	3	4	9	38.76	-11.33	14.09	24.75	12.43	1
primavera	3	4	10	34.78	-10.21	12.79	21.27	13.20	2
primavera	3	5	1	38.97	-12.35	16.41	26.94	14.56	1
primavera	3	5	2	35.78	-10.36	12.60	21.69	26.08	2
primavera	3	5	3	35.09	-10.92	15.56	23.77	18.77	1
primavera	3	5	4	36.74	-12.60	17.33	26.67	20.09	1
primavera	3	5	5	37.78	-11.88	15.78	25.66	15.46	1
primavera	3	5	6	38.95	-13.78	18.91	29.42	19.83	1
primavera	3	5	7	40.91	-13.34	20.55	31.52	21.31	2
primavera	3	5	8	36.65	-10.72	13.07	22.64	11.54	1
primavera	3	5	9	38.60	-13.81	19.16	29.46	19.00	1
primavera	3	5	10	37.48	-12.69	16.86	26.71	16.67	1
primavera	5	1	1	47.74	-14.60	23.85	37.97	10.34	1
primavera	5	1	2	41.48	-13.49	18.73	30.42	13.95	1
primavera	5	1	3	42.05	-7.70	19.83	29.12	17.23	3
primavera	5	1	4	39.62	-13.98	18.31	29.43	5.95	1
primavera	5	1	5	41.01	-13.45	19.38	30.60	27.64	2
primavera	5	1	6	42.82	-13.17	23.29	34.21	20.67	3
primavera	5	1	7	37.93	-10.70	13.35	23.81	18.78	3
primavera	5	1	8	41.43	-12.28	17.99	29.29	27.96	2
primavera	5	1	9	38.29	-11.68	14.80	25.15	13.28	1
primavera	5	1	10	47.34	-14.59	24.16	37.94	25.02	3
primavera	5	2	1	45.68	-12.66	21.44	34.27	18.98	1
primavera	5	2	2	41.12	-12.64	18.85	30.04	22.56	2
primavera	5	2	3	42.48	-13.88	20.86	32.62	14.92	2
primavera	5	2	4	40.30	-12.43	16.23	27.57	16.35	1
primavera	5	2	5	39.81	-11.59	15.19	26.18	19.34	2
primavera	5	2	6	40.28	-13.56	18.87	29.93	12.40	2
primavera	5	2	7	36.95	-12.52	16.40	26.06	13.02	1
primavera	5	2	8	43.03	-13.35	19.91	32.00	11.55	1
primavera	5	2	9	38.53	-10.96	14.14	24.46	17.20	1
primavera	5	2	10	45.46	-12.33	19.87	32.94	18.10	1
primavera	5	3	1	37.86	-11.64	14.60	24.78	25.08	2
primavera	5	3	2	37.52	-12.01	14.88	25.00	12.95	3
primavera	5	3	3	45.56	-15.27	22.26	35.93	14.07	3
primavera	5	3	4	44.25	-13.60	22.54	37.41	18.00	3
primavera	5	3	5	51.58	-15.50	27.58	43.20	18.81	3
primavera	5	3	6	43.00	-12.93	19.92	31.80	27.81	1
primavera	5	3	7	43.12	-14.01	20.30	32.64	17.68	3
primavera	5	3	8	39.87	-13.51	17.84	28.98	19.99	2
primavera	5	3	9	42.90	-14.14	19.90	32.30	12.25	2
primavera	5	3	10	43.04	-13.63	21.46	33.21	22.99	1
primavera	5	4	1	40.84	-13.42	19.93	30.88	21.58	3
primavera	5	4	2	40.79	-13.71	18.24	29.83	20.81	3
primavera	5	4	3	42.20	-14.14	20.39	32.27	28.44	3
primavera	5	4	4	39.73	-12.08	17.38	27.87	14.23	3
primavera	5	4	5	41.95	-15.27	21.07	33.17	22.58	2
primavera	5	4	6	43.51	-14.97	24.82	36.13	12.88	1
primavera	5	4	7	39.97	-13.30	17.60	28.76	12.41	1
primavera	5	4	8	47.75	-14.91	23.73	38.02	10.09	2
primavera	5	4	9	39.63	-12.88	16.69	27.75	12.24	1
primavera	5	4	10	44.28	-13.12	20.22	32.81	12.44	3
primavera	5	5	1	44.52	-15.26	24.64	37.02	12.46	1
primavera	5	5	2	42.85	-13.30	18.87	31.47	24.63	3
primavera	5	5	3	37.82	-12.78	18.61	28.17	17.02	1
primavera	5	5	4	44.93	-14.25	22.90	35.54	17.90	2
primavera	5	5	5	39.63	-12.06	15.56	26.57	15.92	2
primavera	5	5	6	41.02	-13.89	18.32	30.16	18.93	2
primavera	5	5	7	47.46	-14.18	22.56	36.75	19.30	2
primavera	5	5	8	37.97	-12.81	17.35	27.35	11.18	2
primavera	5	5	9	40.33	-14.51	20.62	31.66	17.64	3
primavera	5	5	10	43.06	-15.40	21.53	34.13	16.15	2
primavera	7	1	1	42.19	-14.00	19.67	31.69	9.84	1
primavera	7	1	2	41.95	-14.12	23.40	34.29	13.11	2
primavera	7	1	3	45.20	-6.13	21.77	32.01	14.28	3
primavera	7	1	4	43.54	-13.93	18.73	31.78	5.18	2
primavera	7	1	5	41.12	-1.60	17.45	25.32	16.59	3
primavera	7	1	6	50.63	-14.67	28.23	42.75	21.48	3
primavera	7	1	7	41.09	-12.54	17.59	28.93	15.33	3
primavera	7	1	8	46.12	-14.67	23.69	37.08	23.55	2
primavera	7	1	9	39.63	-12.71	17.37	28.12	11.43	2
primavera	7	1	10	44.13	-5.67	19.20	29.34	21.74	3
primavera	7	2	1	45.44	-13.82	22.81	35.58	16.99	1
primavera	7	2	2	43.64	-14.43	22.73	34.80	18.15	10
primavera	7	2	3	43.00	-13.71	19.98	32.21	12.55	2
primavera	7	2	4	49.73	-13.80	24.06	38.99	11.45	3
primavera	7	2	5	37.45	-11.34	14.52	24.35	16.28	2
primavera	7	2	6	42.33	-13.02	18.20	30.29	10.27	2
primavera	7	2	7	44.64	-13.58	21.35	34.01	11.27	1
primavera	7	2	8	44.40	-13.94	21.38	34.05	10.45	1
primavera	7	2	9	43.66	-12.86	19.37	31.76	14.99	1
primavera	7	2	10	46.07	-12.86	20.58	34.02	16.19	2
primavera	7	3	1	46.26	-13.78	22.61	35.89	20.81	3
primavera	7	3	2	40.24	-12.86	17.42	28.55	10.54	3
primavera	7	3	3	50.84	-15.58	29.12	43.86	12.19	3
primavera	7	3	4	40.66	-9.78	21.47	30.34	12.23	3
primavera	7	3	5	42.03	-1.04	18.79	26.85	13.63	3
primavera	7	3	6	48.51	-11.20	22.34	36.08	18.31	3
primavera	7	3	7	40.68	-8.26	18.39	27.45	14.74	3
primavera	7	3	8	46.02	-13.97	21.60	35.15	15.50	3
primavera	7	3	9	46.06	-13.53	23.79	36.49	9.94	3
primavera	7	3	10	42.72	-13.67	21.66	33.21	18.33	2
primavera	7	4	1	47.59	-13.96	22.62	36.67	18.10	3
primavera	7	4	2	44.50	-14.77	21.95	34.38	17.85	3
primavera	7	4	3	49.56	-11.38	23.96	37.32	22.67	3
primavera	7	4	4	51.23	-10.82	25.13	39.62	11.24	3
primavera	7	4	5	45.96	-14.18	23.94	36.81	18.04	2
primavera	7	4	6	45.16	-15.44	25.70	38.19	11.70	2
primavera	7	4	7	47.02	-7.48	19.07	31.67	10.65	1
primavera	7	4	8	43.79	-12.42	16.91	30.04	7.75	3
primavera	7	4	9	45.73	-13.31	20.63	34.04	9.55	2
primavera	7	4	10	39.08	-9.62	13.09	23.42	10.71	3
primavera	7	5	1	46.83	-14.47	24.40	37.75	11.31	3
primavera	7	5	2	39.15	-11.61	14.13	25.14	21.95	3
primavera	7	5	3	45.20	-13.49	24.09	36.21	14.04	2
primavera	7	5	4	50.96	-16.11	28.78	43.91	15.07	3
primavera	7	5	5	42.07	-12.31	16.13	28.45	14.21	2
primavera	7	5	6	44.32	-15.40	21.76	34.98	14.96	3
primavera	7	5	7	48.22	-14.18	23.73	38.34	15.51	3
primavera	7	5	8	40.55	-11.43	13.75	25.62	8.97	2
primavera	7	5	9	45.14	-15.47	25.58	38.11	15.70	3
