## Dados de responsabilidade de Grasiela Bruzamarello Tognon
## (http://lattes.cnpq.br/2911532137112895), acadêmica de pós graduação
## em produção vegetal, UFPR.
##
## O experimento avaliou o efeito de soluções (trat) para ?conservação
## das estacas e foi repetido nas 4 estações do ano (est).
## 
## As respostas avaliadas foram medidas de características de coloração
## das estacas (L, a, b, E), o peso e a classificação quanto à
## viabilidade comercial (nota de 1 à 3). Foram consideradas 10 estacas
## (unidades experimentais, UE) para cada nível solução em cada
## estação. O registro das respostas foi feito ao longo do tempo (dias,
## medidas repetidas nas memas UE)
## 
## trat = {
##   1: Controle,
##   2: Ácido citrico (100 ml^{-1}),
##   3: Metabissulfito de sódio (10 mM),
##   4: Ácido cítrico + Sacarose (4%),
##   5: Metabissulfito de sódio + Sacarose (4%)
## }
## 
## L: define a luminosidade (L = 0: preto e L = 100: branco).
## 
## a e b: associam-se a cromaticidade, (“+a”, vermelho, “-a”, verde e
## “+b”, amarelo, “-b”, azul).
## 
## E: delta E, coloração como um todo.
## 
## peso: hastes pesadas em cada dia de avaliação por meio de balança
## analítica de precisão (gramas).
## 
## escala: escala de classificação de viabilidade:  
## 1) Cladódios verdes brilhantes sem manchas escuras (oxidação) ao
##    longo da haste. Hastes túrgidas. VIÁVEIS.
## 2) Cladódios verdes brilhantes com manchas escuras (oxidação) somente
##    na porção basal da haste. Hastes túrgidas e sem danos. VIÁVEIS.
## 3) Cladódios apresentando manchas escuras (oxidação) na porção
##    mediana e/ou apical da haste. Hastes secas (com aspecto
##    quebradiço). DESCARTE.
##
est	dias	trat	rept	L	a	b	AE	peso	escala
outono	1	1	1	32.07	-7.55	12.02	18.14	41.16	1
outono	1	1	2	32.37	-11.56	17.91	24.97	15.76	1
outono	1	1	3	45.69	-9.89	20.41	32.49	17.10	1
outono	1	1	4	42.87	-9.79	17.99	29.04	16.61	1
outono	1	1	5	39.50	-8.43	13.31	23.27	14.40	1
outono	1	1	6	41.58	-8.93	14.78	25.74	23.50	1
outono	1	1	7	41.06	-9.69	17.12	27.32	14.45	1
outono	1	1	8	42.85	-9.62	16.86	28.20	31.30	1
outono	1	1	9	42.07	-8.37	13.74	25.17	19.67	1
outono	1	1	10	46.41	-8.99	16.46	30.07	14.87	1
outono	1	2	1	40.31	-9.91	17.10	26.97	23.21	1
outono	1	2	2	38.45	-8.91	14.50	23.67	14.45	1
outono	1	2	3	38.28	-8.05	14.79	23.40	14.31	1
outono	1	2	4	25.25	-5.97	8.87	13.30	21.40	1
outono	1	2	5	37.58	-9.49	15.18	23.95	28.40	1
outono	1	2	6	39.91	-10.09	17.50	27.11	32.85	1
outono	1	2	7	37.67	-8.25	13.41	22.15	11.29	1
outono	1	2	8	34.88	-9.37	13.98	21.71	24.04	1
outono	1	2	9	40.63	-8.66	14.39	24.77	26.08	1
outono	1	2	10	39.06	-6.72	11.20	20.91	17.92	1
outono	1	3	1	38.99	-10.01	15.40	25.10	11.97	1
outono	1	3	2	36.79	-9.45	14.56	23.08	31.83	1
outono	1	3	3	41.32	-9.57	15.81	26.52	13.25	1
outono	1	3	4	42.37	-9.63	18.65	29.14	9.36	1
outono	1	3	5	37.06	-7.53	11.98	20.52	21.83	1
