SIS	GES	DOS	NIT	REP	ALT	PROD	CEM
1	1	1	1	1	125.0	4338.89	33.7
1	1	1	1	2	134.3	3738.89	33.4
1	1	1	1	3	134.3	4300.00	33.5
1	1	1	1	4	142.6	4977.78	34.2
1	1	2	1	1	127.3	4896.67	33.6
1	1	2	1	2	129.6	4633.33	32.4
1	1	2	1	3	136.3	4788.89	37.3
1	1	2	1	4	139.6	5267.78	31.2
1	1	3	1	1	139.3	4687.41	36.2
1	1	3	1	2	124.6	6922.22	35.2
1	1	3	1	3	133.0	5000.00	39.5
1	1	3	1	4	138.0	2140.00	33.8
1	1	4	1	1	128.0	4522.22	33.9
1	1	4	1	2	133.6	3222.22	34.9
1	1	4	1	3	146.0	5644.44	35.6
1	1	4	1	4	130.0	4700.00	31.1
1	1	5	1	1	134.6	4633.33	32.5
1	1	5	1	2	129.3	4905.56	31.6
1	1	5	1	3	132.6	4733.33	36.4
1	1	5	1	4	137.6	4757.41	33.5
1	2	1	1	1	132.6	4866.67	32.7
1	2	1	1	2	128.6	3664.44	30.2
1	2	1	1	3	135.6	5544.44	34.9
1	2	1	1	4	134.0	4526.67	33.0
1	2	2	1	1	135.0	3377.78	34.1
1	2	2	1	2	139.3	4960.00	35.8
1	2	2	1	3	137.0	4716.67	38.3
1	2	2	1	4	144.3	5444.44	35.3
1	2	3	1	1	139.3	3955.56	33.3
1	2	3	1	2	147.6	3733.33	35.4
1	2	3	1	3	134.0	3761.11	36.9
1	2	3	1	4	140.3	4933.33	30.4
1	2	4	1	1	133.3	4705.56	33.5
1	2	4	1	2	127.0	3761.11	33.1
1	2	4	1	3	148.3	6233.33	36.1
1	2	4	1	4	143.0	4111.11	33.0
1	2	5	1	1	131.6	3677.78	34.7
1	2	5	1	2	125.6	3183.33	28.2
1	2	5	1	3	135.0	4427.78	32.4
1	2	5	1	4	98.6	4783.33	33.5
2	1	1	1	1	122.3	4849.26	33.9
2	1	1	1	2	135.3	4214.44	31.6
2	1	1	1	3	153.3	5150.00	35.4
2	1	1	1	4	147.0	5183.33	34.8
2	1	2	1	1	142.3	1988.89	33.2
2	1	2	1	2	141.3	4333.33	35.2
2	1	2	1	3	150.0	3050.00	35.1
2	1	2	1	4	137.6	4317.78	36.0
2	1	3	1	1	136.3	1355.56	32.6
2	1	3	1	2	140.3	3588.89	34.1
2	1	3	1	3	142.3	5694.44	35.2
2	1	3	1	4	137.0	3888.89	33.0
2	1	4	1	1	135.3	4494.44	34.2
2	1	4	1	2	147.6	4455.56	32.7
2	1	4	1	3	145.6	3844.44	35.7
2	1	4	1	4	137.6	4416.67	31.1
2	1	5	1	1	130.0	5377.78	33.2
2	1	5	1	2	140.6	4705.56	33.3
2	1	5	1	3	139.3	4420.00	28.8
2	1	5	1	4	146.3	5233.33	35.7
2	2	1	1	1	135.0	3844.44	34.9
2	2	1	1	2	140.3	6188.89	36.6
2	2	1	1	3	153.0	5385.19	35.3
2	2	1	1	4	145.3	6122.22	34.3
2	2	2	1	1	139.0	4793.33	34.8
2	2	2	1	2	146.6	5444.44	36.2
2	2	2	1	3	150.0	5562.22	32.2
2	2	2	1	4	158.0	4384.44	34.2
2	2	3	1	1	140.3	4916.67	37.0
2	2	3	1	2	131.0	4561.11	34.8
2	2	3	1	3	139.3	4083.33	33.8
2	2	3	1	4	145.6	5888.89	35.1
2	2	4	1	1	155.6	4405.56	35.8
2	2	4	1	2	129.6	4200.00	35.2
2	2	4	1	3	154.3	4965.56	33.8
2	2	4	1	4	140.3	5522.22	34.9
2	2	5	1	1	148.3	2861.11	32.8
2	2	5	1	2	144.3	4844.44	33.3
2	2	5	1	3	137.3	4155.56	34.1
2	2	5	1	4	154.0	5627.78	35.3

