## Dados de experimento feito por Alexandre Martins Abdão dos Passos
## (http://lattes.cnpq.br/3663394160618071).
##
## O experimento combinou fonte de fertilizante orgânico (fonte, CF=cama
## de framgo, EC=esterco de curral e PC=pó de carvão) nas doses 0, 3, 6,
## e 9 ton/ha e tendo ainda o complemento de 0, 100, 200, 300 e 400
## kg/ha de dose de fertilizante químico (NPK). O delineamento foi de
## blocos casualizados com arranjo de tratamentos em parcela
## subsubdividida. Na parcela a fonte, na subparcela a dose e
## subsubparcela o npk. As respostas avaliadas foram tanto de solo
## quanto de planta, conforme legenda:
##
## AF: área foliar;
## N: nitrogênio;
## P: fósforo;
## K: potássio;
## Ca: cálcio;
## Mg: magnésio;
## S: enxofre;
## B: boro;
## Cu: cobre;
## Mn: manganês;
## Zn: zinco;
## Fe: ferro;
## ACA: nota visual para acamamento, ordinal em escala de 5 níveis (nenhum=1,2,3,4,5=muito);
## prod: produtividade;
## Apta: altura de plantas (cm);
## Ains: altura de inserção do primeiro legume (cm);
## Nleg: número médio de legumes por planta;
## Ngrao: número médio de grãos por legume;
## PCS: peso de 100 sementes;
## 
fonte	dorg	dnpk	bloco	AF	N	P	K	Ca	Mg	S	B	Cu	Mn	ZN	Fe	ACA	prod	Apta	Ains	Nleg	Ngrao	PCS
CF	0	0	2	31.3808	3.97	0.15	1.43	1.01	0.33	0.23	44.00	6.20	55.20	32.30	93.40	1	3352.50	48.4	21.4	10.00	2.14	15.60
CF	0	0	3	66.5671	3.87	0.26	1.53	1.35	0.37	0.22	43.95	8.45	57.90	28.50	102.95	1	3262.50	48.2	16.2	48.00	2.11	14.77
CF	0	0	1	43.6755	3.76	0.20	1.10	1.40	0.30	0.20	43.50	6.60	32.90	37.70	66.60	1	1907.46	50.0	21.0	27.00	2.13	13.26
CF	0	100	1	41.5474	3.80	0.20	1.10	1.20	0.30	0.20	44.60	6.10	37.90	28.50	69.10	1	2399.30	62.0	22.8	33.90	2.16	13.71
CF	0	100	2	42.3066	4.17	0.16	1.40	1.07	0.34	0.20	43.60	7.10	45.90	30.60	89.90	1	1478.81	62.2	25.0	13.60	2.18	14.67
CF	0	100	3	119.4661	3.99	0.22	1.53	1.27	0.36	0.20	45.40	7.75	46.55	22.15	98.75	1	3421.90	57.8	17.2	30.10	2.10	14.23
CF	0	200	1	51.4560	4.01	0.10	1.00	1.20	0.30	0.20	48.00	5.60	31.80	24.30	79.90	1	2045.98	71.0	26.0	18.80	2.11	14.44
CF	0	200	2	49.9771	4.37	0.19	1.49	1.12	0.33	0.22	47.70	7.50	35.20	25.00	97.70	1	2202.27	67.0	27.8	31.40	2.17	15.38
CF	0	200	3	109.1977	4.19	0.19	1.45	1.28	0.33	0.21	47.30	8.45	53.90	26.35	105.35	1	4425.34	66.0	19.2	32.90	2.02	14.71
CF	0	300	2	29.4732	4.18	0.18	1.33	1.10	0.34	0.22	37.90	7.10	50.30	28.40	94.30	1	2576.03	83.2	31.8	22.80	2.21	14.83
CF	0	300	3	79.3169	4.15	0.21	1.47	1.31	0.36	0.21	41.00	8.15	43.65	23.55	93.85	1	3420.55	66.6	24.8	55.50	2.10	14.37
CF	0	300	1	40.4078	4.12	0.20	1.00	1.30	0.30	0.20	49.30	5.70	32.40	34.50	66.10	1	2682.33	61.0	22.0	34.90	2.20	14.13
CF	0	400	2	58.2200	4.32	0.20	1.42	1.18	0.35	0.23	44.20	7.50	42.60	31.50	138.30	1	2445.98	73.4	26.8	24.50	2.01	14.25
CF	0	400	3	126.0129	4.15	0.20	1.53	1.15	0.34	0.22	40.75	7.95	52.50	23.10	95.15	1	4715.04	73.4	24.2	39.80	1.87	14.71
CF	0	400	1	47.2624	3.97	0.20	1.00	1.30	0.30	0.20	46.80	5.80	44.80	31.90	84.70	1	3198.43	67.4	24.2	32.30	2.32	14.20
CF	3	0	1	41.7944	4.12	0.20	1.40	1.10	0.30	0.20	34.60	5.90	86.20	23.70	95.50	1	2906.25	68.0	25.2	21.10	2.30	14.69
CF	3	0	3	37.7272	4.34	0.26	1.52	1.36	0.36	0.21	43.63	8.33	57.15	29.55	101.48	2	3394.83	74.2	22.8	30.20	2.14	16.34
CF	3	0	2	82.2564	4.55	0.25	1.70	1.38	0.38	0.22	46.20	9.00	38.60	32.70	107.70	1	2864.37	73.8	21.4	37.80	1.97	16.17
