farm	block	trt	resp
1	1	A	30.86
1	1	B	33.31
1	2	A	30.82
1	2	B	30.94
1	3	A	32.31
1	3	B	35.24
2	1	A	31.39
2	1	B	27.87
2	2	A	30.62
2	2	B	25.25
2	3	A	29.93
2	3	B	21.79
3	1	A	39.22
3	1	B	41.95
3	2	A	38.96
3	2	B	43.38
3	3	A	35.39
3	3	B	41.09
4	1	A	37.19
4	1	B	30.97
4	2	A	36.10
4	2	B	32.55
4	3	A	35.85
4	3	B	33.04
5	1	A	24.98
5	1	B	23.39
5	2	A	22.04
5	2	B	24.50
5	3	A	22.93
5	3	B	23.24
6	1	A	28.06
6	1	B	28.69
6	2	A	27.98
6	2	B	25.68
6	3	A	25.13
6	3	B	25.88
7	1	A	27.82
7	1	B	37.23
7	2	A	25.32
7	2	B	34.45
7	3	A	26.52
7	3	B	32.49
8	1	A	29.41
8	1	B	30.98
8	2	A	26.63
8	2	B	30.71
8	3	A	29.60
8	3	B	30.63

