trat	origem	concentração	bloc	media
A25	A	25	1	70.96
A50	A	50	1	81.00
A75	A	75	1	74.50
C25	C	25	1	81.00
C50	C	50	1	76.96
C75	C	75	1	71.17
H25	H	25	1	67.38
H50	H	50	1	72.46
H75	H	75	1	65.75
TEST	T	0	1	99.67
A25	A	25	2	74.83
A50	A	50	2	76.08
A75	A	75	2	77.10
C25	C	25	2	85.83
C50	C	50	2	93.75
C75	C	75	2	88.08
H25	H	25	2	94.17
H50	H	50	2	69.21
H75	H	75	2	88.92
TEST	T	0	2	97.17
A25	A	25	3	56.50
A50	A	50	3	64.13
A75	A	75	3	73.50
C25	C	25	3	78.13
C50	C	50	3	63.75
C75	C	75	3	60.29
H25	H	25	3	77.08
H50	H	50	3	64.88
H75	H	75	3	51.25
TEST	T	0	3	96.50

