arvore	amostra	A	B	C	D	E
1	1	 2.6149 	 3.1655 	 2.1715 	 3.6980 	 2.4034 
1	2	 2.4278 	 2.6816 	 4.1911 	 2.1985 	 3.5015 
1	3	 2.0885 	 2.4278 	 4.8191 	 3.5015 	 3.1091 
1	4	 2.4996 	 2.0020 	 5.5363 	 2.6149 	 2.4034 
1	5	 2.0601 	 1.8490 	 3.2573 	 3.4335 	 3.2573 
1	6	 2.9134 	 3.0901 	 5.3742 	 3.8387 	 2.4996 
1	7	 2.4996 	 2.3032 	 3.7924 	 2.3032 	 2.8313 
1	8	 2.8313 	 2.3032 	 3.9148 	 3.0710 	 2.4278 
1	9	 2.1715 	 2.4278 	 2.7682 	 2.8313 	 2.7682 
1	10	 2.7468 	 3.2573 	 3.9148 	 2.4996 	 2.4278 
1	11	 3.4335 	 1.8490 	 3.5847 	 2.6149 	 2.4278 
1	12	 3.1655 	 2.6816 	 2.8313 	 2.9336 	 2.7468 
1	13	 2.4278 	 3.3816 	 3.1655 	 3.9148 	 2.0601 
1	14	 2.4034 	 2.3032 	 3.4335 	 2.3032 	 2.4996 
1	15	 2.9536 	 1.4157 	 3.5847 	 2.6149 	 3.8387 
1	16	 2.4996 	 3.6498 	 4.1770 	 2.0020 	 2.6816 
1	17	 2.4759 	 2.4759 	 4.8191 	 3.1655 	 2.4996 
1	18	 2.6816 	 2.4996 	 3.1655 	 2.0601 	 3.5847 
1	19	 2.6149 	 2.4759 	 2.0601 	 2.4996 	 3.0901 
1	20	 2.1715 	 2.7682 	 1.9423 	 4.0041 	 2.4278 
1	21	 2.4278 	 4.0188 	 2.7682 	 2.0601 	 3.5015 
1	22	 2.6816 	 3.1091 	 3.7139 	 3.8387 	 2.9336 
1	23	 1.9423 	 3.6498 	 4.1487 	 3.3816 	 2.0885 
1	24	 2.1715 	 2.0885 	 2.7682 	 2.4034 	 3.2573 
1	25	 2.7682 	 2.7682 	 3.1091 	 3.1091 	 2.9536 
1	26	 2.7682 	 3.4506 	 3.5350 	 2.6149 	 2.9336 
1	27	 2.0020 	 2.7682 	 2.9336 	 2.0601 	 2.4759 
1	28	 3.0901 	 2.4278 	 3.1655 	 2.4996 	 3.1655 
1	29	 3.1655 	 2.4278 	 2.7468 	 2.0601 	 3.7139 
1	30	 4.1345 	 2.4759 	 4.1345 	 2.0885 	 3.1655 
2	1	 3.9148 	 4.3701 	 3.1091 	 2.1715 	 3.2391 
2	2	 2.9134 	 4.1911 	 2.7682 	 2.8313 	 3.4335 
2	3	 2.7682 	 4.1345 	 3.1091 	 2.4034 	 3.2573 
2	4	 3.5350 	 3.7768 	 4.1911 	 2.7682 	 2.4996 
2	5	 2.4996 	 3.3816 	 4.1345 	 2.9134 	 3.8387 
2	6	 2.4759 	 3.7768 	 3.1091 	 2.4759 	 2.6149 
2	7	 2.1985 	 3.4335 	 3.9148 	 2.8313 	 3.0901 
2	8	 2.4034 	 2.9336 	 2.4034 	 2.0885 	 4.2470 
2	9	 2.4759 	 4.0188 	 3.5847 	 3.1091 	 2.0885 
2	10	 3.7139 	 3.8387 	 2.8313 	 3.2573 	 2.7682 
2	11	 2.4278 	 3.8387 	 3.7139 	 3.3816 	 2.0601 
2	12	 2.1715 	 3.5847 	 3.3816 	 3.1655 	 3.1091 
2	13	 3.4506 	 3.4506 	 3.1091 	 2.4278 	 3.2573 
2	14	 2.8313 	 3.2391 	 5.1042 	 2.8313 	 2.4996 
2	15	 2.4996 	 3.4335 	 3.0901 	 2.3032 	 2.4759 
2	16	 2.4278 	 3.5847 	 1.8490 	 2.8313 	 2.0601 
2	17	 3.4335 	 3.8387 	 2.4278 	 2.6816 	 3.9148 
2	18	 2.4278 	 4.6193 	 3.1091 	 2.0020 	 2.6816 
2	19	 3.7924 	 2.8313 	 2.4996 	 2.4278 	 2.4996 
2	20	 3.0710 	 2.4034 	 4.4635 	 2.1715 	 3.1091 
2	21	 3.9148 	 2.7682 	 2.7682 	 3.5015 	 2.0885 
2	22	 2.6816 	 2.6149 	 3.5847 	 3.0710 	 2.7468 
2	23	 3.6498 	 2.7682 	 3.7924 	 3.8387 	 2.8313 
2	24	 2.3032 	 2.4034 	 2.4278 	 2.7468 	 3.3816 
2	25	 2.9536 	 3.6498 	 3.5015 	 3.7139 	 2.4759 
2	26	 2.0885 	 3.2573 	 2.4278 	 3.1655 	 1.7507 
2	27	 2.7682 	 3.1655 	 3.8387 	 1.8490 	 2.1985 
2	28	 2.4278 	 4.2470 	 3.3816 	 2.6149 	 2.4034 
2	29	 3.2391 	 2.6816 	 2.4278 	 3.1091 	 2.1715 
2	30	 2.9336 	 4.5160 	 2.8313 	 2.3032 	 2.4278 
3	1	 3.3816 	 2.9336 	 3.0710 	 3.1655 	 3.8387 
3	2	 2.1715 	 4.1487 	 2.0885 	 3.5015 	 3.7924 
3	3	 3.5847 	 2.9536 	 3.5847 	 3.0710 	 2.8313 
3	4	 3.1655 	 2.4759 	 4.4767 	 2.3032 	 3.4506 
3	5	 2.7682 	 2.9336 	 4.1202 	 3.4506 	 4.5808 
3	6	 2.4278 	 3.6498 	 3.4335 	 3.3816 	 4.8557 
3	7	 3.2573 	 3.2391 	 3.0710 	 2.6149 	 3.1091 
3	8	 3.1655 	 3.5847 	 3.9148 	 2.9336 	 3.0901 
3	9	 4.6700 	 2.7682 	 3.7924 	 2.9134 	 2.4278 
3	10	 3.4335 	 3.1091 	 4.9160 	 2.0885 	 2.8313 
3	11	 2.7682 	 4.1911 	 2.9336 	 2.4759 	 3.8387 
3	12	 3.0901 	 4.0188 	 4.3970 	 3.3990 	 3.0710 
3	13	 3.8387 	 3.0710 	 4.1345 	 2.1715 	 2.4996 
3	14	 4.0041 	 1.4567 	 2.7682 	 2.3032 	 3.4335 
3	15	 2.7682 	 2.7468 	 3.2573 	 2.7468 	 3.3816 
3	16	 2.1715 	 3.1655 	 3.1655 	 2.3032 	 3.5015 
3	17	 2.4278 	 3.1655 	 2.9336 	 3.3990 	 2.8313 
3	18	 2.7468 	 2.4996 	 3.5847 	 2.4278 	 3.7924 
3	19	 2.4034 	 1.5355 	 3.8387 	 2.1985 	 3.1091 
3	20	 2.6149 	 2.4759 	 2.4996 	 2.1715 	 3.4335 
3	21	 2.6816 	 2.6149 	 3.3816 	 2.3032 	 3.5847 
3	22	 3.5350 	 3.1655 	 3.8387 	 1.7507 	 3.0710 
3	23	 3.3816 	 3.5015 	 3.3816 	 3.1655 	 2.1715 
3	24	 2.9336 	 3.7139 	 3.1655 	 3.7139 	 2.7682 
3	25	 2.7682 	 3.8387 	 3.4335 	 3.1655 	 2.4996 
3	26	 3.0710 	 2.1715 	 3.1091 	 2.4996 	 2.4034 
3	27	 2.3032 	 2.9336 	 2.6149 	 1.7507 	 2.4278 
3	28	 2.4996 	 2.9536 	 2.1985 	 2.4759 	 3.7924 
3	29	 3.9148 	 2.6816 	 3.6498 	 1.7167 	 3.4335 
3	30	 2.4996 	 3.0710 	 3.0710 	 3.0710 	 4.1770 
4	1	 3.7924 	 2.6149 	 3.8387 	 3.1091 	 3.5015 
4	2	 4.1345 	 3.1091 	 2.7468 	 2.1985 	 2.0601 
4	3	 1.7507 	 2.0885 	 1.7167 	 2.0885 	 3.5015 
4	4	 2.6816 	 3.1655 	 3.2573 	 2.4278 	 2.0885 
4	5	 2.3032 	 2.8313 	 2.0601 	 2.4034 	 2.8313 
4	6	 3.3990 	 2.0601 	 2.4278 	 3.6980 	 3.5015 
4	7	 3.8845 	 2.3032 	 2.4996 	 3.1091 	 2.9536 
4	8	 3.1655 	 2.0885 	 2.4996 	 2.6149 	 2.0601 
4	9	 3.4506 	 2.6816 	 2.0601 	 3.1091 	 2.0601 
4	10	 2.7682 	 3.4335 	 2.4034 	 4.5808 	 2.3032 
4	11	 2.4996 	 2.0601 	 3.0901 	 2.4034 	 2.0885 
4	12	 2.4996 	 2.7468 	 2.4278 	 3.1655 	 4.3021 
4	13	 1.8490 	 2.3032 	 2.0601 	 2.1715 	 2.4278 
4	14	 3.1655 	 2.8313 	 2.6149 	 2.9536 	 2.1985 
4	15	 3.0901 	 2.4759 	 2.8313 	 4.2470 	 2.4278 
4	16	 2.4034 	 3.2391 	 2.8313 	 2.7468 	 2.0885 
4	17	 3.6980 	 3.2573 	 2.1715 	 2.8313 	 2.4278 
4	18	 4.4767 	 2.0601 	 2.4996 	 3.1655 	 2.0885 
4	19	 2.7682 	 1.8490 	 2.4996 	 2.6149 	 2.0601 
4	20	 2.1715 	 1.5355 	 2.6149 	 2.3032 	 2.6149 
4	21	 1.9423 	 1.7507 	 3.1655 	 3.3990 	 2.7468 
4	22	 2.3032 	 2.6816 	 2.0885 	 2.0885 	 2.7468 
4	23	 2.1985 	 2.1985 	 2.4278 	 2.0020 	 2.7682 
4	24	 2.1715 	 2.3032 	 1.7167 	 3.0901 	 3.0901 
4	25	 2.4034 	 2.7682 	 2.4034 	 2.0601 	 1.8490 
