## Experimento conduzido por Fabio Raphael Pascoti Bruhn
## (http://lattes.cnpq.br/6027763770110766), acadêmico de Mestrado em
## Ciências Veterinárias  da UFLA (2010-2012).
##
## Os dados são da avaliação do ganho de peso de vacas da raça holandesa
## holandesa dividas em grupos para cada um dos 5 tratamentos de endo e
## exo parasitas. O experimento foi repetido 3 vezes, sendo 2 nas
## estações de seca e 1 uma na estação das chuvas. As vacas avaliadas
## não são as mesmas quando muda a estação. Elas pesadas em intervalos
## aproximados de 30 dias após o início da estação.  Os tratamentos
## foram: ivermectina 1% (genérico) (T1); sulfóxido de albendazol 10%
## (T2); abamectina 1% (T3); doramectina 1% (T4) e ivermectina 1%
## (referência) (T5). Os diferentes tratamentos foram escolhidos por
## serem comumente aplicados por pecuaristas na região. Quanto às
## ivermectinas (uma "genérica" e outra "referência"), optou-se por
## duas, por possuírem preços de mercado completamente diferentes
## (R$0,062 e R$0,292/mL, respectivamente). Aplicou-se 1 mL do produto
## para cada 50 kg de peso vivo, para todos os tratamentos, exceto no
## tratamento 2, que foi 1 mL para cada 40 kg de peso vivo. Ocorreram
## duas aplicações dos medicamentos durante o período experimental,
## sendo uma no primeiro dia e a outra 90 dias após. Dentro de cada
## estação trata-se de um experimento inteiramente casualizado com
## unidades experimentais (vacas) avaliadas ao longo do tempo
## (longitudinal/medidas repetidas).
##
vaca	peso	helmintico	mes	dias	estacao
656	200	ivermectina genérico 1%	5	0	seca1
660	190.9	ivermectina genérico 1%	5	0	seca1
666	150	ivermectina genérico 1%	5	0	seca1
675	134	ivermectina genérico 1%	5	0	seca1
688	128	ivermectina genérico 1%	5	0	seca1
697	98	ivermectina genérico 1%	5	0	seca1
681	118.8	ivermectina genérico 1%	5	0	seca1
656	229.2	ivermectina genérico 1%	6	32	seca1
660	222.8	ivermectina genérico 1%	6	32	seca1
666	180	ivermectina genérico 1%	6	32	seca1
675	150	ivermectina genérico 1%	6	32	seca1
688	145.2	ivermectina genérico 1%	6	32	seca1
697	107.4	ivermectina genérico 1%	6	32	seca1
681	134.2	ivermectina genérico 1%	6	32	seca1
656	260.6	ivermectina genérico 1%	7	63	seca1
660	254.2	ivermectina genérico 1%	7	63	seca1
666	207.2	ivermectina genérico 1%	7	63	seca1
675	177.2	ivermectina genérico 1%	7	63	seca1
697	128.4	ivermectina genérico 1%	7	63	seca1
681	167.2	ivermectina genérico 1%	7	63	seca1
656	274	ivermectina genérico 1%	8	94	seca1
660	276.2	ivermectina genérico 1%	8	94	seca1
666	228	ivermectina genérico 1%	8	94	seca1
675	184	ivermectina genérico 1%	8	94	seca1
688	186.2	ivermectina genérico 1%	8	94	seca1
697	150	ivermectina genérico 1%	8	94	seca1
681	186	ivermectina genérico 1%	8	94	seca1
656	294.4	ivermectina genérico 1%	9	123	seca1
660	298.4	ivermectina genérico 1%	9	123	seca1
666	252.1	ivermectina genérico 1%	9	123	seca1
675	220.8	ivermectina genérico 1%	9	123	seca1
688	220	ivermectina genérico 1%	9	123	seca1
697	177	ivermectina genérico 1%	9	123	seca1
681	211.4	ivermectina genérico 1%	9	123	seca1
657	181.7	sulfóxido de albendazol 10%	5	0	seca1
662	157	sulfóxido de albendazol 10%	5	0	seca1
671	153	sulfóxido de albendazol 10%	5	0	seca1
