sis	ges	prof	blo	Al	MO	pH_KCl	pH_CaCl	pH_H2O	Ca	Mg	H_Al	S	S_geisa	P	K	SB	CTC	SAT
PD	G_0	5	1	0.0	60.4	5.2	5.5	6.0	69.9	32.3	45	8.2	7.9	19	4.8	107.0	152.0	70
PD	G_0	5	2	0.0	42.4	5.6	5.7	6.4	77.3	30.3	29	2.8	10.7	17	4.7	112.3	141.3	79
PD	G_0	5	3	0.0	51.7	6.4	6.1	7.0	91.4	28.6	18	3.8	12.7	22	8	128.0	146.0	88
PD	G_0	5	4	0.0	52.4	4.2	4.3	5.0	79.4	30.4	30	4.9	8.8	16	6.9	116.7	146.7	80
PD	G_0	10	1	0.0	31.7	6.7	6.2	7.2	89.2	36.0	16	7.2	7.1	9	1.7	126.9	142.9	89
PD	G_0	10	2	0.0	39.9	6.2	6.3	7.1	86.9	32.6	19	2.7	8.9	4	2.3	121.8	140.8	87
PD	G_0	10	3	0.0	32.3	6.6	6.5	7.4	95.5	26.0	16	7.2	9.0	8	3.3	124.8	140.8	89
PD	G_0	10	4	0.0	40.7	3.9	4.0	4.6	90.5	31.0	17	2.7	11.2	8	2	123.5	140.5	88
PD	G_0	15	1	0.0	28.7	6.2	6.2	7.2	76.6	28.3	20	6.6	6.7	4	0.9	105.8	125.8	84
PD	G_0	15	2	0.0	31	5.3	5.8	6.4	57.7	19.6	34	7.8	13.1	2	1.2	78.5	112.5	70
PD	G_0	15	3	0.0	27.9	5.7	6.2	6.8	74.6	17.0	28	10.7	9.9	4	1.7	93.3	121.3	77
PD	G_0	15	4	0.0	32	4.0	4.0	4.5	69.6	21.4	27	17.9	12.9	1	1.3	92.3	119.3	77
PD	G_0	20	1	11.0	21.7	4.1	4.4	4.8	20.6	8.0	76	17.4	44.8	2	0.6	29.2	105.2	28
PD	G_0	20	2	11.6	24.1	4.2	4.5	5.0	22.0	8.0	76	40.6	20.5	1	0.7	30.7	106.7	29
PD	G_0	20	3	12.3	26	4.1	4.4	4.8	27.9	6.7	85	40.4	23.3	1	0.8	35.4	120.4	29
PD	G_0	20	4	11.6	25.9	4.0	4.1	4.5	20.7	4.7	79	32.8	10.6	2	1	26.4	105.4	25
PD	G_0	25	1	23.0	21.1	4.2	4.4	4.9	12.3	2.0	107	4.0	14.9	1	0.4	14.7	121.7	12
PD	G_0	25	2	21.4	20.9	4.1	4.3	4.7	10.7	2.0	105	5.1	8.5	1	0.5	13.2	118.2	11
PD	G_0	25	3	20.2	21.5	4.0	4.3	4.7	15.4	1.2	105	2.4	11.3	1	0.5	17.1	122.1	14
PD	G_0	25	4	20.8	22.2	4.1	4.1	4.6	10.7	2.3	111	2.6	8.6	1	0.8	13.8	124.8	11
PD	G_1	5	1	0.0	38.7	5.2	5.3	5.0	60.6	25.6	36	9.0	9.3	30	12	98.2	134.2	73
PD	G_1	5	2	0.0	40	5.3	5.4	6.1	76.2	31.0	38	1.2	11.0	30	11	118.2	156.2	76
PD	G_1	5	3	0.0	42.4	5.9	5.8	6.7	78.0	22.6	24	2.0	12.9	36	13.6	114.2	138.2	83
PD	G_1	5	4	0.0	39.4	4.7	4.8	5.4	71.6	18.0	32	1.3	9.1	26	11.3	100.9	132.9	76
PD	G_1	10	1	0.0	31.7	5.7	5.8	6.5	72.6	25.3	29	12.4	9.6	5	3.9	101.8	130.8	78
PD	G_1	10	2	0.0	36.9	6.9	6.6	7.3	113.9	32.0	16	13.3	12.5	7	4.3	150.2	166.2	90
PD	G_1	10	3	0.0	27.9	5.6	5.9	6.5	71.2	17.0	28	5.8	17.0	4	4.8	93.0	121.0	77
PD	G_1	10	4	0.0	33.9	4.1	4.3	4.7	85.4	24.7	25	21.8	15.4	3	4.3	114.4	139.4	82
PD	G_1	15	1	0.0	25.2	4.3	4.7	5.0	32.0	8.0	18	21.6	29.9	2	1.1	41.1	59.1	70
PD	G_1	15	2	0.0	29.3	6.2	6.5	7.1	77.3	9.5	20	3.3	10.3	2	2.2	89.0	109.0	82
PD	G_1	15	3	0.0	25.3	5.8	6.1	6.7	65.2	12.7	24	3.8	14.2	1	3.1	81.0	105.0	77
PD	G_1	15	4	0.0	28.4	4.0	4.1	4.5	58.3	5.7	12	10.3	34.2	1	1.3	65.3	77.0	85
PD	G_1	20	1	14.7	22.3	4.1	4.3	4.7	20.0	7.3	85	27.1	43.3	2	0.7	28.0	113.0	25
PD	G_1	20	2	14.9	25.8	4.4	4.9	5.1	36.3	12.0	58	54.2	47.7	1	1	49.3	107.3	46
PD	G_1	20	3	9.2	22.2	4.2	5.6	4.8	23.3	8.0	65	76.3	75.8	1	0.9	32.2	97.2	33
PD	G_1	20	4	20.8	25.3	4.0	4.1	4.5	12.3	7.7	69	52.6	31.6	3	1.3	21.3	90.3	24
PD	G_1	25	1	16.5	19.9	4.1	4.3	4.6	18.0	2.3	89	48.3	75.8	1	0.6	20.9	109.9	19
PD	G_1	25	2	15.3	22.3	4.1	4.4	4.7	23.6	5.0	85	97.0	88.7	1	0.7	29.3	114.3	26
PD	G_1	25	3	11.6	19.6	4.2	4.5	4.8	21.3	6.3	69	177.8	99.3	1	0.6	28.2	97.2	29
PD	G_1	25	4	19.6	20.3	4.1	4.1	4.5	17.0	3.0	81	107.0	15.5	1	0.7	20.7	101.7	20
PC	G_0	5	1	0.0	35.8	5.4	5.3	6.0	63.9	27.0	34	8.1	8.8	34	9.5	100.4	134.4	75
PC	G_0	5	2	0.0	30.5	5.2	5.6	6.1	60.3	25.6	36	3.4	8.7	26	10.7	96.6	132.6	73
PC	G_0	5	3	0.0	35.5	5.4	5.6	6.3	65.6	29.3	31	2.6	9.4	20	8.7	103.6	134.6	77
PC	G_0	5	4	0.0	37.6	4.8	4.8	5.6	51.3	27.8	55	2.4	11.3	18	11.8	90.9	145.9	62
PC	G_0	10	1	0.0	35.2	5.5	5.7	6.4	69.9	32.3	31	8.8	7.3	19	3.6	105.8	136.8	77
PC	G_0	10	2	0.0	28.2	5.3	5.8	6.2	62.9	30.3	34	3.3	8.6	32	4.2	97.4	131.4	74
PC	G_0	10	3	0.0	34.8	5.4	5.7	6.3	66.6	27.3	33	0.2	11.0	22	4.4	98.3	131.3	75
PC	G_0	10	4	1.2	36.3	4.5	4.7	5.3	51.2	25.0	32	1.1	7.6	15	4.6	80.8	112.8	72
PC	G_0	15	1	0.1	30.5	5.5	5.8	6.4	58.3	29.3	29	1.3	9.0	4	1.8	89.4	118.4	76
PC	G_0	15	2	0.0	32.8	5.3	5.8	6.3	57.6	30.3	31	0.2	9.0	10	1.9	89.8	120.8	74
PC	G_0	15	3	0.0	28.5	5.3	5.7	6.2	61.6	26.6	34	1.1	10.7	4	2	90.2	124.2	73
PC	G_0	15	4	2.5	37.6	4.4	4.7	5.2	47.3	28.3	31	2.6	8.8	4	2.6	78.2	109.2	72
PC	G_0	20	1	12.9	23.5	4.2	4.4	4.8	20.6	7.7	80	48.2	18.9	2	1.1	29.4	109.4	27
PC	G_0	20	2	8.8	22.9	4.6	5.0	5.4	31.6	14.7	73	35.7	18.6	2	0.8	47.1	120.1	39
PC	G_0	20	3	9.2	22.8	4.2	4.5	4.8	23.0	9.3	76	40.0	25.3	1	0.8	33.1	109.1	30
PC	G_0	20	4	4.3	30.2	4.4	4.6	4.9	32.6	14.0	65	18.9	10.3	1	1.2	47.8	112.8	42
PC	G_0	25	1	17.9	21.1	4.1	4.2	4.5	12.3	2.0	99	8.0	8.5	2	0.6	14.9	113.9	13
PC	G_0	25	2	16.5	19.9	4.2	4.4	4.9	15.3	4.3	85	16.9	13.6	2	0.8	20.4	105.4	19
PC	G_0	25	3	17.2	20.9	4.1	4.3	4.9	12.3	6.0	94	22.2	14.5	1	0.5	18.8	112.8	17
PC	G_0	25	4	15.3	25.3	4.1	4.2	4.5	10.7	4.0	94	20.7	18.3	1	0.7	15.4	109.4	14
PC	G_1	5	1	0.0	35.8	5.2	5.3	6.0	62.6	27.0	40	0.8	8.5	25	10.1	99.7	139.7	71
PC	G_1	5	2	0.0	34	4.2	5.3	6.0	74.6	26.3	36	0.3	10.5	32	8.5	109.4	145.4	75
PC	G_1	5	3	0.0	37.4	5.1	5.3	5.9	65.2	22.0	40	0.4	7.5	13	7.9	95.1	135.1	70
PC	G_1	5	4	0.0	43.1	4.9	5.3	5.8	60.6	25.0	47	1.6	9.0	19	10	95.6	142.6	67
PC	G_1	10	1	0.0	36.4	5.2	5.5	6.1	65.0	25.6	40	0.2	8.4	16	4.1	94.7	134.7	70
PC	G_1	10	2	0.0	35.8	5.2	5.5	6.1	72.2	28.0	38	0.4	9.1	12	3.8	104.0	142.0	73
PC	G_1	10	3	0.0	32.9	5.2	5.5	6.0	66.6	21.3	36	1.4	9.5	9	4.9	92.8	128.8	72
PC	G_1	10	4	0.6	38.6	4.6	5.0	5.4	57.9	18.0	53	0.6	8.7	10	2.5	78.4	131.4	60
PC	G_1	15	1	0.0	28.7	5.5	5.7	6.4	66.3	28.6	31	0.9	8.5	5	2.8	97.7	128.7	76
PC	G_1	15	2	0.0	32.3	5.2	5.5	6.1	68.3	27.3	38	1.2	10.6	3	1.7	97.3	135.3	72
PC	G_1	15	3	0.0	30.4	5.1	4.5	6.0	61.7	20.6	38	2.7	9.1	5	1.4	83.7	121.7	69
PC	G_1	15	4	1.2	33.3	4.5	4.8	5.2	50.0	25.0	35	1.6	15.9	3	1.4	76.4	111.4	69
PC	G_1	20	1	7.4	22.3	4.3	4.6	4.9	27.3	9.0	65	133.7	44.9	4	1.2	37.5	102.5	37
PC	G_1	20	2	12.3	25.8	4.1	4.4	4.8	27.7	10.3	89	44.5	24.0	2	0.8	38.8	127.8	30
PC	G_1	20	3	12.3	23.4	4.2	4.5	4.7	23.3	9.0	76	11.5	47.5	5	0.5	32.8	108.8	30
PC	G_1	20	4	14.7	25.3	4.1	4.2	4.6	21.3	9.0	62	23.7	73.9	1	0.8	31.1	93.1	33
PC	G_1	25	1	15.9	17.6	4.1	4.4	4.7	21.0	6.3	76	188.3	99.4	2	0.6	27.9	103.9	27
PC	G_1	25	2	19.6	20.5	4.0	4.1	4.6	21.9	7.7	88	73.5	44.8	2	0.6	30.2	118.2	26
PC	G_1	25	3	12.3	19.6	4.1	4.4	4.6	18.7	4.3	94	19.4	92.8	1	0.7	23.7	117.7	20
PC	G_1	25	4	12.9	22.8	4.1	4.2	4.6	19.9	4.7	94	93.8	86.9	1	0.6	25.2	119.2	21
