## Experimento conduzido por Antonio Ariel Canedo Rivera
## (http://lattes.cnpq.br/2963994727678120), aluno de mestrado da UFLA
## (2009).
##
## Experimento sob tipos de armazenamentos de sementes de milho doce.
## Avaliou a influencia de diferentes doses de giberelina, na umidade de
## sementes de milho doce durante o armazenamento, de acordo com os
## tipos de embalagem e tamanhos de sementes durante o
## armazenamento. Sementes de dois tipos de peneira foram armazenadas
## com diferentes doses de giberelina em embalagens à vácuo e permeáveis
## sob temperaturas de 10C e 25C. Depois de armazenadas, as sementes
## foram avaliadas 0, 30, 60, 120 240 dias após o armazenamento e a o
## número de sementes de cada tipo, de um total de 50, foi
## registrado. Foram usadas 4 repetições.
##
## embalagem: tipo de embalagem para sementes, embaladas à vácuo ou em
##            embalagens permeáveis;
## peneira: tipo de peneira para separar sementes de milho, redonda ou
##          chata;
## temperat: temperatura de armazenamento, 10ºC e temperatura ambiente
##           na UBS do Laboratório de Análise de Sementes do DAG/UFLA;
## giberelina: tratamento com giberelina nas concentrações de 0, 10, e
##             20 mg/L;
## armaz: avaliações antes do armazenamento e após 30, 60, 120 e 240
##        dias;
## rept: unidade experimental;
## defeit: sementes anormais defeituosas;
## infect: sementes anormais infectadas;.
## mortas: sementes mortas;
## normais: sementes normais (a soma destas 4 respostas é igual à 50).
##
embalagem	peneira	temperat	giberelina	armaz	rept	defeit	infect	mortas	normais
permeavel	chata	10	0	0	1	0	2	3	45
permeavel	chata	10	0	0	2	1	2	2	45
permeavel	chata	10	0	0	3	4	2	5	39
permeavel	chata	10	0	0	4	2	0	4	44
permeavel	chata	10	0	30	1	1	2	8	39
permeavel	chata	10	0	30	2	5	0	3	42
permeavel	chata	10	0	30	3	3	2	5	40
permeavel	chata	10	0	30	4	2	1	5	42
permeavel	chata	10	0	60	1	3	0	6	41
permeavel	chata	10	0	60	2	2	0	4	44
permeavel	chata	10	0	60	3	1	0	5	44
permeavel	chata	10	0	60	4	1	0	6	43
permeavel	chata	10	0	120	1	0	0	5	45
permeavel	chata	10	0	120	2	1	0	4	45
permeavel	chata	10	0	120	3	2	1	4	43
permeavel	chata	10	0	120	4	4	0	2	44
permeavel	chata	10	0	240	1	1	2	9	38
permeavel	chata	10	0	240	2	1	1	1	47
permeavel	chata	10	0	240	3	2	1	3	44
permeavel	chata	10	0	240	4	1	0	6	43
permeavel	chata	10	10	0	1	2	0	11	37
permeavel	chata	10	10	0	2	1	0	5	44
permeavel	chata	10	10	0	3	3	0	10	37
permeavel	chata	10	10	0	4	1	0	8	41
permeavel	chata	10	10	30	1	2	2	4	42
permeavel	chata	10	10	30	2	3	3	12	32
permeavel	chata	10	10	30	3	1	3	4	42
permeavel	chata	10	10	30	4	2	1	9	38
permeavel	chata	10	10	60	1	0	0	5	45
permeavel	chata	10	10	60	2	0	3	10	37
permeavel	chata	10	10	60	3	0	1	9	40
permeavel	chata	10	10	60	4	4	0	6	40
permeavel	chata	10	10	120	1	4	1	8	37
permeavel	chata	10	10	120	2	1	0	10	39
permeavel	chata	10	10	120	3	5	2	5	38
permeavel	chata	10	10	120	4	8	2	8	32
permeavel	chata	10	10	240	1	2	0	4	44
permeavel	chata	10	10	240	2	1	0	10	39
permeavel	chata	10	10	240	3	1	0	6	43
permeavel	chata	10	10	240	4	2	1	5	42
permeavel	chata	10	20	0	1	1	0	9	40
permeavel	chata	10	20	0	2	3	1	4	42
permeavel	chata	10	20	0	3	1	1	7	41
permeavel	chata	10	20	0	4	2	0	12	36
permeavel	chata	10	20	30	1	3	1	8	38
permeavel	chata	10	20	30	2	3	5	6	36
