## Experimento conduzido por Antonio Ariel Canedo Rivera
## (http://lattes.cnpq.br/2963994727678120), aluno de mestrado da UFLA
## (2009).
##
## Experimento sob tipos de armazenamentos de sementes de milho doce.
## Avaliou a influencia de diferentes doses de giberelina, na umidade de
## sementes de milho doce durante o armazenamento, de acordo com os
## tipos de embalagem e tamanhos de sementes durante o
## armazenamento. Sementes de dois tipos de peneira foram armazenadas
## com diferentes doses de giberelina em embalagens à vácuo e permeáveis
## sob temperaturas de 10C e 25C. Depois de armazenadas, as sementes
## foram avaliadas 0, 30, 60, 120 240 dias após o armazenamento e a
## umidade foi registrada. Foram usadas 2 repetições.
##
## embalagem: tipo de embalagem para sementes, embaladas à vácuo ou em
##            embalagens permeáveis;
## peneira: tipo de peneira para separar sementes de milho, redonda ou
##          chata;
## temperat: temperatura de armazenamento, 10ºC e temperatura ambiente
##           na UBS do Laboratório de Análise de Sementes do DAG/UFLA;
## giberelina: tratamento com giberelina nas concentrações de 0, 10, e
##             20 mg/L;
## armaz: avaliações antes do armazenamento e após 30, 60, 120 e 240
##        dias;
## rept: unidade experimental;
## umidade: teor de umidade das sementes (%).
##
embalagem	peneira	temperat	giberelina	armaz	rept	umidade
permeavel	chata	10	0	0	1	13.14
permeavel	chata	10	0	0	2	13.25
permeavel	chata	10	0	30	1	13.07
permeavel	chata	10	0	30	2	12.94
permeavel	chata	10	0	60	1	12.92
permeavel	chata	10	0	60	2	12.82
permeavel	chata	10	0	120	1	12.71
permeavel	chata	10	0	120	2	13.06
permeavel	chata	10	0	240	1	12.56
permeavel	chata	10	0	240	2	12.8
permeavel	chata	10	10	0	1	12.1
permeavel	chata	10	10	0	2	12.15
permeavel	chata	10	10	30	1	13.88
permeavel	chata	10	10	30	2	13.89
permeavel	chata	10	10	60	1	13.52
permeavel	chata	10	10	60	2	13.49
permeavel	chata	10	10	120	1	12.62
permeavel	chata	10	10	120	2	12.82
permeavel	chata	10	10	240	1	12.66
permeavel	chata	10	10	240	2	12.56
permeavel	chata	10	20	0	1	10.88
permeavel	chata	10	20	0	2	10.6
permeavel	chata	10	20	30	1	13.16
permeavel	chata	10	20	30	2	13.27
permeavel	chata	10	20	60	1	12.71
permeavel	chata	10	20	60	2	12.68
permeavel	chata	10	20	120	1	12.52
permeavel	chata	10	20	120	2	12.68
permeavel	chata	10	20	240	1	12.49
permeavel	chata	10	20	240	2	12.49
permeavel	chata	25	0	0	1	13.14
permeavel	chata	25	0	0	2	13.25
permeavel	chata	25	0	30	1	10.63
permeavel	chata	25	0	30	2	10.8
permeavel	chata	25	0	60	1	11.72
permeavel	chata	25	0	60	2	12.02
permeavel	chata	25	0	120	1	12.13
permeavel	chata	25	0	120	2	12.2
permeavel	chata	25	0	240	1	11.88
permeavel	chata	25	0	240	2	11.89
permeavel	chata	25	10	0	1	12.1
permeavel	chata	25	10	0	2	12.15
permeavel	chata	25	10	30	1	10.29
permeavel	chata	25	10	30	2	10.78
permeavel	chata	25	10	60	1	11.51
permeavel	chata	25	10	60	2	11.76
permeavel	chata	25	10	120	1	11.86
permeavel	chata	25	10	120	2	11.86
permeavel	chata	25	10	240	1	11.74
permeavel	chata	25	10	240	2	11.67
permeavel	chata	25	20	0	1	10.88
permeavel	chata	25	20	0	2	10.6
permeavel	chata	25	20	30	1	10.38
