ar	x	y
1	34	2
1	43	4.57
1	52	13.45
1	56	25
2	7	1.5
2	13	1.2
2	21	0.665
2	34	1.7
2	43	5.6
2	52	14.25
2	56	20.875
2	64	40
3	13	0.1
3	21	0.1
3	34	0.1
3	43	3.875
3	52	5.778
3	56	7.667
3	64	21.429
3	73	22.5
3	82	27.5
4	7	1.5
4	13	0.76
4	21	0.836
4	34	2.143
4	43	4.5
4	52	11.5
4	56	17.222
4	64	40
5	13	0.3
5	21	0.5
5	34	1.333
5	43	4.22
5	52	9.4
5	56	17.6
5	64	24.167
6	34	1.125
6	43	4.66
6	52	10.2
6	56	17
6	64	40
7	7	0.08
7	13	0.08
7	21	0.08
7	34	1.016
7	43	4.35
7	52	15.55
7	56	20
8	7	2.067
8	13	2.47
8	21	2.597
8	34	2.5
8	43	6.056
8	52	14.944
8	56	30
9	13	0.08
9	21	0.08
9	34	0.54
9	43	4
9	52	11.1
9	56	14.389
9	64	20
10	7	1
10	13	1.1
10	21	1.75
10	34	2
10	43	4.85
10	52	11.55
10	56	17.778
11	7	0.08
11	13	1.04
11	21	1.333
11	34	2.4
11	43	7.222
11	52	15.944
11	56	20
11	64	30
12	7	0.54
12	13	0.72
12	21	0.887
12	34	1.193
12	43	4.25
12	52	9.8
12	56	12.5
12	64	19
12	73	30
12	82	38.333
13	7	0.29
13	13	0.327
13	21	2.667
13	34	2
13	43	6.056
13	52	15.278
13	56	22.5
13	64	35
14	34	0.5
14	43	3.45
14	52	8.8
14	56	13.562
14	64	18.333
15	7	1.5
15	13	1
15	21	1.3
15	34	1.7
15	43	6.4
15	52	11.35
15	56	17.778
15	64	20.833
15	73	20
15	82	23.333
16	7	0.08
16	13	0.54
16	21	0.54
16	34	0.54
16	43	4.857
16	52	7.167
16	56	10
16	64	25
17	7	0.08
17	13	0.08
17	21	0.29
17	34	1.016
17	43	4.85
17	52	9.1
17	56	14.111
17	64	27.5
17	73	30
17	82	30
18	13	0.09
18	21	0.09
18	34	0.3
18	43	5.97
18	52	11.35
18	56	16
18	64	29
18	73	27.5
18	82	25
19	7	1.65
19	13	1.325
19	21	1.7
19	34	2
19	43	6.1
19	52	13.55
19	56	22
20	43	5.95
20	52	14.35
20	56	27
21	7	0.08
21	13	0.08
21	21	0.08
21	34	0.75
21	43	5.85
21	52	11.75
21	56	11
21	64	35
22	34	4.375
22	43	6.5
22	52	12.75
22	56	21.2
22	64	19.5
22	73	31.667
22	82	33.333
23	21	0.2
23	34	2.556
23	43	6.1
23	52	14.75
23	56	27.5
24	21	0.08
24	34	0.693
24	43	3.667
24	52	8.75
24	56	14.2
24	64	17
24	73	21.25
24	82	23.75
25	21	0.75
25	34	0.75
25	43	5.8
25	52	12.2
25	56	20.5
25	64	27.5
25	73	30
25	82	30
26	7	0.08
26	13	0.08
26	21	1.072
26	34	1.68
26	43	5.722
26	52	13.722
26	56	20
27	7	0.08
27	13	0.14
27	21	0.19
27	34	2.083
27	43	5.944
27	52	10.95
27	56	16.111
27	64	16
27	73	31.25
27	82	30
28	7	0.3
28	13	0.467
28	21	0.616
28	34	1.8
28	43	4
28	52	6.608
28	56	11.333
28	64	9.667
28	73	13.333
28	82	12.5
29	21	0.7
29	34	1.489
29	43	5.1
29	52	15.1
29	56	25
29	64	40
30	13	0.2
30	21	0.3
30	34	1.02
30	43	4
30	52	9.9
30	56	14.88
30	64	21.571
