#------------------------------------------------------------------------------------------
# Dados de massa de dimensão de frutos de goaiaba em função dos dias após a antese
# amostras são destrutivas e portanto não é um estudo longitudinal
# daa: período após antese (dias)
# coleta: índice da coleta
# rep: índice do fruto na coleta
# long: comprimento longitudinal (mm)
# trans: comprimento transversal (mm)
# peso: peso do fruto em gramas
# volume:  volume do fruto (?unidade)
# dados Elaine Cristina Cabrini, Pós Graduação - UFV
#------------------------------------------------------------------------------------------
daa	coleta	rep	long	trans 	peso	volume
13	1	1	29.15	20.54	6.66	6
13	1	2	32.94	22.76	8.51	9
13	1	3	36.34	22.93	9.93	11
13	1	4	34.68	22.72	9.14	10
13	1	5	33.31	21.36	7.6	7
13	1	6	33.35	20.86	7.54	8
13	1	7	30.28	20.45	6.27	6
13	1	8	35.53	23.74	9.94	9
13	1	9	34.5	21.69	7.95	8
13	1	10	32.99	20.97	7.79	8
13	1	11	33.63	23.14	9.05	10
13	1	12	33.47	21.6	8.06	9
13	1	13	33.43	22.61	8.73	9
13	1	14	35.26	23.28	9.74	9
13	1	15	33.6	21.67	8.09	8
28	2	1	38.8	26.13	14.77	15
28	2	2	34.32	24.8	11.03	11
28	2	3	34.67	26.1	12.98	13
28	2	4	38.12	28.26	15.51	15
28	2	5	39.01	27.67	15.29	14
28	2	6	31.36	25.68	10.23	11
28	2	7	31.1	23.23	8.34	8
28	2	8	40.02	27.17	15.26	15
28	2	9	38.84	27.97	15.38	15
28	2	10	36.81	22.89	9.79	10
28	2	11	36.2	22.66	9.57	10
28	2	12	35.65	26.74	13.09	12
28	2	13	35.42	24.45	10.49	10
28	2	14	38.88	25.9	12.55	13
28	2	15	38.69	25.65	12.52	13
42	3	1	46.94	31.21	22.7	24
42	3	2	39.72	29.07	16.87	17
42	3	3	42.19	29.82	17.98	19
42	3	4	47.55	32.13	24.19	23
42	3	5	39.11	26.78	13.2	12
42	3	6	38.31	27.3	13.76	15
42	3	7	47.54	33.05	25.3	26
42	3	8	43.88	28.44	19.58	20
42	3	9	37.67	27.49	13.86	14
42	3	10	43.88	30.34	19.73	20
42	3	11	42.15	29.6	17.95	19
42	3	12	44.44	30.76	19.91	21
42	3	13	40.46	28.46	17.18	17
42	3	14	38.88	28.9	17.57	16
42	3	15	41.63	29.84	19.31	19
59	4	1	46.68	34	28.69	60
59	4	2	46.15	32.43	24.56	50
59	4	3	43.35	31.93	20.81	40
59	4	4	46.05	33.36	26.29	50
59	4	5	47.87	37	33.98	65
59	4	6	43.18	31.46	21.15	40
59	4	7	42.32	31.96	22.52	45
59	4	8	44.29	33.74	25.79	55
59	4	9	45.86	33.75	26.21	55
59	4	10	44.99	32.19	23.39	50
59	4	11	44.3	30.74	20.5	45
59	4	12	48.68	35.14	31.13	65
59	4	13	42.49	31.64	22.3	45
59	4	14	43.06	32.15	23.82	50
59	4	15	44.99	33.64	24.52	50
73	5	1	60.58	44.39	59.32	55
73	5	2	48.21	35.83	26.8	25
73	5	3	51.86	36.94	36.05	35
73	5	4	51.47	36.21	33.62	40
73	5	5	49.57	36.22	31.55	30
73	5	6	56.62	37.92	39.57	45
73	5	7	57.55	42.6	53.21	50
73	5	8	50.81	36.74	33.72	30
73	5	9	51.1	36.15	31.74	30
73	5	10	46.08	32.51	23.34	20
73	5	11	51.47	39.91	39.05	30
73	5	12	51.11	39.67	38.66	40
73	5	13	53.83	36.79	35.54	30
73	5	14	51.45	38.15	37.9	40
73	5	15	53.31	34.66	32.11	35
88	6	1	54.23	41.83	49.76	NA
88	6	2	52.92	40.42	43.21	NA
88	6	3	56.84	42.86	53.24	NA
88	6	4	61.64	45.18	63.79	NA
88	6	5	57.48	39.57	45.47	NA
88	6	6	55.9	39.56	43.03	NA
88	6	7	60.45	44.93	60.38	NA
88	6	8	53.18	38.19	38.83	NA
88	6	9	61.56	44.44	62.31	NA
88	6	10	71.31	50.16	91.28	NA
