## Dados de resposabilidade de Alexandre Bryan Heinemann, pesquisador
## da Embrapa Arroz e Feijão. Experimento para avaliação de cultivares de
## arroz foi instaldo em delineamento de blocos casualizados para avaliar o
## efeito do espaçamento de cultivo nos componentes de produção das
## cultivares. O experimento foi repetido tem 3 locais sendo que em um
## deles fez-se em dois anos, perfazendo 4 repetições do experimento.
## 
## local: indica o local de condução do ensaio.
## ano: indica o ano de condução do ensaio.
## parc: indica a parcela dentro do ensaio.
## bl: indica o bloco dentro do ensaio.
## cult: indica a cultivar de arroz.
## esp: espaçamento de cultivo (m).
## rend: rendimento de grãos (kg ha^{-1}).
## ester: esterelidade (%).
## npan: número (médio) de panículas.
## p100: peso de 100 grãos (g).
## local2: é a concatenação de local com ano.
## ng_pan: número de grãos por panícula.
## As demais variáveis são ambientais e não medidas ao nível das
## parcelas. Os valores são os mesmos para todas as parcelas de uma mesma
## cultivar:local:ano, ou seja, não mudam de bloco para bloco.
##
local	ano	parc	bl	cult	esp	rend	ester	npan	p100	ng_pan	prect	precv	precr	gdet	gdev	gder	rad	txdesv	tdesr	local2
1	2009	102	1	C	0.45	935	11.23	295.6	NA	124.475	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	104	1	C	0.35	928	26.74	325.7	2.8	87.7	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	109	1	C	0.55	1928	33.54	329.1	2.6	118.875	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	112	1	C	0.25	1795	34.66	480	2.7	75.375	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	202	2	C	0.45	861	11.82	304.4	3.5	154.8	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	206	2	C	0.35	1499	35.69	371.4	3.3	102.625	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	209	2	C	0.55	1653	31.45	220	NA	99.925	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	210	2	C	0.25	1821	45.47	292	2.9	71.525	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	301	3	C	0.45	1784	27.26	344.4	3.5	124.075	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	305	3	C	0.35	2272	26.48	437.1	2	67.325	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	309	3	C	0.55	1716	25.34	289.1	2.8	103.8	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	311	3	C	0.25	1579	49.36	416	NA	100.225	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	401	4	C	0.45	1864	32.57	300	2.8	117.525	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	405	4	C	0.35	1434	46.21	225.7	2.7	80.875	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	407	4	C	0.55	1156	23.95	258.2	2.9	111.775	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	410	4	C	0.25	1576	NA	376	NA	90.05	811	569.2	127.8	1897	968	437	2112	0.000671403	0.000800336	CNPAF09
1	2009	103	1	D	0.45	698	43.34	NA	3.8	127.075	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	105	1	D	0.35	3423	NA	262.9	3.4	102.825	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	107	1	D	0.55	2235	27.23	223.6	3.9	119.55	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	110	1	D	0.25	2459	35.38	324	4.4	105.225	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	201	2	D	0.45	1378	15.61	173.3	4	139.825	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	205	2	D	0.35	3025	50.21	177.1	3	60.25	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	207	2	D	0.55	4108	NA	180	3.8	81.25	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
1	2009	211	2	D	0.25	3275	40.26	NA	4.4	128.05	794	515	128.4	1780	744	510	1999	0.000893106	0.000684981	CNPAF09
