local	gen	trat	bl	df	dm	aca	ap	avag	rend	p100
CPAO-DDOS	BRS 284	1	1	34	101	1	91	13	2443.70	11.18
CPAO-DDOS	BRS 284	1	2	35	98	2	98	16	2737.01	11.27
CPAO-DDOS	BRS 284	1	3	35	99	1	96	15	2948.24	11.20
CPAO-DDOS	BRS 285	2	1	44	102	1	105	15	2397.80	10.15
CPAO-DDOS	BRS 285	2	2	44	104	1	95	12	2579.07	11.20
CPAO-DDOS	BRS 285	2	3	44	105	1	91	13	.	10.11
CPAO-DDOS	Vmax	3	1	36	97	1	81	14	3184.05	14.32
CPAO-DDOS	Vmax	3	2	36	98	1	87	16	3388.69	14.29
CPAO-DDOS	Vmax	3	3	36	99	1	84	14	3049.36	14.39
CPAO-DDOS	BRS 239	4	1	37	98	1	75	14	3082.66	11.27
CPAO-DDOS	BRS 239	4	2	38	99	1	75	12	3368.28	13.27
CPAO-DDOS	BRS 239	4	3	39	98	1	74	15	2568.17	12.19
CPAO-DDOS	CD 202	5	1	38	98	1	79	15	2934.48	12.25
CPAO-DDOS	CD 202	5	2	40	97	1	80	18	2342.84	10.26
CPAO-DDOS	CD 202	5	3	40	98	1	87	13	3269.20	13.34
CPAO-DDOS	Embrapa 48	6	1	42	100	1	74	13	2873.92	10.22
CPAO-DDOS	Embrapa 48	6	2	40	99	1	68	18	2932.32	11.28
CPAO-DDOS	Embrapa 48	6	3	39	100	1	72	17	2673.87	11.29
CPAO-DDOS	BRS 282	7	1	42	101	1	70	12	3135.76	10.26
CPAO-DDOS	BRS 282	7	2	41	99	1	85	13	3458.93	11.24
CPAO-DDOS	BRS 282	7	3	40	99	1	71	15	2850.30	10.25
CPAO-DDOS	BRS 268	8	1	42	103	1	95	10	3055.34	12.11
CPAO-DDOS	BRS 268	8	2	44	99	1	86	15	2641.45	11.24
CPAO-DDOS	BRS 268	8	3	41	104	1	97	10	2983.93	14.21
CPAO-DDOS	BRS 243 RR	9	1	43	102	1	88	10	2686.49	11.21
CPAO-DDOS	BRS 243 RR	9	2	43	103	1	80	10	2572.14	11.23
CPAO-DDOS	BRS 243 RR	9	3	43	106	1	80	15	2939.05	12.19
CPAO-DDOS	BRS 291 RR	10	1	42	99	1	80	15	2677.67	13.30
CPAO-DDOS	BRS 291 RR	10	2	41	103	1	75	10	2685.52	13.22
CPAO-DDOS	BRS 291 RR	10	3	40	101	1	85	18	2273.57	13.33
