#-----------------------------------------------------------------------
# Tabela de dados extraída do site <http://www.inmet.gov.br/portal/index.php?r=clima/graficosClimaticos>.
#
# A tabela contém dados mensais para as Normais Climatológicas do Brasil
# de 1961-1990 da variável Insolação Total (horas). Dados extraídos dia
# 2019-11-30.
#
# Leitura no R com:
# url <- "http://leg.ufpr.br/~walmes/data/inmet-insolacao-total.txt"
# tb <- read.table(url,
#                  header = TRUE,
#                  comment = "#",
#                  sep = "\t",
#                  dec = ",",
#                  na.strings = "-",
#                  stringsAsFactors = FALSE)
#-----------------------------------------------------------------------
Código 	Nome da Estação	UF	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Ano
82704	Cruzeiro do Sul	AC	78,5	60,5	63,0	73,3	97,9	135,5	165,1	135,1	108,6	123,6	104,0	84,6	1229,7
82915	Rio Branco	AC	96,0	85,7	118,1	124,3	147,2	170,5	215,0	185,5	154,5	146,6	141,9	115,4	1700,7
82807	Tarauacá	AC	95,0	75,3	93,0	99,0	131,7	151,2	175,5	168,3	148,6	143,9	124,0	112,9	1518,4
82994	Maceió	AL	254,2	225,7	203,0	196,8	191,8	178,6	176,0	205,2	204,6	252,4	274,7	264,2	2627,2
82113	Barcelos	AM	163,4	141,9	138,8	134,5	140,9	139,1	171,6	190,9	166,1	169,1	161,4	151,6	1869,3
82410	Benjamin Constant	AM	103,3	98,0	111,6	110,0	115,4	129,8	142,0	156,8	139,6	144,3	116,7	104,7	1472,2
82418	Carauari	AM	112,9	100,3	87,0	112,5	126,3	149,6	172,6	167,2	148,4	136,3	117,5	-	-
82425	Coari	AM	136,2	123,2	134,4	132,7	160,3	180,9	203,2	219,8	195,7	171,5	147,3	141,1	1946,3
82326	Codajás	AM	122,0	88,5	101,6	114,9	132,7	163,9	199,8	205,7	174,7	151,1	134,4	126,4	1715,7
82212	Fonte Boa	AM	140,1	127,7	123,3	114,7	131,3	132,3	151,1	169,9	165,3	162,6	151,0	134,0	1703,3
82067	Iauaretê	AM	125,3	111,7	109,6	107,3	107,9	106,6	121,4	132,3	132,2	137,6	130,5	126,0	1448,4
82336	Itacoatiara	AM	91,6	82,2	85,7	98,1	123,7	152,9	180,9	187,2	163,6	136,2	121,1	109,0	1532,2
82723	Lábrea	AM	89,9	84,9	87,2	104,7	127,0	180,4	200,5	151,2	120,1	123,5	108,8	89,4	1467,6
82331	Manaus	AM	114,3	87,7	98,5	111,9	148,6	184,8	214,2	225,0	200,5	171,2	140,9	130,9	1828,5
82533	Manicoré	AM	108,6	91,7	107,8	119,9	135,1	184,8	220,9	205,7	164,3	147,1	135,4	109,4	1730,7
82240	Parintins	AM	145,4	110,8	121,9	137,0	163,5	195,6	227,5	255,8	253,8	230,8	196,7	169,1	2207,9
82106	S. G. da Cachoeira(Uaupés)	AM	154,4	133,1	134,7	120,2	133,5	119,5	136,9	141,7	163,6	157,2	151,9	149,3	1696,0
82108	Santa Izabel do Rio Negro	AM	159,9	134,2	130,1	115,3	115,9	116,0	148,8	169,0	156,9	171,0	157,5	170,6	1745,2
82317	Tefé	AM	148,0	117,7	131,1	127,2	140,7	153,6	183,5	204,5	184,4	165,3	155,7	143,4	1855,1
82093*	Cupixi	AP	123,7	88,4	75,6	94,0	109,7	131,8	174,7	213,5	215,0	248,4	212,7	159,7	1847,2
82098	Macapá	AP	147,3	110,1	109,2	114,8	152,0	190,1	227,1	271,4	272,5	282,4	252,9	205,4	2335,2
82095	Porto Platon	AP	117,2	104,2	98,7	100,7	125,8	161,2	202,7	226,9	237,7	245,4	199,2	162,7	1982,4
83236	Barreiras	BA	199,9	186,7	206,1	212,8	253,4	255,3	280,7	286,2	243,9	213,9	188,6	192,1	2719,6
83288	Bom Jesus da Lapa	BA	209,0	220,7	235,5	230,9	265,5	256,8	274,2	278,6	240,5	214,9	190,7	192,4	2809,7
83339	Caetité	BA	211,5	212,1	225,6	199,8	224,5	212,0	229,9	253,5	230,9	206,9	174,8	190,4	2571,9
83498	Caravelas	BA	242,2	220,8	230,4	198,9	204,8	180,1	193,0	210,7	183,4	181,7	173,1	211,6	2430,7
83348	Ilhéus	BA	220,2	215,6	235,9	203,4	199,8	191,3	197,7	210,8	198,5	199,5	190,2	220,2	2483,1
83182*	Irecê	BA	248,5	208,8	232,7	227,9	241,0	236,2	259,8	285,7	263,1	246,4	214,7	237,0	2901,8
83244	Itaberaba	BA	197,7	181,3	205,0	177,0	160,3	148,1	153,5	168,6	155,9	169,0	156,2	179,3	2051,9
83295	Itiruçu (Jaguaquara)	BA	171,1	167,7	163,1	150,4	147,8	128,7	128,1	160,1	144,3	149,4	133,5	170,6	1814,8
83242	Lençóis	BA	183,1	164,8	183,3	158,0	149,6	144,4	160,6	173,8	159,6	149,8	141,9	155,4	1924,3
83090	Monte Santo	BA	211,1	182,7	193,0	171,8	160,0	132,5	140,0	186,1	187,5	213,3	205,9	223,5	2207,2
82986	Paulo Afonso	BA	260,1	227,8	228,6	213,0	194,5	171,2	181,0	212,6	226,0	274,0	271,8	249,6	2710,2
