agregado	familia	cinza	bloco	rept	data	altura
4 a 10	F29	0	1	1	2012/02/24	6.0
4 a 10	F29	0	1	2	2012/02/24	6.5
4 a 10	F29	0	2	1	2012/02/24	4.5
4 a 10	F29	0	2	2	2012/02/24	4.0
4 a 10	F29	0	3	1	2012/02/24	4.5
4 a 10	F29	0	3	2	2012/02/24	4.5
4 a 10	F29	1.5	1	1	2012/02/24	8.0
4 a 10	F29	1.5	1	2	2012/02/24	7.2
4 a 10	F29	1.5	2	1	2012/02/24	6.0
4 a 10	F29	1.5	2	2	2012/02/24	7.4
4 a 10	F29	1.5	3	1	2012/02/24	6.0
4 a 10	F29	1.5	3	2	2012/02/24	7.5
4 a 10	F29	3	1	1	2012/02/24	4.2
4 a 10	F29	3	1	2	2012/02/24	5.5
4 a 10	F29	3	2	1	2012/02/24	6.0
4 a 10	F29	3	2	2	2012/02/24	6.5
4 a 10	F29	3	3	1	2012/02/24	2.5
4 a 10	F29	3	3	2	2012/02/24	5.1
4 a 10	F29	6	1	1	2012/02/24	9.6
4 a 10	F29	6	1	2	2012/02/24	7.5
4 a 10	F29	6	2	1	2012/02/24	6.6
4 a 10	F29	6	2	2	2012/02/24	5.8
4 a 10	F29	6	3	1	2012/02/24	6.9
4 a 10	F29	6	3	2	2012/02/24	8.0
4 a 10	F29	12	1	1	2012/02/24	6.3
4 a 10	F29	12	1	2	2012/02/24	6.5
4 a 10	F29	12	2	1	2012/02/24	3.4
4 a 10	F29	12	2	2	2012/02/24	5.9
4 a 10	F29	12	3	1	2012/02/24	5.0
4 a 10	F29	12	3	2	2012/02/24	3.5
4 a 10	F29	24	1	1	2012/02/24	7.0
4 a 10	F29	24	1	2	2012/02/24	7.5
4 a 10	F29	24	2	1	2012/02/24	7.5
4 a 10	F29	24	2	2	2012/02/24	8.4
4 a 10	F29	24	3	1	2012/02/24	7.5
4 a 10	F29	24	3	2	2012/02/24	7.5
4 a 10	F29	48	1	1	2012/02/24	5.0
4 a 10	F29	48	1	2	2012/02/24	6.0
4 a 10	F29	48	2	1	2012/02/24	4.1
4 a 10	F29	48	2	2	2012/02/24	3.0
4 a 10	F29	48	3	1	2012/02/24	3.7
