## Experimento de responsabilidade de Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774) que avaliou o nível de cinza
## para compor substratos para mudas de maracujazeiro também com solo
## composto de agregados de diferentes tamanhos e cultivados com duas
## famílias da espécie. O experimento foi feito em blocos (3) e o
## arranjo experimental de fatorial triplo. Variáveis de parte aérea e
## solos foram observadas conforme descrição abaixo.
##
## agreg  : fator de 2 níveis, classe de tamanho dos agragados;
## fam    : fator de 2 níveis, família do maracujá;
## cinz   : fator de 7 níveis, aplicação de cinza (ton ha^{-1});
## bloc   : blocos experimentais;
## mfpa   : massa fresca de parte aérea (g);
## mspa   : massa seca de parte aérea (g);
## ds     : densidade do solo (mg m^{-3});
## agua   : consumo de água durante o ciclo por vaso (1 planta) mL;
## phh2o  : pH do solo (em água);
## phkcl  : pH do solo em KCl;
## pcz    : ponto de carga zero;
## P      : Fósforo;
## K      : Potássio;
## CaMg   : cálcio mais magnésio;
## Ca     : cálcio;
## Mg     : magnésio;
## Hal    : hidrogênio mais alumínio;
## mo     : matéria orgânica;
## sb     : soma de bases;
## ctc7   : ctc em pH 7;
## ctcefet: ctc efetiva;
## V      : saturação por bases
##
agreg	fam	cinz	bloc	mfpa	mspa	ds	agua	phh2o	phkcl	pcz	P	K	CaMg	Ca	Mg	Hal	mo	sb	ctc7	ctcefet	V
[4,10]	F29	0	1	43.5	11.1	1.24	6470	6.60	4.50	2.40	87.98	57.99	4.90	3.80	1.1	3.6	0.8	5.05	8.67	5.05	58.26
[4,10]	F29	0	2	31.82	8.24	1.23	9446	6.50	5.10	3.70	64.62	78.37	4.90	3.90	1.0	3.3	0.9	5.10	8.42	5.10	60.58
[4,10]	F29	0	3	36.37	9.04	1.27	8468	6.70	5.30	3.90	145.95	68.11	5.50	3.80	1.7	3.6	0.7	5.67	9.27	5.67	61.18
[4,10]	F29	1.5	1	28.04	6.25	1.27	8550	6.40	4.60	2.80	68.44	40.75	6.30	5.20	1.1	3.2	0.9	6.40	9.64	6.40	66.43
[4,10]	F29	1.5	2	52.21	13.12	1.01	5679	6.50	5.10	3.70	63.50	56.09	6.30	4.10	2.2	3.3	0.9	6.44	9.76	6.44	66.00
[4,10]	F29	1.5	3	38.92	9.3	1.26	7657	6.70	5.30	3.90	78.62	76.92	5.30	3.60	1.7	3.6	0.9	5.50	9.10	5.50	60.43
[4,10]	F29	3	1	42.3	9.52	1.24	5801	6.40	4.70	3.00	76.84	77.59	5.50	4.30	1.2	4.5	0.9	5.70	10.22	5.70	55.78
[4,10]	F29	3	2	39.3	9.42	1.24	6298	6.60	5.10	3.60	89.19	67.31	5.50	4.20	1.3	3.3	1.1	5.67	8.97	5.67	63.22
[4,10]	F29	3	3	20.13	4.13	1.25	6754	6.60	5.30	4.00	76.05	84.94	5.70	3.80	1.9	3.7	1.1	5.92	9.62	5.92	61.53
[4,10]	F29	6	1	30.02	6.98	1.20	5644	6.70	4.80	2.90	48.91	54.08	5.90	4.90	1.0	4.0	1.0	6.04	10.08	6.04	59.90
[4,10]	F29	6	2	48.67	11.86	1.24	7330	6.60	5.10	3.60	75.00	61.70	5.90	3.90	2.0	3.3	1.1	6.06	9.36	6.06	64.74
[4,10]	F29	6	3	32.85	8.52	1.24	9256	6.70	5.30	3.90	59.61	66.51	4.90	3.20	1.7	3.7	0.8	5.07	8.77	5.07	57.81
[4,10]	F29	12	1	65.12	12.97	1.20	4795	6.60	4.90	3.20	63.80	41.54	6.20	5.20	1.0	4.0	0.7	6.31	10.35	6.31	60.94
[4,10]	F29	12	2	39.11	8.4	1.20	7896	6.50	4.70	2.90	87.16	62.50	6.20	4.60	1.6	3.3	1.3	6.36	9.66	6.36	65.84
[4,10]	F29	12	3	18.85	4.5	1.14	8080	6.60	5.30	4.00	90.96	116.19	4.70	2.90	1.8	3.9	1.0	5.00	8.90	5.00	56.17
[4,10]	F29	24	1	44.9	8.6	1.17	6934	6.70	4.90	3.10	97.40	82.29	6.50	5.30	1.2	3.6	0.9	6.71	10.33	6.71	64.98
[4,10]	F29	24	2	35.5	8.82	1.14	6709	6.40	4.90	3.40	52.70	67.31	6.50	4.00	2.5	3.3	1.2	6.67	9.97	6.67	66.91
[4,10]	F29	24	3	41.55	10.1	1.17	8612	6.50	5.30	4.10	88.39	113.78	5.60	3.10	2.5	3.9	1.5	5.89	9.79	5.89	60.17
[4,10]	F29	48	1	55.45	13.44	1.07	7113	6.60	4.90	3.20	55.26	69.75	5.80	4.90	0.9	3.6	1.1	5.98	9.60	5.98	62.30
[4,10]	F29	48	2	16.92	3.44	0.99	10595	6.50	5.00	3.50	77.03	88.94	5.80	3.80	2.0	3.3	1.4	6.03	9.33	6.03	64.62
[4,10]	F29	48	3	21.36	4.56	1.10	9150	6.60	5.30	4.00	96.09	173.08	5.10	3.60	1.5	3.9	2.0	5.54	9.44	5.54	58.70
[4,10]	F48	0	1	38.75	9.62	1.33	8990	6.60	4.90	3.20	113.52	88.56	4.90	4.10	0.8	3.2	1.0	5.13	8.36	5.13	61.30
[4,10]	F48	0	2	43.41	7.05	1.21	6205	6.60	5.00	3.40	44.59	48.88	4.90	3.60	1.3	3.2	1.2	5.03	8.23	5.03	61.10
[4,10]	F48	0	3	20.54	4.44	1.27	9823	6.60	5.30	4.00	80.68	105.77	5.40	4.20	1.2	3.9	1.2	5.67	9.57	5.67	59.25
