## Experimento de responsabilidade de Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774) que avaliou o nível de cinza
## para compor substratos para mudas de maracujazeiro também com solo
## composto de agregados de diferentes tamanhos e cultivados com duas
## famílias da espécie. O experimento foi feito em blocos (3) e o
## arranjo experimental de fatorial triplo com duas repetições por
## bloco. Variáveis de parte aérea foram observadas conforme descrição
## abaixo.
##
## agreg  : fator de 2 níveis, classe de tamanho dos agragados;
## fam    : fator de 2 níveis, família do maracujá;
## cinz   : fator de 7 níveis, aplicação de cinza (ton ha^{-1});
## bloc   : blocos experimentais;
## rept   : unidade experimental dentro do bloco;
## mfpa   : massa fresca de parte aérea (g);
## mspa   : massa seca de parte aérea (g);
## ds     : densidade do solo (mg m^{-3});
## cav    : consumo de água durante o ciclo por vaso (1 planta) mL;
##
agreg	fam	cinz	bloc	rept	mfpa	mspa	ds	cav
[4,10]	F29	0	1	1	43.5	11.10	1.24	6470.00
[4,10]	F29	0	1	2	43.7	11.13	1.25	7260.00
[4,10]	F29	0	2	1	31.82	8.24	1.23	9446.00
[4,10]	F29	0	2	2	23.4	5.39	1.23	9046.00
[4,10]	F29	0	3	1	36.37	9.04	1.27	8468.00
[4,10]	F29	0	3	2	35.64	9.36	1.18	8524.00
[4,10]	F29	1.5	1	1	28.04	6.25	1.27	8550.00
[4,10]	F29	1.5	1	2	36.01	8.09	1.28	6958.00
[4,10]	F29	1.5	2	1	52.21	13.12	1.01	5679.00
[4,10]	F29	1.5	2	2	53.58	13.60	1.19	4668.00
[4,10]	F29	1.5	3	1	38.92	9.30	1.26	7657.00
[4,10]	F29	1.5	3	2	27.94	6.84	1.26	8026.00
[4,10]	F29	3	1	1	42.3	9.52	1.24	5801.00
[4,10]	F29	3	1	2	38.26	9.25	1.19	7532.00
[4,10]	F29	3	2	1	39.3	9.42	1.24	6298.00
[4,10]	F29	3	2	2	31.6	7.57	1.25	8082.00
[4,10]	F29	3	3	1	20.13	4.13	1.25	6754.00
[4,10]	F29	3	3	2	41.76	10.99	1.20	7108.00
[4,10]	F29	6	1	1	30.02	6.98	1.20	5644.00
[4,10]	F29	6	1	2	44.85	10.95	1.13	6639.00
[4,10]	F29	6	2	1	48.67	11.86	1.24	7330.00
[4,10]	F29	6	2	2	42.89	9.36	1.18	6162.00
[4,10]	F29	6	3	1	32.85	8.52	1.24	9256.00
[4,10]	F29	6	3	2	25.02	6.36	1.28	9996.00
[4,10]	F29	12	1	1	65.12	12.97	1.20	4795.00
[4,10]	F29	12	1	2	27.51	11.43	1.19	4418.00
[4,10]	F29	12	2	1	39.11	8.40	1.20	7896.00
[4,10]	F29	12	2	2	47.08	12.19	1.14	7565.00
[4,10]	F29	12	3	1	18.85	4.5	1.14	8080.00
[4,10]	F29	12	3	2	27.47	6.46	1.21	8322.00
[4,10]	F29	24	1	1	44.9	8.60	1.17	6934.00
[4,10]	F29	24	1	2	54.77	12.03	1.20	6244.00
[4,10]	F29	24	2	1	35.5	8.82	1.14	6709.00
[4,10]	F29	24	2	2	47.53	10.96	1.15	5708.00
[4,10]	F29	24	3	1	41.55	10.10	1.17	8612.00
[4,10]	F29	24	3	2	36.65	8.91	1.14	10166.00
[4,10]	F29	48	1	1	55.45	13.44	1.07	7113.00
[4,10]	F29	48	1	2	36.8	9.06	1.05	8953.00
[4,10]	F29	48	2	1	16.92	3.44	0.99	10595.00
[4,10]	F29	48	2	2	25.43	5.44	1.13	8818.00
[4,10]	F29	48	3	1	21.36	4.56	1.10	9150.00
[4,10]	F29	48	3	2	20.3	4.79	1.14	8870.00
[4,10]	F48	0	1	1	38.75	9.62	1.33	8990.00
[4,10]	F48	0	1	2	36.7	9.14	1.16	8636.00
[4,10]	F48	0	2	1	43.41	7.05	1.21	6205.00
[4,10]	F48	0	2	2	30.59	11.03	1.28	6495.00
[4,10]	F48	0	3	1	20.54	4.44	1.27	9823.00
[4,10]	F48	0	3	2	23.66	4.95	1.26	7839.00
[4,10]	F48	1.5	1	1	25.85	5.15	1.22	8429.00
[4,10]	F48	1.5	1	2	34.52	8.48	1.15	10341.00
[4,10]	F48	1.5	2	1	27.84	6.46	1.14	6543.00
[4,10]	F48	1.5	2	2	20.75	5.46	1.10	7580.00
[4,10]	F48	1.5	3	1	24.45	6.46	1.14	8110.00
[4,10]	F48	1.5	3	2	48.94	12.42	1.14	7682.00
[4,10]	F48	3	1	1	40.43	9.19	1.21	9758.00
[4,10]	F48	3	1	2	39.04	8.94	1.18	9352.00
[4,10]	F48	3	2	1	38.09	10.05	1.20	7558.00
[4,10]	F48	3	2	2	41.14	9.74	1.19	7955.00
[4,10]	F48	3	3	1	21.5	5.91	1.24	9526.00
[4,10]	F48	3	3	2	28.98	7.27	1.30	9155.00
[4,10]	F48	6	1	1	21.52	5.06	1.04	8242.00
[4,10]	F48	6	1	2	49.85	12.74	1.13	7256.00
[4,10]	F48	6	2	1	41.67	9.10	1.14	7592.00
[4,10]	F48	6	2	2	39.74	9.15	1.11	8768.00
[4,10]	F48	6	3	1	33.4	7.05	1.10	8396.00
[4,10]	F48	6	3	2	24.91	5.82	1.09	10189.00
[4,10]	F48	12	1	1	38.22	8.25	1.10	9861.00
[4,10]	F48	12	1	2	38.22	8.72	1.10	9626.00
[4,10]	F48	12	2	1	45.46	12.26	1.09	8832.00
[4,10]	F48	12	2	2	35.25	9.51	1.13	9089.00
[4,10]	F48	12	3	1	30.44	13.94	1.31	8658.00
[4,10]	F48	12	3	2	16.58	7.59	1.23	9880.00
[4,10]	F48	24	1	1	49.71	9.49	0.99	6559.00
[4,10]	F48	24	1	2	67.55	14.13	0.99	6486.00
[4,10]	F48	24	2	1	33.58	7.47	1.01	7651.00
[4,10]	F48	24	2	2	46.24	10.95	1.02	8256.00
[4,10]	F48	24	3	1	34.89	7.19	1.09	7858.00
[4,10]	F48	24	3	2	17.83	3.33	1.09	10729.00
[4,10]	F48	48	1	1	54.87	12.23	1.06	7148.00
[4,10]	F48	48	1	2	50.85	11.72	1.01	7100.00
[4,10]	F48	48	2	1	38.79	8.86	1.01	8795.00
[4,10]	F48	48	2	2	56.71	12.54	0.94	7497.00
[4,10]	F48	48	3	1	29.51	6.57	1.07	8170.00
[4,10]	F48	48	3	2	27.08	6.17	1.05	10370.00
[0,2]	F29	0	1	1	30.18	8.38	1.185635835	7792
[0,2]	F29	0	1	2	34.32	9.68	1.27	9264.00
[0,2]	F29	0	2	1	34.54	7.11	1.24	3827.00
[0,2]	F29	0	2	2	59.97	12.53	1.32	5175.00
[0,2]	F29	0	3	1	36.3	9.28	1.22	5444.00
[0,2]	F29	0	3	2	11.02	2.82	1.28	6990.00
[0,2]	F29	1.5	1	1	44.91	11.50	1.18	7228.00
[0,2]	F29	1.5	1	2	27.51	6.71	1.12	7490.00
[0,2]	F29	1.5	2	1	30.33	7.38	1.21	6700.00
[0,2]	F29	1.5	2	2	53.48	12.46	1.33	5137.00
[0,2]	F29	1.5	3	1	47.92	10.92	1.22	5485.00
[0,2]	F29	1.5	3	2	41.56	10.33	1.24	5866.00
[0,2]	F29	3	1	1	26.93	6.75	1.27	7508.00
[0,2]	F29	3	1	2	11.4	2.50	1.33	6585.00
[0,2]	F29	3	2	1	45.04	12.26	1.23	5410.00
[0,2]	F29	3	2	2	46.34	10.38	1.33	4973.00
[0,2]	F29	3	3	1	47.25	9.06	1.36	4922.00
[0,2]	F29	3	3	2	41.4	10.30	1.33	5616.00
[0,2]	F29	6	1	1	57.56	12.43	1.13	5066.00
[0,2]	F29	6	1	2	49.28	10.59	1.14	4381.00
[0,2]	F29	6	2	1	56.85	12.01	1.13	4900.00
