## Experimento de Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774) que avaliou o efeito de
## susbtrato, tipo de recipiente para variedades de maracujá nos
## atributos químicos do solo. Foi instalado em blocos com fatores
## completamente cruzados em esquema fatorial triplo. O experimento foi
## conduzido por 60 dias e no final dados de parte aérea e químicos
## foram determinados.
##
variedade	recipiente	substrato	bloco	phh2o	P	K	Ca	Mg	mo	Sb	ctcph7	ctcefet	v	m
IAC 277	grande	Cama de Frango	1	6.4	141.2	304.8	13.3	1.7	3.2	15.8	17.4	15.8	90.5	0
IAC 277	grande	Cama de Frango	2	6.7	62.2	91.3	8.7	2.1	3	11	12.4	11	89.2	0
IAC 277	grande	Cama de Frango	3	6.6	119.4	303.6	8.2	3.2	3.4	12.2	13.7	12.2	89.1	0
IAC 277	grande	Solo NPK	1	5.5	122.8	292.3	12.7	1.4	1	14.8	18.9	15.1	78.6	2
IAC 277	grande	Solo NPK	2	5.9	111.4	579.4	8.6	1.1	1.5	11.2	14.1	11.2	79.4	0
IAC 277	grande	Solo NPK	3	5.9	142.5	592.6	9.5	1.1	1.6	12.1	14.7	12.3	82.4	1.6
IAC 277	grande	Plantmax	1	5.5	40.6	153.4	9.4	2.6	0	12.4	21.2	12.6	58.5	1.6
IAC 277	grande	Plantmax	2	5.7	71	95.2	8.3	2.7	0	11.2	19.1	11.3	58.8	0.9
IAC 277	grande	Plantmax	3	5.7	57.5	133.6	5.7	3.9	0	9.9	17	10	58.5	1
IAC 277	pequeno	Cama de Frango	1	7.2	140.4	160	4.8	1.1	3.4	6.3	7.5	6.3	84.1	
IAC 277	pequeno	Cama de Frango	2	6.8	103.4	115.2	6.2	4.2	2.8	10.7	11.9	10.7	90	0
IAC 277	pequeno	Cama de Frango	3	6.6	75.5	200	6.8	1.4	2.7	8.7	10	9	86.7	3.3
IAC 277	pequeno	Solo NPK	1	5.8	161	518.1	5.6	1.9	1.9	8.8	11.7	8.9	75.3	1.1
IAC 277	pequeno	Solo NPK	2	5.8	97.2	200	4.9	3.2	0	8.6	11.5	8.8	74.8	2.3
IAC 277	pequeno	Solo NPK	3	5.7	96.7	377.1	9.3	2	1.7	12.3	15.2	12.3	80.9	0
IAC 277	pequeno	Plantmax	1	5.4	66.4	208.6	5.4	2.6	0	8.5	17.3	8.5	49.2	0
IAC 277	pequeno	Plantmax	2	5.3	38.1	183.8	6.4	4.5	0	11.4	19.2	11.4	59.1	0
