#------------------------------------------------------------------------------------------
# dados metereológicos da estação da Embrapa Agropecuária Oeste, Dourados - MS
# temp - Temperatura média(ºC)
# tmax - temperatura máxima(ºC)
# htmax - Hora da temperatura máxima
# tmin - Temperatura mínima(ºC)
# htmin - Hora da temperatura mínima
# urel - Umidade relativa(%)
# urmax - Umidade relativa máxima(%)
# hurma - Hora umidade relativa máxima
# urmin - Umidade relativa mínima(%)
# hurmin - Hora umidade relativa mínima
# vento2 - Velocidade do vento a 2 m(m/s)
# precipt- Chuva(mm)
# dpv - Direção predominante do vento
#------------------------------------------------------------------------------------------
DATA	TEMP	TMAX	HTMAX	TMIN	HTMIN	UREL	URMAX	HURMA	URMIN	HURMIN	VENTO2	PRECIPT	RADIA	DPV
2009-10-01	21.3	30.2	1317	15.9	2355	74	91	251	52	1333	1.77	0.0	12.9	SE
2009-10-02	21.4	30.4	1553	14.0	327	61	80	2358	40	1548	1.08	0.0	14.2	SE
2009-10-03	25.8	34.6	1441	15.4	418	62	91	423	35	1448	0.92	0.0	14.3	NE
2009-10-04	29.0	36.1	1431	21.6	537	60	88	544	33	1505	1.75	0.0	14.7	NE
2009-10-05	29.1	36.1	1354	22.8	528	58	84	538	34	1258	3.05	0.0	15.1	N
2009-10-06	26.2	35.1	1258	19.9	2341	70	97	0	39	1400	2.68	2.0	12.9	N
2009-10-07	21.9	26.0	1456	19.7	430	86	98	32	64	1453	1.19	1.0	4.0	SW
2009-10-08	23.0	28.6	1352	19.0	346	82	99	355	56	1614	1.28	0.0	12.1	S
2009-10-09	23.3	29.6	1457	19.0	56	75	99	122	48	1446	1.16	0.0	13.1	E
2009-10-10	24.0	30.8	1446	17.5	526	66	91	528	41	1434	2.08	0.0	16.1	NE
2009-10-11	28.1	36.2	1411	20.0	520	61	82	525	40	1412	3.51	0.0	14.0	N
2009-10-12	19.6	28.3	4	15.6	548	83	98	537	59	1544	1.94	36.3	7.8	S
2009-10-13	22.0	29.6	1536	13.0	503	72	100	519	42	1538	0.91	0.0	16.6	NE
2009-10-14	27.7	34.8	1345	20.6	318	69	95	357	43	1346	2.57	0.0	15.2	N
2009-10-15	23.8	26.7	153	20.3	2354	86	100	1020	72	152	1.88	12.9	8.4	NE
2009-10-16	22.8	28.6	1353	19.8	331	90	99	337	71	1353	1.21	3.3	8.1	E
2009-10-17	23.8	31.4	1219	21.2	2259	92	100	1902	65	1201	1.19	42.2	10.4	NE
2009-10-18	24.3	28.8	1406	20.8	658	90	100	234	70	1450	1.29	0.3	9.7	NE
2009-10-19	21.1	24.3	128	19.7	1741	98	100	657	88	141	1.45	117.1	0.5	NE
2009-10-20	22.5	27.2	1523	18.5	521	89	100	0	68	1431	0.80	0.3	10.1	E
2009-10-21	26.3	33.7	1531	21.1	2144	79	96	422	49	1510	1.90	0.0	15.5	N
2009-10-22	24.0	30.1	1359	19.2	217	93	100	0	82	1454	1.96	13.6	10.8	S
2009-10-23	27.0	36.3	1434	20.1	232	72	95	529	40	1453	1.32	0.0	15.8	N
2009-10-24	25.5	34.9	1322	20.0	1858	79	97	2357	43	1323	2.37	4.1	11.7	E
2009-10-25	23.0	26.2	1112	19.3	216	90	100	340	72	1059	0.70	8.6	5.1	E
2009-10-26	24.7	28.9	1233	22.4	2347	90	100	0	70	1211	0.87	0.0	8.0	E
2009-10-27	27.9	31.4	1326	24.2	2358	72	93	757	57	1329	1.68	0.0	10.7	NE
2009-10-28	25.6	31.4	1437	20.7	458	74	89	505	53	1429	1.32	0.0	14.7	NE
2009-10-29	26.1	33.0	1444	20.4	502	68	93	519	38	1548	0.97	0.0	15.5	NE
2009-10-30	28.7	34.3	1434	18.2	443	52	74	2323	24	1504	1.27	0.0	15.6	NE
2009-10-31	27.2	34.2	1506	17.8	500	61	93	527	33	1155	1.09	0.0	15.5	NE
