trat	K	Na	Naplus	BJ	rep	dc
Na 0	1	0	0	0	1	3.9
Na 0	1	0	0	0	2	3.6
Na 0	1	0	0	0	3	3.3
Na 0	1	0	0	0	4	3.0
Na 2	0.67	0.33	0	0	1	3.6
Na 2	0.67	0.33	0	0	2	3.4
Na 2	0.67	0.33	0	0	3	4.4
Na 2	0.67	0.33	0	0	4	3.3
Na 3	0.5	0.5	0	0	1	3.9
Na 3	0.5	0.5	0	0	2	4.3
Na 3	0.5	0.5	0	0	3	3.4
Na 3	0.5	0.5	0	0	4	3.2
Na 4	0.33	0.67	0	0	1	3.7
Na 4	0.33	0.67	0	0	2	2.9
Na 4	0.33	0.67	0	0	3	3.5
Na 4	0.33	0.67	0	0	4	4.0
Na 6	0	1	0	0	1	2.2
Na 6	0	1	0	0	2	2.4
Na 6	0	1	0	0	3	3.7
Na 6	0	1	0	0	4	2.9
Na	0	0	1	0	1	3.5
Na	0	0	1	0	2	4.0
Na	0	0	1	0	3	4.9
Na	0	0	1	0	4	4.3
BJ	0	0	0	1	1	4.5
BJ	0	0	0	1	2	3.4
BJ	0	0	0	1	3	4.0
BJ	0	0	0	1	4	2.9
BJ	0	0	0	1	5	3.3
BJ	0	0	0	1	6	3.7
