mortes	galpao	idade	asper	itgu	ctr	h
5	C1	21	C	81.8	729.8	19.5
12	C1	22	C	79.1	645.4	18.7
4	C1	23	C	78	642.1	18.3
7	C1	24	C	76.5	616.8	17.8
10	C1	25	C	80.1	666.5	18.6
7	C1	26	C	83.4	701.8	19.6
12	C1	27	C	85.1	640.3	20.4
10	C1	28	C	82.8	709.5	19.6
11	C1	29	C	85.9	749.8	20.1
13	C1	30	C	86.4	662.7	20.6
21	C1	31	C	84.2	758.2	19.9
19	C1	32	C	80.4	710	18.8
23	C1	33	C	81.2	706.7	18.8
17	C1	34	C	80.4	718.7	18.9
22	C1	35	C	79.7	685.2	18.7
24	C1	36	C	79	667.7	18.5
20	C1	37	C	76.2	650.3	17.6
34	C1	38	C	79.5	671	18.7
30	C1	39	C	80.9	718	19.1
7	C2	21	C	81.8	729.8	19.5
9	C2	22	C	79.1	645.4	18.7
6	C2	23	C	78	642.1	18.3
9	C2	24	C	76.5	616.8	17.8
10	C2	25	C	80.1	666.5	18.6
9	C2	26	C	83.4	701.8	19.6
11	C2	27	C	85.1	640.3	20.4
12	C2	28	C	82.8	709.5	19.6
13	C2	29	C	85.9	749.8	20.1
16	C2	30	C	86.4	662.7	20.6
19	C2	31	C	84.2	758.2	19.9
22	C2	32	C	80.4	710	18.8
30	C2	33	C	81.2	706.7	18.8
28	C2	34	C	80.4	718.7	18.9
31	C2	35	C	79.7	685.2	18.7
36	C2	36	C	79	667.7	18.5
34	C2	37	C	76.2	650.3	17.6
43	C2	38	C	79.5	671	18.7
39	C2	39	C	80.9	718	19.1
9	C3	21	C	81.8	729.8	19.5
7	C3	22	C	79.1	645.4	18.7
8	C3	23	C	78	642.1	18.3
11	C3	24	C	76.5	616.8	17.8
10	C3	25	C	80.1	666.5	18.6
11	C3	26	C	83.4	701.8	19.6
10	C3	27	C	85.1	640.3	20.4
14	C3	28	C	82.8	709.5	19.6
14	C3	29	C	85.9	749.8	20.1
19	C3	30	C	86.4	662.7	20.6
18	C3	31	C	84.2	758.2	19.9
24	C3	32	C	80.4	710	18.8
37	C3	33	C	81.2	706.7	18.8
39	C3	34	C	80.4	718.7	18.9
40	C3	35	C	79.7	685.2	18.7
48	C3	36	C	79	667.7	18.5
48	C3	37	C	76.2	650.3	17.6
53	C3	38	C	79.5	671	18.7
47	C3	39	C	80.9	718	19.1
7	C1	21	S	81.8	729.8	19.5
9	C1	22	S	79.1	645.4	18.7
4	C1	23	S	78	642.1	18.3
4	C1	24	S	76.5	616.8	17.8
8	C1	25	S	80.1	666.5	18.6
4	C1	26	S	83.4	701.8	19.6
5	C1	27	S	85.1	640.3	20.4
11	C1	28	S	82.8	709.5	19.6
15	C1	29	S	85.9	749.8	20.1
26	C1	30	S	86.4	662.7	20.6
24	C1	31	S	84.2	758.2	19.9
25	C1	32	S	80.4	710	18.8
31	C1	33	S	81.2	706.7	18.8
45	C1	34	S	80.4	718.7	18.9
62	C1	35	S	79.7	685.2	18.7
76	C1	37	S	76.2	650.3	17.6
140	C1	39	S	80.9	718	19.1
10	C2	21	S	81.8	729.8	19.5
7	C2	22	S	79.1	645.4	18.7
4	C2	23	S	78	642.1	18.3
4	C2	24	S	76.5	616.8	17.8
6	C2	25	S	80.1	666.5	18.6
5	C2	26	S	83.4	701.8	19.6
7	C2	27	S	85.1	640.3	20.4
13	C2	28	S	82.8	709.5	19.6
21	C2	29	S	85.9	749.8	20.1
33	C2	30	S	86.4	662.7	20.6
29	C2	31	S	84.2	758.2	19.9
26	C2	32	S	80.4	710	18.8
34	C2	33	S	81.2	706.7	18.8
51	C2	34	S	80.4	718.7	18.9
47	C2	35	S	79.7	685.2	18.7
88	C2	36	S	79	667.7	18.5
67	C2	37	S	76.2	650.3	17.6
120	C2	38	S	79.5	671	18.7
111	C2	39	S	80.9	718	19.1
6	C3	22	S	79.1	645.4	18.7
5	C3	23	S	78	642.1	18.3
5	C3	24	S	76.5	616.8	17.8
4	C3	25	S	80.1	666.5	18.6
6	C3	26	S	83.4	701.8	19.6
8	C3	27	S	85.1	640.3	20.4
15	C3	28	S	82.8	709.5	19.6
27	C3	29	S	85.9	749.8	20.1
34	C3	31	S	84.2	758.2	19.9
27	C3	32	S	80.4	710	18.8
36	C3	33	S	81.2	706.7	18.8
32	C3	35	S	79.7	685.2	18.7
62	C3	36	S	79	667.7	18.5
58	C3	37	S	76.2	650.3	17.6
54	C3	38	S	79.5	671	18.7
83	C3	39	S	80.9	718	19.1
