## Experimento feito por Andersol Miguel da Silva graduação em Agronomia
## na UFGD (2007).
##
## O experimento consistiu em avaliar a distribuição de ninfas de mosca
## (Bemisia tabaci) branca como função do período de exposição à alta
## infestação da praga (dias), to terço da planta avaliado. O número de
## ninfas por terço foi contado (nin1ter até nin3ter) e o número de ovos
## no primeiro terço.  Plantas foram expostas à alta infestação por dias
## de 1 à 5 e avaliadas 8 vezes após removida à alta infestação.  Não
## foram observadas as mesmas folhas em todas as avalições, mas foram os
## terços das mesmas plantas. O delineamento foi inteiramente
## casualizado com 5 repetições por casela. O arranjo experimental foi
## de parcela subdividida com a parcela sendo o período de exposição e a
## subparcela as avaliações em sequência.  As variáveis registradas em
## cada avaliação foram:
## 
## dexp: dias de exposição à alta infestção de mosca branca.
## rept: identifica a unidade experimental dentro do dexp.
## ovos: número de ovos em uma folha do terço superior.
## totnin: total de ninfas na planta, é a soma das outras três colunas.
## nin1ter, nin2ter, nin3ter: número de ninfaz em uma folha do terço 1,
## 2 e 3. 
##
dexp	aval	rept	ovos	totnin	nin1ter	nin2ter	nin3ter
1	1	1	5	14	0	13	1
1	1	2	29	10	6	4	0
1	1	3	12	5	2	3	0
1	1	4	4	3	3	0	0
1	1	5	33	10	3	7	0
2	1	1	31	19	3	14	2
2	1	2	8	17	3	3	11
2	1	3	44	23	2	7	14
2	1	4	21	3	3	0	0
2	1	5	19	9	5	3	1
3	1	1	37	20	2	7	11
3	1	2	18	11	5	6	0
3	1	3	65	7	4	3	0
3	1	4	22	16	2	10	4
3	1	5	25	5	1	3	1
4	1	1	62	23	8	8	7
4	1	2	23	14	4	8	2
4	1	3	64	15	6	7	2
4	1	4	96	28	7	21	0
4	1	5	27	7	4	3	0
5	1	1	41	10	3	7	0
5	1	2	31	23	6	15	2
5	1	3	43	12	4	0	8
5	1	4	24	6	1	0	5
5	1	5	19	4	0	0	4
1	2	1	21	17	1	10	6
1	2	2	39	25	4	7	14
1	2	3	24	10	0	4	6
1	2	4	29	24	5	17	2
1	2	5	4	19	7	11	1
2	2	1	84	7	2	5	0
2	2	2	33	30	22	1	7
2	2	3	9	14	3	11	0
2	2	4	18	14	9	2	3
2	2	5	34	23	6	13	4
3	2	1	2	21	7	6	8
3	2	2	45	14	2	7	5
3	2	3	21	4	1	1	2
3	2	4	11	25	2	20	3
3	2	5	3	12	0	8	4
4	2	1	19	30	9	7	14
4	2	2	5	25	3	9	13
4	2	3	14	9	5	1	3
4	2	4	13	42	18	9	15
4	2	5	25	37	13	16	8
5	2	1	97	31	3	19	9
5	2	2	16	21	4	7	10
5	2	3	14	18	6	8	4
5	2	4	23	14	9	1	4
5	2	5	8	12	0	5	7
1	3	1	84	14	3	4	7
1	3	2	78	13	4	1	8
1	3	3	199	16	0	14	2
1	3	4	42	16	3	1	12
1	3	5	238	23	9	7	7
2	3	1	50	20	15	0	5
2	3	2	189	18	8	1	9
2	3	3	274	37	3	13	21
2	3	4	149	18	9	4	5
2	3	5	208	29	13	3	13
3	3	1	97	14	5	8	1
3	3	2	72	8	4	2	2
3	3	3	74	23	11	7	5
3	3	4	247	22	19	2	1
3	3	5	38	22	5	8	9
4	3	1	329	42	24	11	7
4	3	2	113	25	9	8	8
4	3	3	102	49	13	5	31
4	3	4	42	23	5	11	7
4	3	5	32	26	9	12	5
5	3	1	58	30	6	15	9
5	3	2	62	34	14	9	11
5	3	3	177	84	27	28	29
5	3	4	119	32	17	7	8
5	3	5	131	33	9	16	8
1	4	1	36	28	11	0	17
1	4	2	51	3	3	0	0
1	4	3	63	14	9	5	0
1	4	4	108	29	26	2	1
1	4	5	56	27	18	0	9
2	4	1	26	18	0	2	16
2	4	2	38	4	2	0	2
2	4	3	26	8	3	4	1
2	4	4	74	3	0	0	3
2	4	5	42	23	8	3	12
3	4	1	52	24	6	2	16
3	4	2	26	31	18	10	3
3	4	3	30	27	21	4	2
3	4	4	29	24	4	1	19
3	4	5	41	7	6	1	0
4	4	1	29	7	2	1	4
4	4	2	79	28	18	2	8
4	4	3	43	22	13	3	6
4	4	4	41	12	4	8	0
4	4	5	57	37	32	0	5
5	4	1	32	29	13	4	12
5	4	2	18	11	5	1	5
5	4	3	49	19	0	9	10
5	4	4	21	9	3	2	4
5	4	5	54	22	21	1	0
1	5	1	10	13	4	3	6
1	5	2	13	22	11	10	1
1	5	3	7	14	8	3	3
1	5	4	2	18	7	6	5
1	5	5	14	10	4	3	3
2	5	1	12	8	1	1	6
2	5	2	7	9	3	3	3
2	5	3	5	24	0	4	20
2	5	4	6	57	31	5	21
2	5	5	10	14	12	0	2
3	5	1	8	14	2	7	5
3	5	2	46	44	14	14	16
3	5	3	19	13	11	1	1
3	5	4	13	10	0	2	8
3	5	5	4	21	18	2	1
4	5	1	46	16	7	7	2
4	5	2	14	26	6	5	15
4	5	3	6	7	0	0	7
4	5	4	19	34	27	4	3
4	5	5	19	23	14	3	6
5	5	1	16	24	10	4	10
5	5	2	13	24	6	3	15
5	5	3	18	31	5	11	15
5	5	4	6	3	0	2	1
5	5	5	9	34	9	18	7
1	6	1	8	5	1	1	3
1	6	2	11	13	6	4	3
1	6	3	39	14	2	12	0
1	6	4	79	9	3	3	3
1	6	5	37	22	13	3	6
2	6	1	12	8	1	1	6
2	6	2	7	9	3	3	3
2	6	3	5	24	0	4	20
2	6	4	6	57	31	5	21
2	6	5	10	14	12	0	2
3	6	1	8	14	2	7	5
3	6	2	46	44	14	14	16
3	6	3	19	13	11	1	1
3	6	4	13	10	0	2	8
3	6	5	4	21	18	2	1
4	6	1	79	9	3	5	1
4	6	2	63	26	3	16	7
4	6	3	197	45	32	5	8
4	6	4	54	17	9	5	3
4	6	5	148	28	18	1	9
5	6	1	41	26	4	8	14
5	6	2	32	27	3	15	9
5	6	3	23	33	8	4	21
5	6	4	131	22	8	5	9
5	6	5	19	10	3	6	1
1	7	1	7	21	0	19	2
1	7	2	9	11	3	8	0
1	7	3	13	18	8	9	1
1	7	4	4	10	6	1	3
1	7	5	16	7	6	0	1
2	7	1	4	13	7	3	3
2	7	2	2	9	8	0	1
2	7	3	2	10	0	10	0
2	7	4	3	7	5	0	2
2	7	5	0	7	2	3	2
3	7	1	0	1	0	0	1
3	7	2	5	25	2	13	10
3	7	3	3	40	17	10	13
3	7	4	2	8	8	0	0
3	7	5	0	19	15	2	2
4	7	1	0	10	5	2	3
4	7	2	2	7	3	4	0
4	7	3	0	34	2	2	30
4	7	4	4	20	17	1	2
4	7	5	3	12	2	2	8
5	7	1	0	16	2	12	2
5	7	2	2	12	5	5	2
5	7	3	0	17	9	1	7
5	7	4	3	14	5	4	5
5	7	5	0	21	2	6	13
1	8	1	2	11	4	5	2
1	8	2	1	28	9	1	18
1	8	3	1	12	2	3	7
1	8	4	4	3	0	0	3
1	8	5	2	23	16	1	6
2	8	1	0	4	4	0	0
2	8	2	4	13	0	11	2
2	8	3	3	9	9	0	0
2	8	4	0	4	3	1	0
2	8	5	0	27	13	4	10
3	8	1	0	13	3	8	2
3	8	2	2	18	2	10	6
3	8	3	0	10	8	0	2
3	8	4	3	15	7	7	1
3	8	5	0	25	21	1	3
4	8	1	39	21	12	8	1
4	8	2	0	12	4	2	6
4	8	3	2	18	11	1	6
4	8	4	0	12	7	5	0
4	8	5	7	17	4	0	13
5	8	1	0	14	12	1	1
5	8	2	0	17	10	2	5
5	8	3	0	23	13	6	4
5	8	4	0	30	4	9	17
5	8	5	4	85	79	5	1
