## Experimento feito por Andersol Miguel da Silva graduação em Agronomia
## na UFGD (2007).
##
## O experimento consistiu em avaliar os impactos do período de
## exposição de plantas à alta infestação de Mosca Branca (Bemisia
## tabaci) em componentes de produção do algodão. Plantas foram expostas
## à alta infestação por dias de 0 à 5. O delineamento foi completamente
## casualizado com 5 vasos por período de explosição e duas plantas por
## vaso. Ao final do experimento
## avaliou-se as respostas descritas abaixo, destas apenas o peso de
## capulhos que teve o valor ao nível de parcela, as demais foram
## medidas ao nível de planta.
##
## dexp: dias de exposição à alta infestção de mosca branca.
## vaso: identifica a unidade experimental dentro do dexp, com duas plantas.
## planta: identifica a planta dentro do vaso.
## nestrrep: número de estruturas reprodutivas.
## ncapu: número de capulhos.
## alt: altura de planta (cm).
## nnos: número de nós.
## pesocap: peso dos capulhos das duas plantas.
##
dexp	vaso	planta	nestrrep	ncapu	alt	nnos	pesocap
0	1	1	4	4	70.50	13	25.25
0	1	2	4	4	67.50	14	
0	2	1	3	2	72.00	14	28.49
0	2	2	5	5	70.00	15	
0	3	1	5	5	64.00	15	31.80
0	3	2	5	5	64.50	11	
0	4	1	5	5	67.50	14	32.06
0	4	2	5	5	61.00	11	
0	5	1	4	4	70.00	14	29.84
0	5	2	5	5	70.00	15	
1	1	1	4	3	77.00	17	16.95
1	1	2	2	2	67.00	18	
1	2	1	3	3	74.00	17	26.95
1	2	2	4	4	76.00	15	
1	3	1	5	3	67.00	17	25.71
1	3	2	5	5	70.50	15	
1	4	1	4	4	76.00	16	27.30
1	4	2	4	4	74.50	16	
1	5	1	5	5	69.00	16	33.47
1	5	2	6	6	73.00	16	
2	1	1	6	5	86.50	14	21.19
2	1	2	3	3	78.00	16	
2	2	1	2	1	84.00	21	10.24
2	2	2	3	2	91.50	17	
2	3	1	4	4	69.50	15	23.94
2	3	2	4	3	72.50	15	
2	4	1	4	4	72.50	14	33.75
2	4	2	4	3	70.00	16	
2	5	1	5	5	69.00	15	25.33
2	5	2	4	4	83.00	18	
3	1	1	4	4	77.50	15	27.97
3	1	2	3	3	60.00	12	
3	2	1	6	6	80.00	17	24.75
3	2	2	4	3	61.00	13	
3	3	1	3	3	81.50	15	25.30
3	3	2	3	3	76.50	15	
3	4	1	3	3	81.00	16	24.84
3	4	2	3	3	77.00	17	
3	5	1	2	2	72.00	16	24.12
3	5	2	4	4	80.00	18	
4	1	1	3	3	81.00	14	27.53
4	1	2	5	5	76.50	13	
4	2	1	2	2	86.50	17	14.68
4	2	2	3	3	79.00	16	
4	3	1	4	4	77.00	16	27.36
4	3	2	4	4	87.00	17	
4	4	1	3	2	82.00	16	24.27
4	4	2	5	5	80.50	17	
4	5	1	5	5	91.00	18	32.47
4	5	2	4	4	83.50	14	
5	1	1	4	4	71.00	17	26.39
5	1	2	3	3	71.00	14	
5	2	1	5	5	86.00	15	26.87
5	2	2	3	3	60.50	16	
5	3	1	3	3	88.00	16	24.60
5	3	2	3	3	84.50	17	
5	4	1	6	6	75.00	14	30.68
5	4	2	4	4	92.00	19	
5	5	1	4	4	65.00	15	23.50
5	5	2	3	3	72.00	14	
