DAE	GDE	DSV	MST	CULT
6	108.57	0.08	28.80	C
13	220.39	0.15	43.47	C
20	321.04	0.22	121.61	C
27	428.25	0.30	327.97	C
34	536.65	0.37	551.96	C
41	654.69	0.45	869.95	C
48	769.38	0.53	2034.03	C
55	887.51	0.62	2230.06	C
62	997.79	0.70	4103.21	C
69	1106.02	0.78	5389.19	C
76	1214.32	0.86	6249.44	C
84	1335.02	0.94	8338.26	C
97	1533.32	1.28	13441.76	C
102	1612.46	1.47	15379.56	C
111	1761.58	1.81	17390.10	C
6	108.57	0.09	17.43	P
13	220.39	0.18	46.54	P
20	321.04	0.27	96.51	P
27	428.25	0.35	303.69	P
34	536.65	0.44	562.56	P
41	654.69	0.54	731.55	P
48	769.38	0.64	1498.57	P
55	887.51	0.73	2075.17	P
62	997.79	0.81	3000.24	P
69	1106.02	0.89	5246.55	P
76	1214.32	0.97	5919.10	P
84	1335.02	1.17	9187.52	P
97	1533.32	1.62	10705.21	P
102	1612.00	1.80	12471.58	P
6	109.00	0.10	28.27	D
13	220.00	0.20	57.77	D
20	321.00	0.29	241.67	D
27	428.00	0.39	363.24	D
34	537.00	0.49	844.77	D
41	655.00	0.59	1110.37	D
48	769.00	0.69	2247.40	D
55	888.00	0.77	2758.64	D
62	998.00	0.84	3940.29	D
69	1106.00	0.92	5022.22	D
76	1214.00	0.99	10422.53	D
84	1335.00	1.24	10644.26	D
97	1533.32	1.70	10656.78	D
102	1612.00	1.88	10091.79	D

