trat;bloc;rep;viab;alt;diam;nfol;afol;pff;pfc;pfr;psf;psc;psr
Plantmax;1; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;1; 2;1;9.5;2.42;9;NA;NA;NA;NA;NA;NA;NA
Plantmax;1; 3;1;17.5;4.1;8;167.912;2.58;2.58;4.44;0.84;0.82;1.13
Plantmax;1; 4;1;19;6.09;9;NA;NA;NA;NA;NA;NA;NA
Plantmax;1; 5;1;21;8.48;10;NA;NA;NA;NA;NA;NA;NA
Plantmax;1; 6;1;21;5.72;13;NA;NA;NA;NA;NA;NA;NA
Plantmax;1; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;1; 8;1;8;1.68;7;67.348;0.8;0.46;1.08;0.26;0.1;0.2
Plantmax;1; 9;1;15;4.26;9;193.47;3.22;2.66;4;1.13;0.75;1.02
Plantmax;1;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;1;11;1;13.5;5.98;8;NA;NA;NA;NA;NA;NA;NA
Plantmax;1;12;1;9.5;3.6;8;NA;NA;NA;NA;NA;NA;NA
Plantmax;1;13;1;19;3.55;10;142.309;2.55;2.29;1.93;0.8;0.63;0.46
Plantmax;1;14;1;19;4.8;10;NA;NA;NA;NA;NA;NA;NA
Plantmax;1;15;1;25;4.75;11;NA;NA;NA;NA;NA;NA;NA
Plantmax;1;16;1;20;5.43;11;122.742;1.12;2.45;1.83;0.43;0.78;0.52
Plantmax;1;17;1;18;3.95;10;NA;NA;NA;NA;NA;NA;NA
Plantmax;1;18;1;19;4.22;11;151.362;0.58;1.95;1.4;0.28;0.65;0.44
Plantmax;1;19;1;17.5;4.52;10;70.824;0.58;1.95;1.4;0.47;0.43;0.27
Plantmax;1;20;1;18;4.66;6;NA;NA;NA;NA;NA;NA;NA
Plantmax;2; 1;1;17;3.75;10;147.392;2.37;2.45;1.91;0.78;0.69;0.4
Plantmax;2; 2;1;26;6.71;15;NA;NA;NA;NA;NA;NA;NA
Plantmax;2; 3;1;18;4.55;9;291.943;4.18;3.22;2.83;1.47;1.06;0.81
Plantmax;2; 4;1;21;5.14;11;326.51;4.13;4.12;3.6;1.52;1.37;1.02
Plantmax;2; 5;1;13;3.93;8;184.849;0.71;1.18;1.76;0.55;0.33;0.27
Plantmax;2; 6;1;22;4.53;11;332.356;2.78;3.3;3;0.91;1.01;0.75
Plantmax;2; 7;1;20;6.54;12;NA;NA;NA;NA;NA;NA;NA
Plantmax;2; 8;1;14;4.96;9;NA;NA;NA;NA;NA;NA;NA
Plantmax;2; 9;1;13;3.57;8;245.158;2.48;2.43;1.93;0.8;0.76;0.55
Plantmax;2;10;1;17;3.67;9;235.034;2.89;2.24;1.92;0.94;0.6;0.46
Plantmax;2;11;1;17;4.49;9;254.762;4;2.03;3.33;1.36;0.63;0.85
Plantmax;2;12;1;18;4.62;8;289.851;3.48;4.04;3.12;1.35;1.38;0.84
Plantmax;2;13;1;20;5.85;8;NA;NA;NA;NA;NA;NA;NA
Plantmax;2;14;1;14;4.09;6;359.864;2.4;2.55;4.05;0.82;0.8;0.98
Plantmax;2;15;1;21;5.43;11;384.264;5.12;5.15;4.92;1.83;1.6;1.11
Plantmax;2;16;1;18;5.38;10;386.399;4.24;4.56;4.91;1.33;1.36;1.14
Plantmax;2;17;1;14;4.11;8;208.072;2.49;2.68;2.23;0.87;0.85;0.5
Plantmax;2;18;1;8;2.54;6;148.247;1.14;0.98;0.84;0.31;0.19;0.21
Plantmax;2;19;1;17;5.75;10;NA;NA;NA;NA;NA;NA;NA
Plantmax;2;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;3; 1;1;14;5.71;8;NA;NA;NA;NA;NA;NA;NA
Plantmax;3; 2;1;6;2.54;7;166.38;1.04;0.52;1.56;0.39;0.17;0.48
Plantmax;3; 3;1;6;3.22;6;63.068;0.84;0.65;0.68;0.32;0.25;0.21
Plantmax;3; 4;1;3;2.49;6;61.873;0.8;0.54;0.54;0.28;0.13;0.17
Plantmax;3; 5;1;9;3.72;7;175.204;1.43;1.52;2.03;0.52;0.47;0.61
Plantmax;3; 6;1;7;2.3;6;NA;NA;NA;NA;NA;NA;NA
Plantmax;3; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;3; 8;1;8;4.13;7;245.715;1.94;1.75;2.74;0.68;0.57;0.74
Plantmax;3; 9;1;8;3.52;7;162.84;1.54;0.92;3.06;0.55;0.33;0.98
Plantmax;3;10;1;4;2.39;3;62.48;0.73;0.5;0.96;0.27;0.15;0.33
Plantmax;3;11;1;14;5.7;11;NA;NA;NA;NA;NA;NA;NA
Plantmax;3;12;1;9;3.09;8;242.624;1.59;1.38;2.41;0.64;0.49;0.74
Plantmax;3;13;1;14;5.77;6;455.52;2.67;3.08;3.28;0.91;1.02;2.17
Plantmax;3;14;1;6;2.53;6;38.709;0.48;0.29;0.16;0.16;0.1;0.05
Plantmax;3;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;3;16;1;9;2.76;8;NA;NA;NA;NA;NA;NA;NA
Plantmax;3;17;1;7;3.07;7;NA;NA;NA;NA;NA;NA;NA
Plantmax;3;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;3;19;1;13;3.19;8;108.93;1.61;1.4;0.91;0.52;0.47;0.35
Plantmax;3;20;1;17;5.82;9;NA;NA;NA;NA;NA;NA;NA
Plantmax;4; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantmax;4; 2;1;17;3.65;10;NA;NA;NA;NA;NA;NA;NA
