Espécie	Salinidade	Osm
A. reticulatus	0	592
A. reticulatus	0	601
A. reticulatus	0	485
A. reticulatus	0	497
A. reticulatus	0	596
A. reticulatus	0	587
A. reticulatus	10	530
A. reticulatus	10	328
A. reticulatus	10	339
A. reticulatus	10	516
A. reticulatus	10	519
A. reticulatus	10	536
A. reticulatus	20	585
A. reticulatus	20	606
A. reticulatus	20	593
A. reticulatus	20	631
A. reticulatus	20	633
A. reticulatus	20	620
A. reticulatus	30	581
A. reticulatus	30	797
A. reticulatus	30	857
A. reticulatus	30	588
A. reticulatus	30	762
A. reticulatus	30	864
A. reticulatus	40	1028
A. reticulatus	40	763
A. reticulatus	40	1005
A. reticulatus	40	1015
A. reticulatus	40	1051
A. reticulatus	40	883
F. citerosum	0	450
F. citerosum	0	431
F. citerosum	0	459
F. citerosum	0	494
F. citerosum	0	552
F. citerosum	0	535
F. citerosum	0	534
F. citerosum	0	555
F. citerosum	5	382
F. citerosum	5	511
F. citerosum	5	536
F. citerosum	5	548
F. citerosum	5	509
F. citerosum	10	292
F. citerosum	10	291
F. citerosum	10	292
F. citerosum	10	347
F. citerosum	10	334
F. citerosum	10	276
F. citerosum	10	290
F. citerosum	15	415
F. citerosum	15	389
F. citerosum	15	452
F. citerosum	15	404
F. citerosum	15	441
F. citerosum	15	428
F. citerosum	15	424
F. citerosum	20	526
F. citerosum	20	533
F. citerosum	20	522
F. citerosum	20	529
F. citerosum	20	550
F. citerosum	20	563
F. citerosum	20	564
F. citerosum	20	562
F. citerosum	25	623
F. citerosum	25	648
F. citerosum	25	555
F. citerosum	25	685
F. citerosum	25	686
F. citerosum	25	691
F. citerosum	25	688
F. citerosum	30	733
F. citerosum	30	725
F. citerosum	30	744
F. citerosum	30	634
F. citerosum	30	795
F. citerosum	30	794
F. citerosum	30	808
F. citerosum	30	745
F. citerosum	35	668
F. citerosum	35	895
F. citerosum	35	930
F. citerosum	35	607
F. citerosum	35	921
F. citerosum	35	942
F. citerosum	35	944
F. citerosum	35	940
F. citerosum	40	535
F. citerosum	40	650
F. citerosum	40	513
F. citerosum	40	611
F. citerosum	40	1060
F. citerosum	40	707
F. citerosum	40	986
M. coccopoma	0	648
M. coccopoma	0	701
M. coccopoma	0	557
M. coccopoma	0	583
M. coccopoma	0	565
M. coccopoma	0	696
M. coccopoma	0	556
M. coccopoma	0	678
M. coccopoma	5	642
M. coccopoma	5	612
M. coccopoma	5	757
M. coccopoma	5	775
M. coccopoma	5	482
M. coccopoma	5	733
M. coccopoma	5	741
M. coccopoma	10	752
M. coccopoma	10	828
M. coccopoma	10	790
M. coccopoma	10	715
M. coccopoma	10	896
M. coccopoma	10	685
M. coccopoma	10	787
M. coccopoma	10	755
M. coccopoma	15	848
M. coccopoma	15	623
M. coccopoma	15	534
M. coccopoma	15	800
M. coccopoma	15	539
M. coccopoma	15	757
M. coccopoma	15	615
M. coccopoma	15	802
M. coccopoma	20	501
M. coccopoma	20	527
M. coccopoma	20	781
M. coccopoma	20	799
M. coccopoma	20	934
M. coccopoma	20	813
M. coccopoma	20	573
M. coccopoma	20	539
M. coccopoma	25	666
M. coccopoma	25	668
M. coccopoma	25	668
M. coccopoma	25	682
M. coccopoma	25	652
M. coccopoma	25	652
M. coccopoma	25	658
M. coccopoma	30	823
M. coccopoma	30	840
M. coccopoma	30	814
M. coccopoma	30	871
M. coccopoma	30	691
M. coccopoma	30	718
M. coccopoma	30	698
M. coccopoma	30	721
M. coccopoma	35	895
M. coccopoma	35	920
M. coccopoma	35	913
M. coccopoma	35	876
M. coccopoma	35	858
M. coccopoma	35	872
M. coccopoma	35	840
M. coccopoma	35	850
M. coccopoma	40	1037
M. coccopoma	40	1036
M. coccopoma	40	1075
M. coccopoma	40	1033
M. coccopoma	40	1062
M. coccopoma	40	1040
M. coccopoma	40	1062
M. coccopoma	40	1009
M. charruana	0	323
M. charruana	0	408
M. charruana	0	478
M. charruana	0	445
M. charruana	0	382
M. charruana	0	472
M. charruana	0	439
M. charruana	0	473
M. charruana	0	426
M. charruana	0	459
M. charruana	0	381
M. charruana	0	468
M. charruana	10	251
M. charruana	10	493
M. charruana	10	282
M. charruana	10	455
M. charruana	10	311
M. charruana	10	512
M. charruana	20	471
M. charruana	20	508
M. charruana	20	498
M. charruana	20	515
M. charruana	20	510
M. charruana	20	500
M. charruana	20	516
M. charruana	20	539
M. charruana	20	528
M. charruana	20	512
M. charruana	20	508
M. charruana	20	517
M. charruana	30	741
M. charruana	30	535
M. charruana	30	578
M. charruana	30	506
M. charruana	30	687
M. charruana	30	736
M. charruana	40	597
M. charruana	40	688
M. charruana	40	546
M. charruana	40	530
M. charruana	40	484
M. charruana	40	481
M. charruana	40	578
M. charruana	40	590
M. charruana	40	533
M. charruana	40	567
M. charruana	40	585
M. charruana	40	549
