# Pimentel Gomes, F. (2009). Curso de estatística experimental (15th ed., p. 451). FEALQ.
# Pimentel Gomes, página 91, seção 5.6
# Experimento em DBC com 2 repetições de tratamento por bloco que avalia o efeito 
# da profundidade de aradura na produção de de milho (kg/200m²).
# Veja que o bloco tinha 4 parcelas, por isso 2 repetições.
# Diferente de ter 2 parcelas e ter-se medido em duplicata.
aradura	bloco	producao
profunda	i	5.5
profunda	i	7
profunda	ii	6.8
profunda	ii	6.2
profunda	iii	4.6
profunda	iii	6
profunda	iv	6.4
profunda	iv	6.8
profunda	v	7.7
profunda	v	8.8
profunda	vi	6.2
profunda	vi	5.8
normal	i	6
normal	i	6.8
normal	ii	5.2
normal	ii	5.9
normal	iii	4.4
normal	iii	4.7
normal	iv	7.2
normal	iv	5.6
normal	v	7.1
normal	v	6.4
normal	vi	7.6
normal	vi	4.5

