variedade;bloco;value;pcls;lprod;prods
Kennebec;I;9.2;baixa;0.963787827345555;84.64
Huinkul;I;21.1;media;1.32428245529769;445.21
S. Rafalela;I;22.6;media;1.3541084391474;510.76
Buena Vista;I;15.4;media;1.18752072083646;237.16
B 25-50 E;I;12.7;baixa;1.10380372095596;161.29
B 1-52;I;20;media;1.30102999566398;400
B 116-51;I;23.1;media;1.36361197989214;533.61
B 72-53 A;I;18;media;1.25527250510331;324
Kennebec;II;13.4;baixa;1.12710479836481;179.56
Huinkul;II;27;alta;1.43136376415899;729
S. Rafalela;II;29.9;alta;1.47567118832443;894.01
Buena Vista;II;11.9;baixa;1.07554696139253;141.61
B 25-50 E;II;18;media;1.25527250510331;324
B 1-52;II;21.1;media;1.32428245529769;445.21
B 116-51;II;24.2;media;1.38381536598043;585.64
B 72-53 A;II;24.6;media;1.39093510710338;605.16
Kennebec;III;11;baixa;1.04139268515823;121
Huinkul;III;26.4;alta;1.42160392686983;696.96
S. Rafalela;III;24.2;media;1.38381536598043;585.64
Buena Vista;III;10.1;baixa;1.00432137378264;102.01
B 25-50 E;III;18.2;media;1.26007138798507;331.24
B 1-52;III;20;media;1.30102999566398;400
B 116-51;III;26.4;alta;1.42160392686983;696.96
B 72-53 A;III;24;media;1.38021124171161;576
Kennebec;IV;9.2;baixa;0.963787827345555;84.64
Huinkul;IV;25.7;alta;1.40993312333129;660.49
S. Rafalela;IV;25.1;alta;1.39967372148104;630.01
Buena Vista;IV;12.3;baixa;1.0899051114394;151.29
B 25-50 E;IV;17.1;media;1.23299611039215;292.41
B 1-52;IV;28;alta;1.44715803134222;784
B 116-51;IV;16.3;media;1.21218760440396;265.69
B 72-53 A;IV;24.6;media;1.39093510710338;605.16
